accession	monosaccharide
G00230IL	HexNAc+aldi
G00230IL	aldi
G00230IL	dHex
G00231IQ	Fuc
G00231IQ	Gal
G00231IQ	GalNAc
G00231IQ	GlcNAc
G00231IQ	Hex
G00231IQ	HexNAc
G00231IQ	Man
G00231IQ	NeuAc
G00231IQ	Sia
G00231IQ	dHex
G00231WL	Fuc
G00231WL	Gal
G00231WL	GlcNAc
G00231WL	Hex
G00231WL	HexNAc
G00231WL	Man
G00231WL	NeuAc
G00231WL	S
G00231WL	Sia
G00231WL	dHex
G00232ED	Hex
G00232ED	HexNAc
G00232ED	NeuAc
G00232ED	S
G00232ED	Sia
G00235HI	Hex
G00235HI	HexNAc
G00235HI	NeuAc
G00235HI	Sia
G00247JV	GlcNAc
G00247JV	Hex
G00247JV	HexNAc
G00247JV	Man
G00247PL	Fuc
G00247PL	Gal
G00247PL	GlcNAc
G00247PL	Hex
G00247PL	HexNAc
G00247PL	Man
G00247PL	dHex
G00249IY	Fuc
G00249IY	Gal
G00249IY	GlcNAc
G00249IY	Hex
G00249IY	HexNAc
G00249IY	Man
G00249IY	dHex
G00249XF	Gal
G00249XF	GalNAc
G00249XF	GlcNAc
G00249XF	Hex
G00249XF	HexNAc
G00249XF	S
G00249XR	GlcNAc
G00249XR	Hex
G00249XR	HexNAc
G00249XR	Man
G00249XR	dHex
G00257UQ	Fuc
G00257UQ	Gal
G00257UQ	GalNAc
G00257UQ	GalNAc+aldi
G00257UQ	GlcNAc
G00257UQ	Hex
G00257UQ	HexNAc
G00257UQ	HexNAc+aldi
G00257UQ	NeuAc
G00257UQ	S
G00257UQ	Sia
G00257UQ	aldi
G00257UQ	dHex
G00258QK	Fuc
G00258QK	Gal
G00258QK	GlcNAc
G00258QK	Hex
G00258QK	HexNAc
G00258QK	Man
G00258QK	dHex
G00272VU	Fuc
G00272VU	Gal
G00272VU	GlcNAc
G00272VU	Hex
G00272VU	HexNAc
G00272VU	Man
G00272VU	dHex
G00273SJ	Fuc
G00273SJ	Hex
G00273SJ	HexNAc
G00273SJ	dHex
G00277SO	Fuc
G00277SO	Gal
G00277SO	GalNAc
G00277SO	GlcNAc
G00277SO	Hex
G00277SO	HexNAc
G00277SO	dHex
G00279YF	GalNAc
G00279YF	GlcNAc
G00279YF	Hex
G00279YF	HexNAc
G00279YF	Man
G00281HB	Gal
G00281HB	GlcNAc
G00281HB	Hex
G00281HB	HexNAc
G00281HB	Man
G00283TT	Fuc
G00283TT	GlcNAc
G00283TT	HexNAc
G00283TT	Xxx
G00283TT	dHex
G00284SJ	Gal
G00284SJ	GlcNAc
G00284SJ	Hex
G00284SJ	HexNAc
G00284SJ	Man
G00287UD	Gal
G00287UD	GalNAc
G00287UD	GalNAc+aldi
G00287UD	GlcNAc
G00287UD	Hex
G00287UD	HexNAc
G00287UD	HexNAc+aldi
G00287UD	aldi
G00288QM	Gal
G00288QM	GalNAc
G00288QM	Glc
G00288QM	GlcNAc
G00288QM	Hex
G00288QM	HexNAc
G00288RP	Fuc
G00288RP	Gal
G00288RP	GalNAc
G00288RP	GlcNAc
G00288RP	Hex
G00288RP	HexNAc
G00288RP	dHex
G00293HN	Xxx
G00294BL	Fuc
G00294BL	Gal
G00294BL	Gal+aldi
G00294BL	GlcNAc
G00294BL	Hex
G00294BL	Hex+aldi
