GlyTouCanAccession	Name	Domain
G08678VD	HexNAc(4)Hex(2)Fuc(2)	Byonic
G08691QG	HexNAc(1)Hex(4)dHex(2)	Byonic
G08691QG	HexNAc1Hex4dHex2	ShortUniCarbKB
G08691QG	HexNAc1Hex4dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G08805HB	HexNAc(3)Hex(3)dHex(2)NeuAc(1)	Byonic
G08805HB	HexNAc3Hex3dHex2NeuAc1	ShortUniCarbKB
G08805HB	HexNAc3Hex3dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G08898WI	HexNAc(9)Hex(10)dHex(1)NeuAc(4)	Byonic
G08898WI	HexNAc9Hex10dHex1NeuAc4	ShortUniCarbKB
G08898WI	HexNAc9Hex10dHex1NeuAc4NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G08918WF	H5N4F2S	ShortComp
G08918WF	HexNAc(4)Hex(5)Fuc(2)NeuAc(1)	Byonic
G09084RP	HexNAc(7)Hex(6)dHex(2)	Byonic
G09084RP	HexNAc7Hex6dHex2	ShortUniCarbKB
G09084RP	HexNAc7Hex6dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G09197ZW	HexNAc(4)Hex(6)dHex(1)	Byonic
G09197ZW	HexNAc4Hex6dHex1	ShortUniCarbKB
G09197ZW	HexNAc4Hex6dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G09321GU	HN3F	ShortComp
G09321GU	HexNAc(3)Hex(1)Fuc(1)	Byonic
G09406IK	H5N6S2	ShortComp
G09406IK	HexNAc(6)Hex(5)NeuAc(2)	Byonic
G09406IK	HexNAc6Hex5NeuAc2	ShortUniCarbKB
G09406IK	HexNAc6Hex5dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G09528DL	HexNAc(3)Hex(6)dHex(1)NeuAc(1)	Byonic
G09528DL	HexNAc3Hex6dHex1NeuAc1	ShortUniCarbKB
G09528DL	HexNAc3Hex6dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G09643UC	HexNAc(5)Hex(6)NeuAc(1)NeuGc(1)	Byonic
G09643UC	HexNAc5Hex6NeuAc1NeuGc1	ShortUniCarbKB
G09643UC	HexNAc5Hex6dHex0NeuAc1NeuGc1Pent0S0P0KDN0HexA0	UniCarbKB
G09693TP	HexNAc(1)Hex(3)NeuAc(1)NeuGc(1)	Byonic
G09693TP	HexNAc1Hex3NeuAc1NeuGc1	ShortUniCarbKB
G09693TP	HexNAc1Hex3dHex0NeuAc1NeuGc1Pent0S0P0KDN0HexA0	UniCarbKB
