GlyTouCanAccession	CFGAccession
G11482NO	carbOlink_20893_D000
G11655BA	carbOlink_20590_D000
G11658OG	carbNlink_41326_D000
G11696PX	carbNlink_42498_D000
G11700UP	carbNlink_40047_D000
G11700UP	carbNlink_40358_D000
G11700UP	carbNlink_40490_D000
G11837XH	carbNlink_40297_D000
G11876US	carbOlink_20301_D000
G11948QD	carbNlink_21407_P
G11960UF	carbNlink_21164_D000
G11960UF	carbNlink_43557_D000
G11960UF	carbNlink_43572_D000
G12033AP	carbNlink_20653_D000
G12086GM	carbNlink_40210_D000
G12266SO	carbNlink_30521_A
G12352RJ	carbNlink_42351_D000
G12352RJ	carbNlink_44775_D000
G12378KS	carbNlink_46922_D000
G12396GB	carbOlink_21280_D000
G12438DW	carbNlink_43906_D000
G12526AB	carbNlink_20105_D000
G12655NI	carbNlink_21151_D000
G12679LF	carbNlink_20134_D000
G12704ID	carbNlink_41384_D000
G12715AH	carbNlink_41767_D000
G12757LB	carbNlink_41382_D000
G12761QA	carbOlink_20169_D000
G13049QY	carbNlink_40546_D000
G13168NE	carbNlink_41992_D000
G13291XJ	carbNlink_44737_D000
G13495RN	carbNlink_44784_D000
G13515ZY	carbNlink_20270_D000
G13537KO	carbNlink_45479_D000
G13583BZ	carbNlink_20794_D000
G13614FV	carbNlink_20716_D000
G13614FV	carbNlink_40536_D000
G13646GG	carbNlink_31432_A
G13657KC	carbNlink_41720_D000
G13672YG	carbNlink_46340_D000
G13836YR	carbNlink_20924_D000
G13849JB	carbNlink_21377_P
G13849YJ	carbNlink_20390_D000
G13991MC	carbNlink_21464_P
G14015IL	carbNlink_42232_D000
G14077SN	carbNlink_31558_A
G14201CU	carbNlink_40092_D000
G14201CU	carbNlink_40367_D000
G14244NF	carbNlink_21471_P
G14307KB	carbNlink_20946_D000
G14307KB	carbNlink_42647_D000
G14307KB	carbNlink_42773_D000
G14346JI	carbOlink_20556_D000
G14374XC	carbNlink_41752_D000
G14438ZT	carbNlink_40595_D000
G14438ZT	carbNlink_42571_D000
G14510SZ	carbNlink_30516_A
G14543IY	carbGlipid_20259_D000
G14576KZ	carbNlink_20393_D000
G14576KZ	carbNlink_21242_D000
G14576KZ	carbNlink_40309_D000
G14576KZ	carbNlink_41201_D000
G14809NR	carbNlink_20431_D000
G14809NR	carbNlink_30027_A
G14809NR	carbNlink_40312_D000
G14840SZ	carbNlink_30397_A
G14854WL	carbNlink_40737_D000
G14854WL	carbNlink_42210_D000
G14899VS	carbNlink_20585_D000
G14899VS	carbNlink_43344_D000
G14942ZU	carbNlink_20621_D000
G15001YX	carbNlink_30012_A
G15059WI	carbGlipid_21015_D000
G15112UU	carbNlink_44793_D000
G15216UP	carbNlink_42489_D000
G15249CA	carbOlink_20309_D000
G15301IS	carbGlipid_20753_D000
G15355KC	carbNlink_44769_D000
G15355XO	carbNlink_20945_D000
G15365AE	carbNlink_21374_P
G15448UB	carbNlink_40023_D000
G15518HO	carbNlink_20866_D000
G15522RV	carbNlink_32484_A
G15527QL	carbNlink_46839_D000
G15571KX	carbNlink_45682_D000
G15638PX	carbNlink_40549_D000
G15730FJ	carbNlink_42366_D000
G15948XY	carbGlipid_20190_D000
G15972DM	carbNlink_41719_D000
G15987FM	carbNlink_41556_D000
G16290UY	carbNlink_42840_D000
G16325IK	carbNlink_42468_D000
G16344ZG	carbNlink_20641_D000
G16397GM	carbNlink_43336_D000
G16403CC	carbNlink_21258_D000
G16441MS	carbNlink_21281_D000
G16456ZV	carbOlink_20626_D000
G16503YF	carbOlink_20775_D000
G16612QG	carbOlink_20036_D000
G16614GV	carbNlink_30152_A
G16633VX	carbNlink_45507_D000
G16633VX	carbNlink_46655_D000
G16743OM	carbNlink_46496_D000
G16778ZK	carbNlink_47210_D000
G16808DC	carbNlink_21373_P
G16809IL	carbNlink_40204_D000
G16879YK	carbNlink_44056_D000
G16967GJ	carbNlink_31392_A
G17029IU	carbNlink_20130_D000
G17029IU	carbNlink_43365_D000
G17077YF	carbOlink_21153_D000
G17105UZ	carbNlink_42834_D000
G17157SF	carbNlink_40356_D000
G17157SF	carbNlink_42153_D000
G17164DX	carbNlink_45239_D000
G17207FU	carbNlink_45409_D000
G17300DB	carbOlink_20358_D000
G17336FF	carbNlink_43719_D000
G17336FF	carbNlink_45224_D000
G17348SA	carbNlink_44787_D000
G17389EH	carbNlink_42214_D000
G17441MI	carbNlink_20614_D000
G17441MI	carbNlink_40647_D000
G17460MY	carbNlink_43186_D000
G17460MY	carbNlink_45062_D000
G17595XL	carbNlink_46430_D000
G17698NO	carbNlink_43298_D000
G17792PO	carbNlink_20508_D000
G17792PO	carbNlink_40397_D000
G17792PO	carbNlink_40450_D000
G17792PO	carbNlink_41195_D000
G17792PO	carbNlink_46472_D000
G17807LO	carbNlink_46596_D000
G17968CJ	carbNlink_20265_D000
G17977UE	carbNlink_42492_D000
G18011IN	carbNlink_42235_D000
G18160VJ	carbNlink_20174_D000
G18211PK	carbNlink_21376_P
G18340ZI	carbNlink_32927_A
G18410AS	carbNlink_20867_D000
G18410AS	carbNlink_40441_D000
G18464VS	carbNlink_41327_D000
G18584GW	carbNlink_44776_D000
G18625KA	carbGlipid_20665_D000
G18724OW	carbNlink_42374_D000
G18814PP	carbNlink_31775_A
G18877VR	carbNlink_40086_D000
G18892PE	carbOlink_20858_D000
G18905AN	carbNlink_45837_D000
G18913QB	carbNlink_44841_D000
G18960KY	carbNlink_21337_P
G18980FQ	carbNlink_40005_D000
G19017MP	carbNlink_45539_D000
G19053XS	carbNlink_21260_D000
G19106CR	carbNlink_21120_D000
G19106CR	carbNlink_43206_D000
G19238ZQ	carbOlink_21209_D000
G19281RB	carbNlink_31560_A
G19281RB	carbNlink_44289_D000
G19287UY	carbNlink_20332_D000
G19287UY	carbNlink_46048_D000
G19336PT	carbGlipid_21128_D000
G19339UM	carbNlink_40029_D000
G19447ZX	carbNlink_42877_D000
G19483RZ	carbNlink_30552_A
G19520XO	carbNlink_46956_D000
G19532EC	carbNlink_30212_A
G19537TS	carbNlink_44761_D000
G19541IU	carbNlink_20735_D000
G19541IU	carbNlink_43605_D000
G19619KS	carbSynthe_455_D000
G19636RY	carbNlink_43832_D000
G19747OA	carbNlink_21079_D000
G19747OA	carbNlink_40061_D000
G19747OA	carbNlink_40082_D000
G19747OA	carbNlink_40133_D000
G19747OA	carbNlink_40255_D000
G19747OA	carbNlink_40636_D000
G19747OA	carbNlink_40988_D000
G19747OA	carbNlink_41046_D000
G19747OA	carbNlink_41199_D000
G19822MG	carbOlink_20668_D000
G20034RK	carbNlink_40793_D000
G20044TD	carbGlipid_20008_D000
G20044TD	carbSynthe_0065_D000
G20044TD	carbSynthe_0567_D000
G20044TD	carbSynthe_0777_D000
G20044TD	carbSynthe_0814_D000
G20079RG	carbNlink_21243_D000
G20079RG	carbNlink_40336_D000
G20079RG	carbNlink_41437_D000
G20173ZW	carbNlink_20284_D000
G20173ZW	carbNlink_43566_D000
G20173ZW	carbNlink_45920_D000
G20174ZL	carbNlink_30011_A
G20174ZL	carbNlink_40254_D000
G20174ZL	carbNlink_40885_D000
G20265RJ	carbGlipid_20020_D000
G20372QO	carbOlink_20843_D000
G20372QO	carbOlink_21171_D000
G20624LQ	carbNlink_20489_D000
G20624LQ	carbNlink_20947_D000
G20624LQ	carbNlink_40106_D000
G20624LQ	carbNlink_40300_D000
G20624LQ	carbNlink_44686_D000
G20624LQ	carbNlink_45291_D000
G20624LQ	carbNlink_46471_D000
G20636FS	carbNlink_44817_D000
G20636FS	carbNlink_45515_D000
G20662UG	carbNlink_44827_D000
G20662UG	carbNlink_45516_D000
G20758LC	carbNlink_20597_D000
G20758LC	carbNlink_43589_D000
G20877ZV	carbNlink_44713_D000
G20993TP	carbOlink_20561_D000
G21005TQ	carbNlink_20739_D000
G21005TQ	carbNlink_40904_D000
G21109OS	carbNlink_20892_D000
G21218WO	carbNlink_21329_P
G21219OJ	carbNlink_20581_D000
G21219OJ	carbNlink_43355_D000
G21311PN	carbNlink_45947_D000
G21342EB	carbNlink_43311_D000
G21380FF	carbNlink_30329_A
G21438WG	carbOlink_21303_D000
G21454AE	carbNlink_40863_D000
G21454AE	carbNlink_43420_D000
G21498SM	carbNlink_31817_A
G21507RO	carbOlink_20624_D000
G21507RO	carbSynthe_0440_D000
G21521KS	carbNlink_41158_D000
G21627CA	carbNlink_21011_D000
G21627CA	carbNlink_43565_D000
G21729HC	carbNlink_41557_D000
G21856LC	carbSynthe_0630_D000
G21905ZO	carbOlink_21146_D000
G21927IY	carbNlink_20661_D000
G21969UD	carbNlink_40800_D000
G21986MJ	carbNlink_21355_P
G22012EW	carbOlink_20340_D000
G22043HZ	carbNlink_31390_A
G22117HL	carbNlink_21055_D000
G22117NA	carbNlink_45280_D000
G22117NA	carbNlink_46733_D000
G22122FL	carbNlink_40818_D000
G22237ZE	carbNlink_44821_D000
G22246QW	carbNlink_20919_D000
G22311MI	carbNlink_42580_D000
G22327VZ	carbNlink_21216_D000
G22587DK	carbNlink_40218_D000
G22732WO	carbNlink_40651_D000
G22768VO	carbSynthe_0129_D000
G22787WJ	carbOlink_20864_D000
G22859OA	carbNlink_21451_P
G22949KX	carbNlink_44834_D000
G23024PQ	carbNlink_46656_D000
G23041XK	carbNlink_42957_D000
G23211XT	carbNlink_40020_D000
G23296IL	carbNlink_41376_D000
G23296IL	carbNlink_44738_D000
G23342BO	carbNlink_40585_D000
G23416CI	carbNlink_20654_D000
G23437PF	carbNlink_21441_P
G23463KX	carbOlink_20559_D000
G23511JD	carbNlink_46421_D000
G23598DU	carbNlink_20612_D000
G23654OQ	carbOlink_20889_D000
G23681NU	carbNlink_20910_D000
G23718VU	carbNlink_20604_D000
G23722TU	carbNlink_44790_D000
G23726CO	carbNlink_41154_D000
G23805AC	carbNlink_46409_D000
G23817OE	carbNlink_42667_D000
G23824XF	carbNlink_20490_D000
G23824XF	carbNlink_40498_D000
G23824XF	carbNlink_41330_D000
G23897ET	carbNlink_20142_D000
G24034CH	carbGlipid_20746_D000
G24065XI	carbNlink_42986_D000
G24111IY	carbNlink_47201_D000
G24284HU	carbNlink_20975_D000
G24346JZ	carbNlink_46586_D000
G24364HL	carbNlink_41552_D000
G24432YB	carbSynthe_0063_D000
G24432YB	carbSynthe_0605_D000
G24499XE	carbGlipid_20914_D000
G24529NQ	carbNlink_43840_D000
G24529NQ	carbNlink_44430_D000
G24552KE	carbNlink_41776_D000
G24585JV	carbNlink_20974_D000
G24585JV	carbNlink_40663_D000
G24599MW	carbNlink_40163_D000
G24599MW	carbNlink_40431_D000
G24604HV	carbNlink_21027_D000
G24604HV	carbNlink_40008_D000
G24604HV	carbNlink_40226_D000
G24604HV	carbNlink_40344_D000
G24604HV	carbNlink_41011_D000
G24604HV	carbNlink_41212_D000
G24604HV	carbNlink_41687_D000
G24604HV	carbNlink_41747_D000
G24604HV	carbNlink_42096_D000
G24604HV	carbNlink_46195_D000
G24604HV	carbNlink_47087_D000
G24604HV	carbNlink_47089_D000
G24668UI	carbNlink_20098_D000
G24668UI	carbNlink_30054_A
G24693UW	carbOlink_20675_D000
G24705DL	carbNlink_20738_D000
G24766QM	carbNlink_20126_D000
G24797UH	carbNlink_40538_D000
G24812WY	carbNlink_20197_D000
G24833OQ	carbNlink_45651_D000
G25146DY	carbOlink_21219_D000
G25155KV	carbNlink_42835_D000
G25421NH	carbOlink_20856_D000
