GlyTouCanAccession	PubChem
G19342EE	SID445514792
G19349CK	GlyTouCan:G19349CK
G19349CK	SID491881489
G19353CF	GlyTouCan:G19353CF
G19353CF	SID491937122
G19353JE	GlyTouCan:G19353JE
G19353JE	SID491881454
G19353QT	CID91862639
G19353QT	GlyTouCan:G19353QT
G19353QT	SID252296887
G19353SW	GlyTouCan:G19353SW
G19353SW	SID491844355
G19354PF	GlyTouCan:G19354PF
G19354PF	SID491881527
G19358NB	GlyTouCan:G19358NB
G19358NB	SID491881455
G19359HX	GlyTouCan:G19359HX
G19359HX	SID491881528
G19362OJ	GlyTouCan:G19362OJ
G19362OJ	SID491881476
G19364EV	GlyTouCan:G19364EV
G19364EV	SID491881456
G19364TD	GlyTouCan:G19364TD
G19364TD	SID491881493
G19369OY	GlyTouCan:G19369OY
G19369OY	SID491881457
G19370RO	GlyTouCan:G19370RO
G19370RO	SID491844363
G19373RT	GlyTouCan:G19373RT
G19373RT	SID500108787
G19375AT	GlyTouCan:G19375AT
G19375AT	SID491844356
G19375IM	CID3081297
G19375IM	GlyTouCan:G19375IM
G19375IM	SID482384831
G19375UI	GlyTouCan:G19375UI
G19375UI	SID518304072
G19378MD	GlyTouCan:G19378MD
G19378MD	SID491937189
G19378QH	GlyTouCan:G19378QH
G19378QH	SID491937190
G19378ZS	GlyTouCan:G19378ZS
G19378ZS	SID491937191
G19379ID	GlyTouCan:G19379ID
G19379ID	SID491881490
G19379NQ	GlyTouCan:G19379NQ
G19379NQ	SID491937192
G19379QS	GlyTouCan:G19379QS
G19379QS	SID491881479
G19382GM	CID156619266
G19382GM	GlyTouCan:G19382GM
G19382GM	SID445516886
G19382JE	GlyTouCan:G19382JE
G19382JE	SID491881460
G19382QM	GlyTouCan:G19382QM
G19382QM	SID491881461
G19383IB	CID91851631
G19383IB	GlyTouCan:G19383IB
G19383IB	SID252283690
G19384OK	GlyTouCan:G19384OK
G19384OK	SID491937194
G19385KR	GlyTouCan:G19385KR
G19385KR	SID500108791
G19385PM	GlyTouCan:G19385PM
G19385PM	SID491937124
G19385TO	GlyTouCan:G19385TO
G19385TO	SID491881518
G19385VB	CID53439319
G19385VB	GlyTouCan:G19385VB
G19385VB	SID482384837
G19386HE	GlyTouCan:G19386HE
G19386HE	SID491881514
G19387QD	CID91849886
G19387QD	GlyTouCan:G19387QD
G19387QD	SID252281620
G19393PU	GlyTouCan:G19393PU
G19393PU	SID491937197
G19396WK	GlyTouCan:G19396WK
G19396WK	SID491937198
G19397EJ	GlyTouCan:G19397EJ
G19397EJ	SID491881526
G19397JK	GlyTouCan:G19397JK
G19397JK	SID521706941
G19399OS	GlyTouCan:G19399OS
G19399OS	SID491881515
G19403SS	GlyTouCan:G19403SS
G19403SS	SID491937199
G19404JT	GlyTouCan:G19404JT
G19404JT	SID491881509
G19410AK	GlyTouCan:G19410AK
G19410AK	SID491881464
G19411IB	GlyTouCan:G19411IB
G19411IB	SID491881511
G19412HP	GlyTouCan:G19412HP
G19412HP	SID491937293
G19412OU	GlyTouCan:G19412OU
G19412OU	SID491937294
G19416BO	GlyTouCan:G19416BO
G19416BO	SID500108797
G19418PC	GlyTouCan:G19418PC
G19418PC	SID491881529
G19420MV	GlyTouCan:G19420MV
G19420MV	SID491937296
G19421FY	CID176511919
G19421FY	GlyTouCan:G19421FY
G19421FY	SID518302335
G19423HE	GlyTouCan:G19423HE
G19423HE	SID491937270
G19424FL	GlyTouCan:G19424FL
G19424FL	SID491881474
G19425JC	GlyTouCan:G19425JC
G19425JC	SID491881465
G19429IT	CID91860840
G19429IT	GlyTouCan:G19429IT
G19429IT	SID252294729
G19430NR	CID71297822
G19430NR	GlyTouCan:G19430NR
G19430NR	SID252281965
G19430QH	GlyTouCan:G19430QH
G19430QH	SID491844364
G19432GA	GlyTouCan:G19432GA
G19432GA	SID491844357
G19433ZL	CID14497255
G19433ZL	GlyTouCan:G19433ZL
G19433ZL	SID482384864
G19434QF	GlyTouCan:G19434QF
G19434QF	SID491881521
G19436NJ	GlyTouCan:G19436NJ
G19436NJ	SID491881523
G19444JC	CID91845657
G19444JC	GlyTouCan:G19444JC
G19444JC	SID252276583
G19444UD	CID168360299
G19444UD	GlyTouCan:G19444UD
G19444UD	SID482384867
G19444YR	GlyTouCan:G19444YR
G19444YR	SID491937301
G19446DF	GlyTouCan:G19446DF
G19446DF	SID491881522
G19447ZX	CID71297566
G19447ZX	GlyTouCan:G19447ZX
G19447ZX	SID252290209
G19449HT	GlyTouCan:G19449HT
G19449HT	SID518304074
G19453SD	CID156618688
G19453SD	GlyTouCan:G19453SD
G19453SD	SID445516198
G19454WY	CID176511920
G19454WY	GlyTouCan:G19454WY
G19454WY	SID518302336
G19455CM	GlyTouCan:G19455CM
G19455CM	SID491844394
G19456TQ	CID176511921
G19456TQ	GlyTouCan:G19456TQ
G19456TQ	SID518302337
G19461FS	GlyTouCan:G19461FS
G19461FS	SID491844378
G19461LZ	CID77920925
G19461LZ	GlyTouCan:G19461LZ
G19461LZ	SID482384877
G19463UP	GlyTouCan:G19463UP
G19463UP	SID491928499
G19463XX	GlyTouCan:G19463XX
G19463XX	SID491844379
G19464WF	GlyTouCan:G19464WF
G19464WF	SID491844361
G19466PG	GlyTouCan:G19466PG
G19466PG	SID491844380
G19469VZ	CID146017096
G19469VZ	GlyTouCan:G19469VZ
G19469VZ	SID405039823
G19471FE	CID91857759
G19471FE	GlyTouCan:G19471FE
G19471FE	SID252291026
G19474IX	GlyTouCan:G19474IX
G19474IX	SID491844381
G19483CU	GlyTouCan:G19483CU
G19483CU	SID491881544
G19483RZ	CID91855335
G19483RZ	GlyTouCan:G19483RZ
G19483RZ	SID252288131
G19486DZ	GlyTouCan:G19486DZ
G19486DZ	SID491844397
G19486GX	GlyTouCan:G19486GX
G19486GX	SID491881545
G19487IP	GlyTouCan:G19487IP
G19487IP	SID491881562
G19487PJ	GlyTouCan:G19487PJ
G19487PJ	SID491881546
G19487TG	GlyTouCan:G19487TG
G19487TG	SID491881575
G19490AF	GlyTouCan:G19490AF
G19490AF	SID491844359
G19490DN	GlyTouCan:G19490DN
G19490DN	SID491881559
G19490HJ	GlyTouCan:G19490HJ
G19490HJ	SID491937313
G19499ZH	CID91848579
G19499ZH	GlyTouCan:G19499ZH
G19499ZH	SID252280100
G19501PV	CID56836682
G19501PV	GlyTouCan:G19501PV
G19501PV	SID482384903
G19502QN	GlyTouCan:G19502QN
G19502QN	SID500108814
G19503UW	GlyTouCan:G19503UW
G19503UW	SID491937271
G19503WF	CID91856540
G19503WF	GlyTouCan:G19503WF
G19503WF	SID252289585
G19504QQ	GlyTouCan:G19504QQ
G19504QQ	SID491881569
G19505HB	GlyTouCan:G19505HB
G19505HB	SID491937272
G19506LX	GlyTouCan:G19506LX
G19506LX	SID491881548
G19506NG	CID91857186
G19506NG	GlyTouCan:G19506NG
G19506NG	SID252290346
G19511ID	CID91858911
G19511ID	GlyTouCan:G19511ID
G19511ID	SID252292410
G19512II	GlyTouCan:G19512II
G19512II	SID491881577
G19515QR	GlyTouCan:G19515QR
G19515QR	SID491937273
G19516BA	GlyTouCan:G19516BA
G19516BA	SID491844408
G19517GM	GlyTouCan:G19517GM
G19517GM	SID491881586
G19517HH	GlyTouCan:G19517HH
G19517HH	SID491844409
G19520PI	GlyTouCan:G19520PI
G19520PI	SID491881601
G19520XO	CID91859346
G19520XO	GlyTouCan:G19520XO
G19520XO	SID252292919
G19521BS	CID91845052
G19521BS	GlyTouCan:G19521BS
G19521BS	SID252275894
G19521BV	GlyTouCan:G19521BV
G19521BV	SID491881561
G19524AS	CID5289010
G19524AS	GlyTouCan:G19524AS
G19524AS	SID252283994
G19525AM	CID146017607
G19525AM	GlyTouCan:G19525AM
G19525AM	SID405040341
G19525XO	GlyTouCan:G19525XO
G19525XO	SID491844402
G19526IZ	GlyTouCan:G19526IZ
G19526IZ	SID491937322
G19529BG	CID11027987
G19529BG	GlyTouCan:G19529BG
G19529BG	SID252277151
G19529XO	GlyTouCan:G19529XO
G19529XO	SID491937274
G19532EC	CID91850399
G19532EC	GlyTouCan:G19532EC
G19532EC	SID252282232
G19533HO	GlyTouCan:G19533HO
G19533HO	SID491844436
G19533TH	GlyTouCan:G19533TH
G19533TH	SID491937276
G19534EE	CID91851303
G19534EE	GlyTouCan:G19534EE
G19534EE	SID252283304
G19535JH	GlyTouCan:G19535JH
G19535JH	SID491937324
G19535UZ	GlyTouCan:G19535UZ
G19535UZ	SID491844437
G19536OF	GlyTouCan:G19536OF
G19536OF	SID491881600
G19537TS	CID91851344
G19537TS	GlyTouCan:G19537TS
G19537TS	SID252283351
G19537YP	GlyTouCan:G19537YP
G19537YP	SID491937325
G19538CN	GlyTouCan:G19538CN
G19538CN	SID500108827
G19541IU	CID71298016
G19541IU	GlyTouCan:G19541IU
G19541IU	SID252293329
G19541ZA	GlyTouCan:G19541ZA
G19541ZA	SID491844427
G19542MK	GlyTouCan:G19542MK
G19542MK	SID491881566
G19543NY	CID156618359
G19543NY	GlyTouCan:G19543NY
G19543NY	SID445515848
G19545PL	GlyTouCan:G19545PL
G19545PL	SID500108829
G19547OX	CID11968999
G19547OX	GlyTouCan:G19547OX
G19547OX	SID482384919
G19548HV	GlyTouCan:G19548HV
G19548HV	SID491881553
G19548ZL	GlyTouCan:G19548ZL
G19548ZL	SID491844429
G19549OP	GlyTouCan:G19549OP
G19549OP	SID491937330
G19551NA	GlyTouCan:G19551NA
G19551NA	SID500108830
G19552HY	GlyTouCan:G19552HY
G19552HY	SID500108831
G19553VJ	CID146017983
G19553VJ	GlyTouCan:G19553VJ
G19553VJ	SID405040730
G19555CW	CID91846853
G19555CW	GlyTouCan:G19555CW
G19555CW	SID252278007
G19557PF	GlyTouCan:G19557PF
G19557PF	SID491881554
G19558OR	CID21607000
G19558OR	GlyTouCan:G19558OR
G19558OR	SID482384925
G19559QA	GlyTouCan:G19559QA
G19559QA	SID491844419
G19561MR	GlyTouCan:G19561MR
G19561MR	SID491881597
G19562CL	CID91856469
G19562CL	GlyTouCan:G19562CL
G19562CL	SID252289499
G19562WI	GlyTouCan:G19562WI
G19562WI	SID491844403
G19565UD	GlyTouCan:G19565UD
G19565UD	SID491937284
G19565YD	GlyTouCan:G19565YD
G19565YD	SID491881636
G19567YD	GlyTouCan:G19567YD
G19567YD	SID491937333
G19568JE	GlyTouCan:G19568JE
G19568JE	SID491881629
G19572NG	GlyTouCan:G19572NG
G19572NG	SID491844422
G19576OL	GlyTouCan:G19576OL
G19576OL	SID500108840
G19576TB	GlyTouCan:G19576TB
G19576TB	SID491844418
G19577LJ	CID441477
G19577LJ	GlyTouCan:G19577LJ
G19577LJ	SID252279853
G19580DQ	GlyTouCan:G19580DQ
G19580DQ	SID491937278
G19585OU	GlyTouCan:G19585OU
G19585OU	SID491844413
G19588HA	GlyTouCan:G19588HA
G19588HA	SID491881630
G19588WO	GlyTouCan:G19588WO
G19588WO	SID500108844
G19592AH	CID146017862
G19592AH	GlyTouCan:G19592AH
G19592AH	SID405040605
G19594VJ	GlyTouCan:G19594VJ
G19594VJ	SID491844414
G19596BS	GlyTouCan:G19596BS
G19596BS	SID491881631
G19600YQ	GlyTouCan:G19600YQ
G19600YQ	SID491928500
G19603JE	GlyTouCan:G19603JE
G19603JE	SID491937280
G19603RR	GlyTouCan:G19603RR
G19603RR	SID491881691
G19606QV	CID70788957
G19606QV	GlyTouCan:G19606QV
G19606QV	SID252282565
G19607EP	GlyTouCan:G19607EP
G19607EP	SID491881611
G19610CW	GlyTouCan:G19610CW
G19610CW	SID491844407
G19615BB	CID91851064
G19615BB	GlyTouCan:G19615BB
G19615BB	SID252283027
G19615HH	GlyTouCan:G19615HH
G19615HH	SID491881633
G19615XC	GlyTouCan:G19615XC
G19615XC	SID491881612
G19616IY	GlyTouCan:G19616IY
G19616IY	SID491844416
G19617WB	GlyTouCan:G19617WB
G19617WB	SID491844417
G19618SB	GlyTouCan:G19618SB
G19618SB	SID518304076
G19618VN	CID156617462
G19618VN	GlyTouCan:G19618VN
G19618VN	SID445514771
G19619KS	CID91856705
G19619KS	GlyTouCan:G19619KS
G19619KS	SID252289779
G19620VP	CID91861349
G19620VP	GlyTouCan:G19620VP
G19620VP	SID252295333
G19622PD	GlyTouCan:G19622PD
G19622PD	SID491881667
G19625CF	CID146016769
G19625CF	GlyTouCan:G19625CF
G19625CF	SID405039439
G19626TP	GlyTouCan:G19626TP
G19626TP	SID491844423
G19629QE	CID91855304
G19629QE	GlyTouCan:G19629QE
G19629QE	SID252288093
G19633YG	GlyTouCan:G19633YG
G19633YG	SID491881671
G19635BT	CID176511925
G19635BT	GlyTouCan:G19635BT
G19635BT	SID518302341
G19636RY	CID91848437
G19636RY	GlyTouCan:G19636RY
G19636RY	SID252279930
G19640ND	GlyTouCan:G19640ND
G19640ND	SID491937345
G19640XO	GlyTouCan:G19640XO
G19640XO	SID491881634
G19641VI	GlyTouCan:G19641VI
G19641VI	SID491937346
G19643RA	GlyTouCan:G19643RA
G19643RA	SID491844446
G19647KE	GlyTouCan:G19647KE
G19647KE	SID491881613
G19648VR	GlyTouCan:G19648VR
G19648VR	SID500108863
G19648XQ	GlyTouCan:G19648XQ
G19648XQ	SID491844448
G19652EM	GlyTouCan:G19652EM
G19652EM	SID491881635
G19656TZ	GlyTouCan:G19656TZ
G19656TZ	SID491881639
G19657FI	GlyTouCan:G19657FI
G19657FI	SID491937281
G19659TZ	GlyTouCan:G19659TZ
G19659TZ	SID491937348
G19661YQ	GlyTouCan:G19661YQ
G19661YQ	SID491881615
G19664QJ	GlyTouCan:G19664QJ
G19664QJ	SID491937349
G19666JS	GlyTouCan:G19666JS
G19666JS	SID500108865
G19667TK	GlyTouCan:G19667TK
G19667TK	SID500108867
G19668AC	GlyTouCan:G19668AC
G19668AC	SID491937350
G19668FQ	GlyTouCan:G19668FQ
G19668FQ	SID491937351
G19668TL	CID156618368
G19668TL	GlyTouCan:G19668TL
G19668TL	SID445515857
G19671XU	GlyTouCan:G19671XU
G19671XU	SID491881648
G19675BE	CID91861742
G19675BE	GlyTouCan:G19675BE
G19675BE	SID252295795
G19677BZ	GlyTouCan:G19677BZ
G19677BZ	SID491844474
G19677EK	CID91848536
G19677EK	GlyTouCan:G19677EK
G19677EK	SID252280044
G19677OB	CID91846562
G19677OB	GlyTouCan:G19677OB
G19677OB	SID252277670
G19679RY	GlyTouCan:G19679RY
G19679RY	SID491844484
G19681BH	GlyTouCan:G19681BH
G19681BH	SID500108872
G19687OL	CID91851111
G19687OL	GlyTouCan:G19687OL
G19687OL	SID252283080
G19688SO	GlyTouCan:G19688SO
G19688SO	SID491881617
G19689QF	CID176511926
G19689QF	GlyTouCan:G19689QF
G19689QF	SID518302342
G19691GN	GlyTouCan:G19691GN
G19691GN	SID491937355
G19697JA	CID156614537
G19697JA	GlyTouCan:G19697JA
G19697JA	SID445510397
G19697PM	CID176511927
G19697PM	GlyTouCan:G19697PM
G19697PM	SID518302343
G19707CU	GlyTouCan:G19707CU
G19707CU	SID491844490
G19710JA	GlyTouCan:G19710JA
G19710JA	SID491881620
G19722GZ	GlyTouCan:G19722GZ
G19722GZ	SID491937434
G19722HF	GlyTouCan:G19722HF
G19722HF	SID491881623
G19723XX	GlyTouCan:G19723XX
G19723XX	SID491881624
G19726AG	CID91849132
G19726AG	GlyTouCan:G19726AG
G19726AG	SID252280734
G19727AD	GlyTouCan:G19727AD
G19727AD	SID491881665
G19731XS	GlyTouCan:G19731XS
G19731XS	SID491881625
G19732RP	GlyTouCan:G19732RP
G19732RP	SID491881626
G19734UA	GlyTouCan:G19734UA
G19734UA	SID491881642
G19738FR	CID156618508
G19738FR	GlyTouCan:G19738FR
G19738FR	SID445516009
G19738XU	GlyTouCan:G19738XU
G19738XU	SID500108883
G19740UO	GlyTouCan:G19740UO
G19740UO	SID491937437
G19742BT	GlyTouCan:G19742BT
G19742BT	SID491881690
G19747OA	CID71297767
G19747OA	GlyTouCan:G19747OA
G19747OA	SID252294638
G19747RX	GlyTouCan:G19747RX
G19747RX	SID491937438
G19749DC	CID91861758
G19749DC	GlyTouCan:G19749DC
G19749DC	SID252295813
G19749LK	GlyTouCan:G19749LK
G19749LK	SID500108885
G19750IP	GlyTouCan:G19750IP
G19750IP	SID491881688
G19750UU	CID91845743
G19750UU	GlyTouCan:G19750UU
G19750UU	SID252276690
G19751QT	CID91847646
G19751QT	GlyTouCan:G19751QT
G19751QT	SID252278987
G19752OX	GlyTouCan:G19752OX
G19752OX	SID500108886
G19753MM	GlyTouCan:G19753MM
G19753MM	SID491881659
G19756XC	GlyTouCan:G19756XC
G19756XC	SID491881716
G19757VY	GlyTouCan:G19757VY
G19757VY	SID491937440
G19757XV	GlyTouCan:G19757XV
G19757XV	SID491844456
G19759SI	GlyTouCan:G19759SI
G19759SI	SID521706947
G19761TL	CID91858503
G19761TL	GlyTouCan:G19761TL
G19761TL	SID252291913
G19763QB	CID91860433
G19763QB	GlyTouCan:G19763QB
G19763QB	SID252294230
G19774ZH	GlyTouCan:G19774ZH
G19774ZH	SID500108892
G19776GU	CID91850525
G19776GU	GlyTouCan:G19776GU
G19776GU	SID252282383
G19776TF	CID176511929
G19776TF	GlyTouCan:G19776TF
G19776TF	SID518302345
G19777WI	CID176511930
G19777WI	GlyTouCan:G19777WI
G19777WI	SID518302346
G19778AE	GlyTouCan:G19778AE
G19778AE	SID491937446
G19782JM	GlyTouCan:G19782JM
G19782JM	SID491937447
G19784PB	CID156614854
G19784PB	GlyTouCan:G19784PB
G19784PB	SID445510725
G19784PR	GlyTouCan:G19784PR
G19784PR	SID491881726
G19785PB	GlyTouCan:G19785PB
G19785PB	SID491881741
G19786BU	GlyTouCan:G19786BU
G19786BU	SID491881744
G19787KT	GlyTouCan:G19787KT
G19787KT	SID491881752
G19789TE	GlyTouCan:G19789TE
G19789TE	SID491844471
G19790PJ	CID91861638
G19790PJ	GlyTouCan:G19790PJ
G19790PJ	SID252295673
G19793MN	GlyTouCan:G19793MN
G19793MN	SID491881751
G19793PI	GlyTouCan:G19793PI
G19793PI	SID491937423
G19793TF	GlyTouCan:G19793TF
G19793TF	SID491937449
G19798WM	CID91860923
G19798WM	GlyTouCan:G19798WM
G19798WM	SID252294826
G19798XY	CID156618124
G19798XY	GlyTouCan:G19798XY
G19798XY	SID445515574
G19804SF	CID146015910
G19804SF	GlyTouCan:G19804SF
G19804SF	SID405038536
G19805HY	GlyTouCan:G19805HY
G19805HY	SID491844457
G19806ZW	GlyTouCan:G19806ZW
G19806ZW	SID491937452
G19807BK	GlyTouCan:G19807BK
G19807BK	SID491937415
G19807JC	GlyTouCan:G19807JC
G19807JC	SID491937453
G19809IZ	GlyTouCan:G19809IZ
G19809IZ	SID491937524
G19810WK	GlyTouCan:G19810WK
G19810WK	SID491844500
G19813SH	GlyTouCan:G19813SH
G19813SH	SID491881748
G19815CW	GlyTouCan:G19815CW
G19815CW	SID491881718
G19817EM	GlyTouCan:G19817EM
G19817EM	SID491937454
G19819CX	GlyTouCan:G19819CX
G19819CX	SID491937527
G19822MG	CID91846373
G19822MG	GlyTouCan:G19822MG
G19822MG	SID252277435
G19826RH	GlyTouCan:G19826RH
G19826RH	SID491844469
G19826ZE	GlyTouCan:G19826ZE
G19826ZE	SID518304079
G19829VK	GlyTouCan:G19829VK
G19829VK	SID491844458
G19831RW	CID91856336
G19831RW	GlyTouCan:G19831RW
G19831RW	SID252289334
G19832RH	GlyTouCan:G19832RH
G19832RH	SID500108906
G19836CD	GlyTouCan:G19836CD
G19836CD	SID491844502
G19839OY	GlyTouCan:G19839OY
G19839OY	SID491881711
G19840AF	GlyTouCan:G19840AF
G19840AF	SID491844472
G19841IT	GlyTouCan:G19841IT
G19841IT	SID491844463
G19842AM	GlyTouCan:G19842AM
G19842AM	SID491881720
G19843TY	CID156618976
G19843TY	GlyTouCan:G19843TY
G19843TY	SID445516531
G19847WB	GlyTouCan:G19847WB
G19847WB	SID518304080
G19848BR	GlyTouCan:G19848BR
G19848BR	SID491881712
G19848DE	GlyTouCan:G19848DE
G19848DE	SID491844464
G19848FD	CID176511931
G19848FD	GlyTouCan:G19848FD
G19848FD	SID518302347
G19854OL	GlyTouCan:G19854OL
G19854OL	SID491937463
G19854PG	CID156614781
G19854PG	GlyTouCan:G19854PG
G19854PG	SID445510647
G19854WU	CID146016696
G19854WU	GlyTouCan:G19854WU
G19854WU	SID405039366
G19854XH	CID91861993
G19854XH	GlyTouCan:G19854XH
G19854XH	SID252296097
G19857HY	CID91845775
G19857HY	GlyTouCan:G19857HY
G19857HY	SID252276727
G19858IY	GlyTouCan:G19858IY
G19858IY	SID491844482
G19860ZP	GlyTouCan:G19860ZP
G19860ZP	SID491844466
G19863GR	GlyTouCan:G19863GR
G19863GR	SID491881767
G19863KG	GlyTouCan:G19863KG
G19863KG	SID491844467
G19865CT	GlyTouCan:G19865CT
G19865CT	SID491937466
G19865KY	GlyTouCan:G19865KY
G19865KY	SID491881816
G19866OD	GlyTouCan:G19866OD
G19866OD	SID491844470
G19868AX	CID156615090
G19868AX	GlyTouCan:G19868AX
G19868AX	SID445510967
G19869FI	GlyTouCan:G19869FI
G19869FI	SID500108910
G19870TQ	CID91849849
G19870TQ	GlyTouCan:G19870TQ
G19870TQ	SID252281569
G19872OS	CID3411618
G19872OS	GlyTouCan:G19872OS
G19872OS	SID482385046
G19875WE	GlyTouCan:G19875WE
G19875WE	SID500108912
G19879XX	GlyTouCan:G19879XX
G19879XX	SID491881838
G19883IH	GlyTouCan:G19883IH
G19883IH	SID491881791
G19885CO	CID156617784
G19885CO	GlyTouCan:G19885CO
G19885CO	SID445515098
G19885TN	GlyTouCan:G19885TN
G19885TN	SID491881818
G19886LH	CID91851142
G19886LH	GlyTouCan:G19886LH
G19886LH	SID252283113
G19889PB	CID168360408
G19889PB	GlyTouCan:G19889PB
G19889PB	SID482385055
G19889XB	GlyTouCan:G19889XB
G19889XB	SID491881836
G19889ZI	CID91854476
G19889ZI	GlyTouCan:G19889ZI
G19889ZI	SID252287100
G19890MT	GlyTouCan:G19890MT
G19890MT	SID491881768
G19894RH	CID91861639
G19894RH	GlyTouCan:G19894RH
G19894RH	SID252295674
G19897VA	GlyTouCan:G19897VA
G19897VA	SID491881772
G19898UW	GlyTouCan:G19898UW
G19898UW	SID491937471
G19902IZ	GlyTouCan:G19902IZ
G19902IZ	SID491881821
G19904RO	GlyTouCan:G19904RO
G19904RO	SID491881773
G19904TA	CID156616955
G19904TA	GlyTouCan:G19904TA
G19904TA	SID445514175
G19906BM	CID91856210
G19906BM	GlyTouCan:G19906BM
G19906BM	SID252289182
G19906TL	CID91846662
G19906TL	GlyTouCan:G19906TL
G19906TL	SID252277792
G19909ND	CID140517344
G19909ND	GlyTouCan:G19909ND
G19909ND	SID482385064
G19910JZ	GlyTouCan:G19910JZ
G19910JZ	SID518304081
G19911YR	GlyTouCan:G19911YR
G19911YR	SID491937473
G19913KF	GlyTouCan:G19913KF
G19913KF	SID491881775
G19914RN	GlyTouCan:G19914RN
G19914RN	SID491881799
G19915DR	CID91859699
G19915DR	GlyTouCan:G19915DR
G19915DR	SID252293346
G19917SO	GlyTouCan:G19917SO
G19917SO	SID491881855
G19918RR	GlyTouCan:G19918RR
G19918RR	SID491844544
G19926LY	CID91849719
G19926LY	GlyTouCan:G19926LY
G19926LY	SID252281423
G19927IA	GlyTouCan:G19927IA
G19927IA	SID491881777
G19930EP	GlyTouCan:G19930EP
G19930EP	SID491937481
G19933AN	GlyTouCan:G19933AN
G19933AN	SID491844517
G19933EP	GlyTouCan:G19933EP
G19933EP	SID491881778
G19934BY	GlyTouCan:G19934BY
G19934BY	SID491844518
G19934JL	GlyTouCan:G19934JL
G19934JL	SID491844519
G19934OP	CID168360418
G19934OP	GlyTouCan:G19934OP
G19934OP	SID482385073
G19935HT	GlyTouCan:G19935HT
G19935HT	SID491881809
G19935MZ	GlyTouCan:G19935MZ
G19935MZ	SID491844520
G19938TJ	GlyTouCan:G19938TJ
G19938TJ	SID491937421
G19940DW	GlyTouCan:G19940DW
G19940DW	SID491881779
G19941RO	GlyTouCan:G19941RO
G19941RO	SID522923454
G19942UK	GlyTouCan:G19942UK
G19942UK	SID500108925
G19943KG	CID91855349
G19943KG	GlyTouCan:G19943KG
G19943KG	SID252288147
G19949UL	CID91856750
G19949UL	GlyTouCan:G19949UL
G19949UL	SID252289828
G19950BP	CID91861205
G19950BP	GlyTouCan:G19950BP
G19950BP	SID252295159
G19954GM	GlyTouCan:G19954GM
G19954GM	SID491844521
G19954YX	GlyTouCan:G19954YX
G19954YX	SID491844533
G19956SX	GlyTouCan:G19956SX
G19956SX	SID500108928
G19957JG	CID168360423
G19957JG	GlyTouCan:G19957JG
G19957JG	SID482385083
G19957YR	GlyTouCan:G19957YR
G19957YR	SID491937422
G19957ZD	CID171122844
G19957ZD	GlyTouCan:G19957ZD
G19957ZD	SID491823740
G19958IL	CID91849234
G19958IL	GlyTouCan:G19958IL
G19958IL	SID252280864
G19961VO	GlyTouCan:G19961VO
G19961VO	SID491937488
G19962EA	CID156614968
G19962EA	GlyTouCan:G19962EA
G19962EA	SID445510839
G19962XN	GlyTouCan:G19962XN
G19962XN	SID491844513
G19962YD	GlyTouCan:G19962YD
G19962YD	SID491844549
G19965IC	GlyTouCan:G19965IC
G19965IC	SID500108932
G19968XU	CID146016959
G19968XU	GlyTouCan:G19968XU
G19968XU	SID405039672
G19971FR	GlyTouCan:G19971FR
G19971FR	SID491937425
G19971JJ	GlyTouCan:G19971JJ
G19971JJ	SID491937492
G19972QF	GlyTouCan:G19972QF
G19972QF	SID491881784
G19972YZ	GlyTouCan:G19972YZ
G19972YZ	SID491881853
G19973ZD	GlyTouCan:G19973ZD
G19973ZD	SID491881854
G19977LA	GlyTouCan:G19977LA
G19977LA	SID491844523
G19979XJ	CID25202965
G19979XJ	GlyTouCan:G19979XJ
G19979XJ	SID252292071
G19981OM	CID91851715
G19981OM	GlyTouCan:G19981OM
G19981OM	SID252283791
G19986LE	GlyTouCan:G19986LE
G19986LE	SID491881786
G19986NY	GlyTouCan:G19986NY
G19986NY	SID491844536
G19990PZ	GlyTouCan:G19990PZ
G19990PZ	SID491881822
G19992GW	GlyTouCan:G19992GW
G19992GW	SID491881787
G19993OB	GlyTouCan:G19993OB
G19993OB	SID491881845
G19996OB	GlyTouCan:G19996OB
G19996OB	SID491881803
G19997MG	GlyTouCan:G19997MG
G19997MG	SID491881804
G19997WD	GlyTouCan:G19997WD
G19997WD	SID500108939
G19997YP	GlyTouCan:G19997YP
G19997YP	SID491881833
G20001EP	GlyTouCan:G20001EP
G20001EP	SID491881788
G20002LQ	GlyTouCan:G20002LQ
G20002LQ	SID500108941
G20004JY	GlyTouCan:G20004JY
G20004JY	SID491844526
G20005ZW	CID78421838
G20005ZW	GlyTouCan:G20005ZW
G20005ZW	SID482385103
G20007MI	GlyTouCan:G20007MI
G20007MI	SID491937596
G20009FG	CID91850377
G20009FG	GlyTouCan:G20009FG
G20009FG	SID252282203
G20009SF	GlyTouCan:G20009SF
G20009SF	SID491881794
G20012OO	GlyTouCan:G20012OO
G20012OO	SID491881795
G20013YB	GlyTouCan:G20013YB
G20013YB	SID491881884
G20014JD	GlyTouCan:G20014JD
G20014JD	SID491881921
G20015ZD	GlyTouCan:G20015ZD
G20015ZD	SID491844511
G20016GC	GlyTouCan:G20016GC
G20016GC	SID491844512
G20018DL	CID156614419
G20018DL	GlyTouCan:G20018DL
G20018DL	SID445510276
G20021NB	GlyTouCan:G20021NB
G20021NB	SID500108945
G20021PB	CID91855826
G20021PB	GlyTouCan:G20021PB
G20021PB	SID252288722
G20026EA	GlyTouCan:G20026EA
G20026EA	SID491937598
