NCBI TaxID	Scientific Name	Common Name	Rank	Aggr	GlyTouCan	GlyCosmos	GlyConnect	GlyGen	Total
1392	Bacillus anthracis	anthrax	species	as annotated	15	24	0	1	24
1396	Bacillus cereus		species	as annotated	0	2	0	0	2
1397	Niallia circulans		species	as annotated	1	4	0	1	4
1398	Heyndrickxia coagulans		species	as annotated	0	2	0	0	2
1402	Bacillus licheniformis		species	as annotated	2	5	0	0	5
1404	Priestia megaterium		species	as annotated	1	3	0	0	3
1406	Paenibacillus polymyxa		species	as annotated	0	6	0	1	6
1408	Bacillus pumilus		species	as annotated	0	17	0	0	17
1409	Bacillus sp. (in: firmicutes)		species	as annotated	2	6	0	0	6
1422	Geobacillus stearothermophilus		species	as annotated	0	18	0	1	18
1423	Bacillus subtilis		species	as annotated	2	22	0	2	22
1485	Clostridium		genus	as annotated	0	8	0	1	8
1491	Clostridium botulinum		species	as annotated	1	1	0	0	1
1496	Clostridioides difficile		species	as annotated	2	2	0	1	2
1502	Clostridium perfringens		species	as annotated	0	2	0	0	2
1512	[Clostridium] symbiosum		species	as annotated	1	3	0	1	3
1515	Acetivibrio thermocellus		species	as annotated	13	25	7	11	26
1516	Thermoanaerobacter thermohydrosulfuricus		species	as annotated	0	7	1	0	8
1517	Thermoanaerobacterium thermosaccharolyticum		species	as annotated	0	6	0	0	6
1522	[Clostridium] innocuum		species	as annotated	0	2	0	1	2
1578	Lactobacillus		genus	as annotated	0	36	0	13	36
1579	Lactobacillus acidophilus		species	as annotated	0	5	0	0	5
1582	Lacticaseibacillus casei		species	as annotated	0	6	0	2	6
1584	Lactobacillus delbrueckii		species	as annotated	0	13	0	3	13
1585	Lactobacillus delbrueckii subsp. bulgaricus		subspecies	as annotated	0	8	0	0	8
1587	Lactobacillus helveticus		species	as annotated	1	25	0	6	25
1591	Lactobacillus sp.		species	as annotated	0	1	0	0	1
1597	Lacticaseibacillus paracasei		species	as annotated	1	1	0	0	1
1599	Latilactobacillus sakei		species	as annotated	0	4	0	0	4
1639	Listeria monocytogenes		species	as annotated	1	1	0	0	1
1646	Renibacterium salmoninarum		species	as annotated	2	2	0	0	2
1653	Corynebacteriaceae		family	as annotated	0	4	0	0	4
1656	Actinomyces viscosus		species	as annotated	0	1	0	0	1
1663	Arthrobacter		genus	as annotated	0	3	0	0	3
1665	Arthrobacter globiformis		species	as annotated	0	5	0	0	5
1667	Arthrobacter sp.		species	as annotated	2	7	0	0	7
1673	Rhizobium viscosum		species	as annotated	1	1	0	0	1
1678	Bifidobacterium		genus	as annotated	0	1	0	0	1
1680	Bifidobacterium adolescentis		species	as annotated	0	1	0	0	1
1681	Bifidobacterium bifidum		species	as annotated	8	12	0	7	12
1685	Bifidobacterium breve		species	as annotated	0	2	0	0	2
1686	Bifidobacterium catenulatum		species	as annotated	0	1	0	0	1
1701	Brevibacterium sp.		species	as annotated	0	1	0	0	1
1703	Brevibacterium linens		species	as annotated	0	2	0	0	2
1711	Cellulomonas flavigena		species	as annotated	0	1	0	1	1
1716	Corynebacterium		genus	as annotated	1	3	0	0	3
1720	Corynebacterium sp.		species	as annotated	0	4	0	0	4
1730	Eubacterium		genus	as annotated	0	1	0	0	1
1743	Propionibacterium		genus	as annotated	0	16	0	0	16
1744	Propionibacterium freudenreichii		species	as annotated	0	16	0	0	16
1747	Cutibacterium acnes		species	as annotated	1	1	0	0	1
1752	Propionibacterium freudenreichii subsp. shermanii		subspecies	as annotated	0	1	0	0	1
1760	Actinomycetes		class	as annotated	0	1	0	0	1
1762	Mycobacteriaceae		family	as annotated	0	1	0	0	1
1763	Mycobacterium		genus	as annotated	9	32	0	4	32
1764	Mycobacterium avium		species	as annotated	8	23	0	0	23
1765	Mycobacterium tuberculosis variant bovis		biotype	as annotated	6	38	0	4	38
1766	Mycolicibacterium fortuitum		species	as annotated	4	6	0	0	6
1767	Mycobacterium intracellulare		species	as annotated	1	2	0	0	2
1768	Mycobacterium kansasii		species	as annotated	9	9	0	0	9
1769	Mycobacterium leprae		species	as annotated	4	7	0	0	7
1772	Mycolicibacterium smegmatis		species	as annotated	25	35	0	3	35
1773	Mycobacterium tuberculosis		species	as annotated	36	62	0	6	62
1774	Mycobacteroides chelonae		species	as annotated	3	7	0	0	7
1777	Mycobacterium gastri		species	as annotated	1	7	0	0	7
1778	Mycobacterium gordonae		species	as annotated	0	10	0	0	10
1780	Mycobacterium malmoense		species	as annotated	3	3	0	0	3
1781	Mycobacterium marinum		species	as annotated	2	2	0	0	2
1783	Mycobacterium scrofulaceum		species	as annotated	1	1	0	0	1
1785	Mycobacterium sp.		species	as annotated	0	2	0	0	2
1789	Mycobacterium xenopi		species	as annotated	3	5	0	0	5
