accession	monosaccharide	count
G00204EX	Gal	2
G00204EX	Glc	1
G00204EX	GlcNAc	3
G00204EX	Hex	5
G00204EX	HexNAc	3
G00204EX	Man	2
G00207YQ	*	10
G00207YQ	Gal	1
G00207YQ	GlcNAc	4
G00207YQ	Hex	6
G00207YQ	HexNAc	4
G00207YQ	Man	5
G00211WY	*	12
G00211WY	Fuc	1
G00211WY	Gal	3
G00211WY	GlcNAc	4
G00211WY	Hex	6
G00211WY	HexNAc	4
G00211WY	Man	3
G00211WY	NeuAc	1
G00211WY	Sia	1
G00211WY	dHex	1
G00212ZT	*	8
G00212ZT	GlcNAc	1
G00212ZT	Hex	7
G00212ZT	HexNAc	1
G00212ZT	Man	7
G00219DO	*	10
G00219DO	Fuc	1
G00219DO	Gal	1
G00219DO	GalNAc	1
G00219DO	GlcNAc	4
G00219DO	Hex	4
G00219DO	HexNAc	5
G00219DO	Man	3
G00219DO	dHex	1
G00219VH	*	2
G00219VH	GalNAc	1
G00219VH	GlcNAc	1
G00219VH	HexNAc	2
G00221CZ	*	12
G00221CZ	Gal	3
G00221CZ	GlcNAc	6
G00221CZ	Hex	6
G00221CZ	HexNAc	6
G00221CZ	Man	3
G00222MO	*	10
G00222MO	Fuc	2
G00222MO	Hex	3
G00222MO	HexNAc	5
G00222MO	dHex	2
G00227RN	*	15
G00227RN	Fuc	1
G00227RN	Gal	3
G00227RN	GlcNAc	5
G00227RN	Hex	6
G00227RN	HexNAc	5
G00227RN	Man	3
G00227RN	NeuAc	3
G00227RN	Sia	3
G00227RN	dHex	1
G00229TF	*	5
G00229TF	Hex	2
G00229TF	HexNAc	2
G00229TF	HexNAc+aldi	1
G00229TF	aldi	1
G00229TF	dHex	1
G00229VQ	*	5
G00229VQ	Hex	2
G00229VQ	Hex+aldi	1
G00229VQ	HexNAc	3
G00229VQ	aldi	1
G00230CO	*	10
G00230CO	Fuc	1
G00230CO	GalNAc	2
G00230CO	GlcNAc	4
G00230CO	Hex	3
G00230CO	HexNAc	6
G00230CO	Man	3
G00230CO	S	2
G00230CO	dHex	1
G00230IL	*	10
G00230IL	Fuc	4
G00230IL	Gal	3
G00230IL	GalNAc	1
G00230IL	GalNAc+aldi	1
G00230IL	GlcNAc	2
G00230IL	Hex	3
G00230IL	HexNAc	3
G00230IL	HexNAc+aldi	1
G00230IL	aldi	1
G00230IL	dHex	4
G00231IQ	*	12
G00231IQ	Fuc	1
G00231IQ	Gal	1
G00231IQ	GalNAc	1
G00231IQ	GlcNAc	4
G00231IQ	Hex	5
G00231IQ	HexNAc	5
