GlyTouCanAccession	ChEBIAccession
G03480UY	CHEBI:146570
G03499BP	CHEBI:131457
G03499BP	CHEBI:62327
G03506YN	CHEBI:146571
G03509EL	CHEBI:146574
G03529DJ	CHEBI:146575
G03542LT	CHEBI:146578
G03542TR	CHEBI:146579
G03564IA	CHEBI:156637
G03572II	CHEBI:146581
G03591CN	CHEBI:146584
G03595ET	CHEBI:146585
G03600YM	CHEBI:146588
G03605AV	CHEBI:146589
G03605BS	CHEBI:146592
G03629LR	CHEBI:146593
G03637TP	CHEBI:146595
G03644PT	CHEBI:146597
G03649KR	CHEBI:156748
G03652TR	CHEBI:146236
G03652XH	CHEBI:146600
G03654ML	CHEBI:146601
G03670RH	CHEBI:156674
G03674DI	CHEBI:146603
G03681UF	CHEBI:146606
G03723FD	CHEBI:146608
G03723SL	CHEBI:146610
G03727RK	CHEBI:146611
G03728KZ	CHEBI:146614
G03739GM	CHEBI:156819
G03740OH	CHEBI:146616
G03750RD	CHEBI:146617
G03754YM	CHEBI:157534
G03756VW	CHEBI:146619
G03764XL	CHEBI:146622
G03766GQ	CHEBI:146624
G03767RW	CHEBI:146625
G03770HX	CHEBI:71660
G03770XP	CHEBI:156993
G03777BI	CHEBI:146627
G03789VH	CHEBI:146630
G03792OA	CHEBI:146631
G03796EF	CHEBI:156767
G03818JD	CHEBI:146634
G03819IX	CHEBI:146636
G03819SO	CHEBI:146638
G03820FM	CHEBI:146639
G03825XC	CHEBI:146641
G03827BO	CHEBI:157437
G03834RX	CHEBI:146644
G03847RK	CHEBI:156924
G03851WA	CHEBI:146647
G03861VK	CHEBI:41727
G03862KK	CHEBI:156688
G03877AD	CHEBI:157317
G03889QT	CHEBI:146650
G03909YF	CHEBI:146652
G03916DL	CHEBI:146654
G03919ED	CHEBI:146656
G03934XO	CHEBI:91283
G03948VT	CHEBI:146658
G03951JJ	CHEBI:146660
G03951MJ	CHEBI:146662
G03975EI	CHEBI:146664
G03986GH	CHEBI:146666
G03989SP	CHEBI:156776
G03990GS	CHEBI:62278
G04014FP	CHEBI:146670
G04014NS	CHEBI:146671
G04018GO	CHEBI:146674
G04023GJ	CHEBI:146675
G04048YA	CHEBI:146677
G04074KJ	CHEBI:146681
G04078TP	CHEBI:146683
G04089RG	CHEBI:146685
G04091CN	CHEBI:146688
G04099VY	CHEBI:146690
G04100NF	CHEBI:146692
G04109RU	CHEBI:146693
G04114CX	CHEBI:146694
G04118VH	CHEBI:156594
G04156GK	CHEBI:146695
G04163JP	CHEBI:146696
G04165AB	CHEBI:146697
G04165ZA	CHEBI:156786
G04187IN	CHEBI:68432
G04189PE	CHEBI:146698
G04210UW	CHEBI:146699
G04216GB	CHEBI:146700
G04220HB	CHEBI:145883
G04220HB	CHEBI:61915
G04220HB	CHEBI:61944
G04221EG	CHEBI:180788
G04261UG	CHEBI:146701
G04267XF	CHEBI:146702
G04273XP	CHEBI:146703
G04289KQ	CHEBI:157006
G04315YS	CHEBI:146705
G04357GL	CHEBI:146706
G04368OY	CHEBI:156654
G04400QM	CHEBI:146707
G04410EE	CHEBI:146708
G04414GO	CHEBI:146709
G04423CA	CHEBI:146710
G04428BJ	CHEBI:156652
G04433GV	CHEBI:157202
G04445KN	CHEBI:146711
G04448SF	CHEBI:146712
G04450CG	CHEBI:146713
G04462ZS	CHEBI:146714
G04472SL	CHEBI:146715
G04478DK	CHEBI:156697
G04483QG	CHEBI:146716
G04483SK	CHEBI:146717
G04497XO	CHEBI:65186
G04512BK	CHEBI:146718
G04522MB	CHEBI:146719
G04527KW	CHEBI:146720
G04535LS	CHEBI:146721
G04544OS	CHEBI:146722
G04550QS	CHEBI:156695
G04554QW	CHEBI:146723
G04557PM	CHEBI:156634
G04563PI	CHEBI:195318
G04564SK	CHEBI:156999
G04576KS	CHEBI:146724
G04585VW	CHEBI:156740
G04595LN	CHEBI:146725
G04598XU	CHEBI:146726
G04604GA	CHEBI:146728
G04608YG	CHEBI:157253
G04616ST	CHEBI:27707
G04618ND	CHEBI:146729
G04622LK	CHEBI:146730
G04624DG	CHEBI:68473
G04630LB	CHEBI:146731
G04638IX	CHEBI:146732
G04656HH	CHEBI:146733
G04662JQ	CHEBI:156669
G04670CJ	CHEBI:146734
G04681PT	CHEBI:146735
G04715SK	CHEBI:146737
G04719BG	CHEBI:146738
G04734LP	CHEBI:146739
G04744XB	CHEBI:146740
G04751OE	CHEBI:146741
G04751SB	CHEBI:146742
G04765GH	CHEBI:156814
G04767HS	CHEBI:146743
G04774ZB	CHEBI:146744
G04779EY	CHEBI:146745
G04783EJ	CHEBI:146746
G04791QM	CHEBI:71995
G04791YX	CHEBI:146747
G04792UK	CHEBI:146748
G04817LD	CHEBI:146749
G04820ZT	CHEBI:146750
G04829KA	CHEBI:146751
G04836KE	CHEBI:146752
G04842IW	CHEBI:157405
G04854NQ	CHEBI:146753
G04903PZ	CHEBI:146754
G04908IA	CHEBI:156646
G04910RR	CHEBI:146755
G04917SF	CHEBI:156619
G04937DD	CHEBI:146756
G04941HM	CHEBI:146757
G04941YC	CHEBI:61838
G04960UI	CHEBI:146758
G04964UA	CHEBI:146759
G04983EU	CHEBI:146760
G04984FA	CHEBI:156825
G04987NY	CHEBI:146761
G04989WY	CHEBI:146762
G05005QI	CHEBI:146763
G05014UV	CHEBI:146764
G05026ZL	CHEBI:12427
G05026ZL	CHEBI:50672
G05026ZL	CHEBI:57269
G05031SD	CHEBI:61187
G05057XI	CHEBI:146765
G05068FP	CHEBI:146766
G05096LE	CHEBI:146767
G05102JZ	CHEBI:146768
G05107KY	CHEBI:157506
G05108UT	CHEBI:145884
G05108UT	CHEBI:59085
G05128BK	CHEBI:146769
G05136BT	CHEBI:156812
G05151WT	CHEBI:156853
G05152XR	CHEBI:146770
G05153MO	CHEBI:146771
G05161OY	CHEBI:157236
G05180BW	CHEBI:146772
G05181BG	CHEBI:146773
G05184IQ	CHEBI:146774
G05187DJ	CHEBI:146775
G05188BU	CHEBI:146776
G05189JQ	CHEBI:136747
