GlyTouCanAccession	Resource	EntryID
G00180UA	glycosmos	G00180UA
G00180XW	glycosmos	G00180XW
G00181BE	glycosmos	G00181BE
G00182GE	glycosmos	G00182GE
G00182OC	glycosmos	G00182OC
G00182SM	glycosmos	G00182SM
G00182XS	glycosmos	G00182XS
G00183FH	glycosmos	G00183FH
G00183RF	glycosmos	G00183RF
G00183XS	glycosmos	G00183XS
G00184YS	glycosmos	G00184YS
G00185LG	glycosmos	G00185LG
G00185NL	glycosmos	G00185NL
G00185OA	glycosmos	G00185OA
G00185VD	glycosmos	G00185VD
G00186AF	glycosmos	G00186AF
G00186DL	glycosmos	G00186DL
G00186HV	glycosmos	G00186HV
G00186OS	glycosmos	G00186OS
G00186QQ	glycosmos	G00186QQ
G00186XM	glycosmos	G00186XM
G00188DX	glycosmos	G00188DX
G00188LU	glycosmos	G00188LU
G00188VT	glycosmos	G00188VT
G00189MD	glycosmos	G00189MD
G00190CG	glycosmos	G00190CG
G00190FX	glycosmos	G00190FX
G00190UD	glycosmos	G00190UD
G00191EJ	glycosmos	G00191EJ
G00192PV	glycosmos	G00192PV
G00193HL	glycosmos	G00193HL
G00193PK	glycosmos	G00193PK
G00193ZG	glycosmos	G00193ZG
G00194GV	glycosmos	G00194GV
G00194SP	glycosmos	G00194SP
G00194ZL	glycosmos	G00194ZL
G00195YN	glycosmos	G00195YN
G00196AU	glycosmos	G00196AU
G00196BG	glycosmos	G00196BG
G00196CO	glycosmos	G00196CO
G00199AH	glycosmos	G00199AH
G00199FM	glycosmos	G00199FM
G00199JQ	glycosmos	G00199JQ
G00199JR	glycosmos	G00199JR
G00199PM	glycosmos	G00199PM
G00199RL	glycosmos	G00199RL
G00200HU	glycosmos	G00200HU
G00200JO	glycosmos	G00200JO
G00200PY	glycosmos	G00200PY
G00201AB	glycosmos	G00201AB
G00201PO	glycosmos	G00201PO
G00202PK	glycosmos	G00202PK
G00203KS	glycosmos	G00203KS
G00204EX	glycosmos	G00204EX
G00205AU	glycosmos	G00205AU
G00205BH	glycosmos	G00205BH
G00205MV	glycosmos	G00205MV
G00205QP	glycosmos	G00205QP
G00205SF	glycosmos	G00205SF
G00205SJ	glycosmos	G00205SJ
G00205YH	glycosmos	G00205YH
G00206GI	glycosmos	G00206GI
G00206LV	glycosmos	G00206LV
G00207MD	glycosmos	G00207MD
G00207PV	glycosmos	G00207PV
G00207YQ	glycosmos	G00207YQ
G00208IG	glycosmos	G00208IG
G00208WQ	glycosmos	G00208WQ
G00209YV	glycosmos	G00209YV
G00209ZX	glycosmos	G00209ZX
G00210FR	glycosmos	G00210FR
G00210LH	glycosmos	G00210LH
G00210OY	glycosmos	G00210OY
G00210ZK	glycosmos	G00210ZK
G00210ZX	glycosmos	G00210ZX
G00211NO	glycosmos	G00211NO
G00211PK	glycosmos	G00211PK
G00211WY	glycosmos	G00211WY
G00212FB	glycosmos	G00212FB
G00212RH	glycosmos	G00212RH
G00212ZT	glycosmos	G00212ZT
G00213CT	glycosmos	G00213CT
G00213OO	glycosmos	G00213OO
G00214AA	glycosmos	G00214AA
G00214SJ	glycosmos	G00214SJ
G00215CZ	glycosmos	G00215CZ
G00215DW	glycosmos	G00215DW
G00215LS	glycosmos	G00215LS
G00215PP	glycosmos	G00215PP
G00217CL	glycosmos	G00217CL
G00217GD	glycosmos	G00217GD
G00217VN	glycosmos	G00217VN
G00219DO	glycosmos	G00219DO
G00219FW	glycosmos	G00219FW
G00219KD	glycosmos	G00219KD
G00219OB	glycosmos	G00219OB
G00219UE	glycosmos	G00219UE
G00219VH	glycosmos	G00219VH
G00220EK	glycosmos	G00220EK
G00221CZ	glycosmos	G00221CZ
G00221TP	glycosmos	G00221TP
G00221UZ	glycosmos	G00221UZ
G00221VI	glycosmos	G00221VI
G00221ZR	glycosmos	G00221ZR
G00222MO	glycosmos	G00222MO
G00222YQ	glycosmos	G00222YQ
G00223RG	glycosmos	G00223RG
G00224BA	glycosmos	G00224BA
G00224JQ	glycosmos	G00224JQ
G00224VW	glycosmos	G00224VW
G00224YI	glycosmos	G00224YI
G00225DC	glycosmos	G00225DC
G00225GZ	glycosmos	G00225GZ
G00225IY	glycosmos	G00225IY
G00226IF	glycosmos	G00226IF
G00226JR	glycosmos	G00226JR
G00227GV	glycosmos	G00227GV
G00227JL	glycosmos	G00227JL
G00227JQ	glycosmos	G00227JQ
G00227RN	glycosmos	G00227RN
G00227SV	glycosmos	G00227SV
G00227ZY	glycosmos	G00227ZY
G00228NI	glycosmos	G00228NI
G00228ZG	glycosmos	G00228ZG
G00229BZ	glycosmos	G00229BZ
G00229QC	glycosmos	G00229QC
G00229TF	glycosmos	G00229TF
