GlyTouCanAccession	Image-Size	Image-Notation	Image-Style	Image-Format
G00288RP	2666	snfg	extended	png
G00288RP	12747	snfg	extended	svg
G00293HN	972	snfg	extended	png
G00293HN	2789	snfg	extended	svg
G00294BL	1588	snfg	extended	png
G00294BL	7233	snfg	extended	svg
G00294TN	1784	snfg	extended	png
G00294TN	7585	snfg	extended	svg
G00298HY	1561	snfg	extended	png
G00298HY	5867	snfg	extended	svg
G00298LF	4511	snfg	extended	png
G00298LF	19302	snfg	extended	svg
G00304VE	1115	snfg	extended	png
G00304VE	4247	snfg	extended	svg
G00304VG	1904	snfg	extended	png
G00304VG	5579	snfg	extended	svg
G00305KL	1658	snfg	extended	png
G00305KL	10992	snfg	extended	svg
G00305KO	1650	snfg	extended	png
G00305KO	6210	snfg	extended	svg
G00306VT	1615	snfg	extended	png
G00306VT	5938	snfg	extended	svg
G00311MF	1254	snfg	extended	png
G00311MF	5951	snfg	extended	svg
G00313OR	1033	snfg	extended	png
G00313OR	4448	snfg	extended	svg
G00318AV	4146	snfg	extended	png
G00318AV	21040	snfg	extended	svg
G00318UE	3911	snfg	extended	png
G00318UE	21479	snfg	extended	svg
G00320ZP	4729	snfg	extended	png
G00320ZP	21062	snfg	extended	svg
G00321UH	1801	snfg	extended	png
G00321UH	10892	snfg	extended	svg
G00325UK	6510	snfg	extended	png
G00325UK	26256	snfg	extended	svg
G00328AZ	4440	snfg	extended	png
G00328AZ	21136	snfg	extended	svg
G00328CG	4096	snfg	extended	png
G00328CG	17994	snfg	extended	svg
G00328HB	2573	snfg	extended	png
G00328HB	12700	snfg	extended	svg
G00331XG	4492	snfg	extended	png
G00331XG	22422	snfg	extended	svg
G00333ZL	1190	snfg	extended	png
G00333ZL	6010	snfg	extended	svg
G00335DM	2391	snfg	extended	png
G00335DM	14394	snfg	extended	svg
G00335JE	2549	snfg	extended	png
G00335JE	9425	snfg	extended	svg
G00335TI	2423	snfg	extended	png
G00335TI	10803	snfg	extended	svg
G00336XG	2648	snfg	extended	png
G00336XG	14371	snfg	extended	svg
G00338CG	1660	snfg	extended	png
G00338CG	6181	snfg	extended	svg
G00340NM	3254	snfg	extended	png
G00340NM	16010	snfg	extended	svg
G00349CA	4236	snfg	extended	png
G00349CA	19455	snfg	extended	svg
G00351AQ	1859	snfg	extended	png
G00351AQ	7276	snfg	extended	svg
G00356FQ	1314	snfg	extended	png
G00356FQ	5943	snfg	extended	svg
G00357HK	5461	snfg	extended	png
G00357HK	22800	snfg	extended	svg
G00361LC	6657	snfg	extended	png
G00361LC	26062	snfg	extended	svg
G00361YF	3633	snfg	extended	png
G00361YF	15905	snfg	extended	svg
G00362UY	1087	snfg	extended	png
G00362UY	4183	snfg	extended	svg
G00368HM	5070	snfg	extended	png
G00368HM	22743	snfg	extended	svg
G00369RM	6163	snfg	extended	png
G00369RM	26079	snfg	extended	svg
G00370EI	1991	snfg	extended	png
G00370EI	11015	snfg	extended	svg
G00370ES	2140	snfg	extended	png
G00370ES	6374	snfg	extended	svg
G00371DJ	1804	snfg	extended	png
G00371DJ	7533	snfg	extended	svg
G00372ZO	1785	snfg	extended	png
G00372ZO	7524	snfg	extended	svg
G00376RB	3441	snfg	extended	png
G00376RB	15555	snfg	extended	svg
G00379PJ	2035	snfg	extended	png
G00379PJ	9268	snfg	extended	svg
G00381SH	3600	snfg	extended	png
G00381SH	15956	snfg	extended	svg
G00381YD	2531	snfg	extended	png
G00381YD	10973	snfg	extended	svg
G00383KP	2889	snfg	extended	png
G00383KP	12654	snfg	extended	svg
G00383NC	1584	snfg	extended	png
G00383NC	7544	snfg	extended	svg
G00383YF	4343	snfg	extended	png
G00383YF	19372	snfg	extended	svg
G00386WN	1735	snfg	extended	png
G00386WN	5587	snfg	extended	svg
G00390GQ	1645	snfg	extended	png
G00390GQ	6597	snfg	extended	svg
G00394CR	3248	snfg	extended	png
G00394CR	14281	snfg	extended	svg
G00395FS	1140	snfg	extended	png
G00395FS	6009	snfg	extended	svg
G00395TQ	1968	snfg	extended	png
G00395TQ	9248	snfg	extended	svg
G00396DP	2592	snfg	extended	png
G00396DP	12683	snfg	extended	svg
G00396IE	3528	snfg	extended	png
G00396IE	17678	snfg	extended	svg
G00399LG	810	snfg	extended	png
G00399LG	4182	snfg	extended	svg
G00401IE	1142	snfg	extended	png
G00401IE	6188	snfg	extended	svg
G00402KT	2783	snfg	extended	png
G00402KT	19290	snfg	extended	svg
G00403ZD	1820	snfg	extended	png
G00403ZD	9791	snfg	extended	svg
G00406II	1358	snfg	extended	png
G00406II	5447	snfg	extended	svg
G00407UJ	1629	snfg	extended	png
G00407UJ	7656	snfg	extended	svg
G00412SV	3533	snfg	extended	png
G00412SV	16238	snfg	extended	svg
G00413UF	4919	snfg	extended	png
G00413UF	22763	snfg	extended	svg
G00415VF	4095	snfg	extended	png
G00415VF	21358	snfg	extended	svg
G00418DG	1822	snfg	extended	png
G00418DG	7613	snfg	extended	svg
G00420CS	5518	snfg	extended	png
