accession	monosaccharide
G01608SJ	GlcNAc
G01608SJ	HexNAc
G01608UX	GalNAc
G01608UX	HexNAc
G01612MY	GlcNAc
G01612MY	HexNAc
G01613KN	GlcNAc
G01613KN	HexNAc
G01614ZM	GalNAc
G01614ZM	HexNAc
G01625GQ	GalNAc
G01625GQ	HexNAc
G01629YL	Glc
G01629YL	Hex
G01630EX	GlcNAc
G01630EX	HexNAc
G01631SU	GlcNAc
G01631SU	HexNAc
G01635ZC	GlcNAc
G01635ZC	HexNAc
G01643LM	GalNAc
G01643LM	HexNAc
G01650CJ	GlcNAc
G01650CJ	HexNAc
G01650PH	Glc
G01650PH	Hex
G01654FP	GlcNAc
G01654FP	HexNAc
G01657DW	GlcNAc
G01657DW	HexNAc
G01657UH	GalNAc
G01657UH	HexNAc
G01659IT	Glc
G01659IT	Hex
G01659NO	GlcNAc
G01659NO	HexNAc
G01665LU	GalNAc
G01665LU	HexNAc
G01669LU	GlcNAc
G01669LU	HexNAc
G01670UQ	GlcNAc
G01670UQ	HexNAc
G01675YF	GlcNAc
G01675YF	HexNAc
G01680CB	GlcNAc
G01680CB	HexNAc
G01682GA	GlcNAc
G01682GA	HexNAc
G01685IB	GlcNAc
G01685IB	HexNAc
G01690DX	Glc
G01690DX	Hex
G01695WQ	GlcNAc
G01695WQ	HexNAc
G01696BA	GlcNAc
G01696BA	HexNAc
G01698AR	GlcNAc
G01698AR	HexNAc
G01698QO	GlcNAc
G01698QO	HexNAc
G01699OT	GlcNAc
G01699OT	HexNAc
G01706RV	GlcNAc
G01706RV	HexNAc
G01707KB	GalNAc
G01707KB	HexNAc
G01708UF	Glc
G01708UF	Hex
G01713HS	GlcNAc
G01713HS	HexNAc
G01713LB	Hex
G01714NT	Glc
G01714NT	Hex
G01716TC	GlcNAc
G01716TC	HexNAc
G01718WD	Glc
G01718WD	Hex
G01722AX	GlcNAc
G01722AX	HexNAc
G01722HI	GalNAc
G01722HI	HexNAc
G01725BW	GalNAc
G01725BW	HexNAc
G01726AL	GlcNAc
G01726AL	HexNAc
G01726AR	GalNAc
G01726AR	HexNAc
G01726PL	GlcNAc
G01726PL	HexNAc
G01727PW	GlcNAc
G01727PW	HexNAc
G01730TA	GlcNAc
G01730TA	HexNAc
G01732WP	GlcNAc
G01732WP	HexNAc
G01741TB	GlcNAc
G01741TB	HexNAc
G01742GV	GlcNAc
G01742GV	HexNAc
G01744JD	GalNAc
G01744JD	HexNAc
G01747AF	GlcNAc
G01747AF	HexNAc
G01747FB	GalNAc
G01747FB	HexNAc
G01748MD	Gal
G01748MD	Hex
G01749YL	GalNAc
G01749YL	HexNAc
G01752VH	GlcNAc
G01752VH	HexNAc
G01753HF	Gal
G01753HF	Hex
G01753LJ	GalNAc
G01753LJ	HexNAc
G01755WL	GlcNAc
G01755WL	HexNAc
G01759NM	GalNAc
G01759NM	HexNAc
G01760ZU	GlcNAc
G01760ZU	HexNAc
G01765SB	GlcNAc
G01765SB	HexNAc
G01765ZR	Gal
G01765ZR	Hex
G01767JJ	Glc
G01767JJ	Hex
