GlyTouCan AC	Tissue	Species	AnnotationCategory	Source	Source ID
G37427AX	UBERON:0002419	Human	Subsumption	GNOme	G84553QQ
G37427AX	UBERON:0002048	Human	Direct	PubMed	23516363
G37427AX	UBERON:0002185	Human	Direct	PubMed	23516363
G37427AX	UBERON:0002048	Human	Direct	TableMaker	GLY_001408
G37427AX	UBERON:0002185	Human	Direct	TableMaker	GLY_001408
G37427AX	UBERON:0000948	Mouse	Subsumption	GNOme	G84553QQ
G37427AX	UBERON:0000964	Mouse	Subsumption	GNOme	G84553QQ
G37427AX	UBERON:0000992	Mouse	Subsumption	GNOme	G84553QQ
G37427AX	UBERON:0002048	Mouse	Subsumption	GNOme	G84553QQ
G37427AX	UBERON:0002107	Mouse	Subsumption	GNOme	G84553QQ
G37427AX	UBERON:0002535	ZebraFish	Subsumption	GNOme	G85507NU
G37508YX	UBERON:0002419	ZebraFish	Subsumption	GNOme	G44747CU
G37508YX	UBERON:0002535	ZebraFish	Subsumption	GNOme	G44747CU
G37509XX	UBERON:0000178	Human	Direct	PubMed	30093973
G37509XX	UBERON:0000178	Human	Direct	TableMaker	GLY_001408
G37509XX	UBERON:0000955	Mouse	Subsumption	GNOme	G68959TR
G37509XX	UBERON:0001155	Mouse	Subsumption	GNOme	G68959TR
G37559NT	UBERON:0002048	Human	Subsumption	GNOme	G02079RR
G37559NT	UBERON:0001155	Human	Subsumption	GNOme	G77621PZ
G37559NT	UBERON:0002106	Human	Subsumption	GNOme	G77621PZ
G37559NT	UBERON:0000955	Mouse	Subsumption	GNOme	G77621PZ
G37578YZ	UBERON:0000323	FruitFly	Subsumption	GNOme	G73636FD
G37578YZ	UBERON:0000922	FruitFly	Subsumption	GNOme	G73636FD
G37578YZ	UBERON:0019248	FruitFly	Subsumption	GNOme	G73636FD
G37578YZ	UBERON:0000029	Human	Subsumption	GNOme	G03652TR
G37578YZ	UBERON:0000948	Human	Subsumption	GNOme	G03652TR
G37578YZ	UBERON:0001155	Human	Subsumption	GNOme	G03652TR
G37578YZ	UBERON:0001264	Human	Subsumption	GNOme	G03652TR
G37578YZ	UBERON:0001977	Human	Subsumption	GNOme	G03652TR
G37578YZ	UBERON:0002048	Human	Subsumption	GNOme	G03652TR
G37578YZ	UBERON:0002106	Human	Subsumption	GNOme	G03652TR
G37578YZ	UBERON:0002107	Human	Subsumption	GNOme	G03652TR
G37578YZ	UBERON:0002108	Human	Subsumption	GNOme	G03652TR
G37578YZ	UBERON:0002419	Human	Subsumption	GNOme	G03652TR
G37578YZ	UBERON:0002107	Human	Subsumption	GNOme	G64810UY
G37578YZ	UBERON:0000178	Human	Subsumption	GNOme	G73636FD
G37578YZ	UBERON:0001969	Human	Subsumption	GNOme	G73636FD
G37578YZ	UBERON:0002048	Human	Subsumption	GNOme	G73636FD
G37578YZ	UBERON:0002185	Human	Subsumption	GNOme	G73636FD
G37578YZ	UBERON:0000473	Mouse	Subsumption	GNOme	G03652TR
G37578YZ	UBERON:0000948	Mouse	Subsumption	GNOme	G03652TR
G37578YZ	UBERON:0000955	Mouse	Subsumption	GNOme	G03652TR
G37578YZ	UBERON:0000964	Mouse	Subsumption	GNOme	G03652TR
G37578YZ	UBERON:0000992	Mouse	Subsumption	GNOme	G03652TR
G37578YZ	UBERON:0001155	Mouse	Subsumption	GNOme	G03652TR
G37578YZ	UBERON:0002048	Mouse	Subsumption	GNOme	G03652TR
G37578YZ	UBERON:0002106	Mouse	Subsumption	GNOme	G03652TR
G37578YZ	UBERON:0002107	Mouse	Subsumption	GNOme	G03652TR
G37578YZ	UBERON:0002108	Mouse	Subsumption	GNOme	G03652TR
G37578YZ	UBERON:0002113	Mouse	Subsumption	GNOme	G03652TR
G37578YZ	UBERON:0002370	Mouse	Subsumption	GNOme	G03652TR
G37589WD	UBERON:0002048	Human	Direct	PubMed	23516363
G37589WD	UBERON:0002048	Human	Direct	TableMaker	GLY_001408
G37591JC	UBERON:0001977	Human	Direct	DOI	10.1016/B978-0-12-373600-0.00012-3
G37591JC	UBERON:0001977	Human	Direct	GlyCosmos	G37591JC
G37599CL	UBERON:0000178	Human	Direct	PubMed	30844485
G37599CL	UBERON:0000178	Human	Direct	TableMaker	GLY_001408
G37602JF	UBERON:0000992	ZebraFish	Subsumption	GNOme	G29451DX
G37622UP	UBERON:0000323	FruitFly	Subsumption	GNOme	G39389UU
G37622UP	UBERON:0000922	FruitFly	Subsumption	GNOme	G39389UU
G37622UP	UBERON:0019248	FruitFly	Subsumption	GNOme	G39389UU
G37622UP	UBERON:0001969	Human	Subsumption	GNOme	G30159WR
G37622UP	UBERON:0002107	Human	Subsumption	GNOme	G51739IA
G37622UP	UBERON:0000029	Human	Subsumption	GNOme	G58284AM
G37622UP	UBERON:0000948	Human	Subsumption	GNOme	G58284AM
G37622UP	UBERON:0001155	Human	Subsumption	GNOme	G58284AM
G37622UP	UBERON:0001264	Human	Subsumption	GNOme	G58284AM
G37622UP	UBERON:0002048	Human	Subsumption	GNOme	G58284AM
G37622UP	UBERON:0002106	Human	Subsumption	GNOme	G58284AM
G37622UP	UBERON:0002107	Human	Subsumption	GNOme	G58284AM
