GlyTouCanAccession	GLYCOSCIENCESdeAccession
G19577LJ	11441
G19577LJ	11442
G19577LJ	11443
G19577LJ	15258
G19577LJ	22645
G19594VJ	5242
G19607EP	12684
G19615BB	15261
G19615BB	24276
G19619KS	3704
G19619KS	6270
G19619KS	8861
G19619KS	19143
G19675BE	3961
G19677EK	12579
G19677EK	25942
G19687OL	23977
G19710JA	3489
G19726AG	24968
G19763QB	1457
G19763QB	16397
G19790PJ	23305
G19829VK	1577
G19863KG	7207
G19886LH	27515
G19889ZI	2554
G19894RH	1334
G19894RH	14416
G19906BM	3940
G19934BY	16308
G19943KG	4157
G19949UL	2506
G19949UL	1315
G19958IL	13292
G19958IL	23243
G19977LA	11762
G20009FG	4570
G20030CU	2031
G20030CU	3469
G20030CU	5720
G20030CU	23039
G20044TD	785
G20044TD	11515
G20044TD	27068
G20096RP	7711
G20096RP	23898
G20140JS	2002
G20170YB	23523
G20172ET	15727
G20176SH	1173
G20180GO	2774
G20210OT	17379
G20212GT	27511
G20265RJ	12267
G20366LO	256
G20453WS	12343
G20544CY	15936
G20578GS	4004
G20624LQ	4017
G20692QU	14032
G20815TK	1583
G20815TK	4263
G20815TK	5727
G20815TK	21471
G20815TK	21473
G20815TK	21475
G20894MY	14015
G20926BB	24434
G20953SW	1998
G20953SW	15759
G20956ZK	23503
G20965WY	16735
G20983SP	17903
G20983SP	24532
G20996LA	1252
G21050RT	24274
G21050RT	15259
G21067JW	1223
G21067JW	3206
G21246OH	23217
G21251LN	1378
G21251LN	2416
G21290RB	555
G21290RB	550
G21290RB	554
G21290RB	3992
G21290RB	3998
G21290RB	6516
G21290RB	6574
G21293AK	6667
G21312EA	3171
G21319HP	16605
G21319HP	24426
G21326MT	23850
G21412CQ	613
G21421NG	2603
G21459ST	2136
G21459ST	16059
G21470TX	15745
G21507RO	2447
G21507RO	8520
G21507RO	8521
G21507RO	14557
G21507RO	14856
G21513QX	24772
G21518JT	1602
G21541CK	3166
G21541CK	15026
G21573GX	15192
G21592GP	9080
G21647CX	9585
G21647CX	1476
G21647CX	7915
G21647CX	11931
G21647CX	18052
G21647CX	18053
G21647CX	18054
G21647CX	18056
G21647CX	18057
G21647CX	18058
G21647CX	18059
G21647CX	18060
G21647CX	18061
G21647CX	18063
G21667GZ	16307
G21672MV	12544
G21672MV	24052
G21756MV	26139
G21856LC	2873
G21856LC	18934
G21856LC	75
G21856LC	691
G21856LC	6509
G21856LC	14342
G21856LC	18933
G21856LC	18935
G21856LC	18936
G21916IS	25748
G21939WK	17391
G21998NE	8666
G22019SD	1737
G22031JX	3385
G22048BB	5723
G22048BB	23917
G22048BB	8223
G22048BB	8224
G22048BB	23916
G22067PR	16320
G22098NU	8226
G22098NU	23919
G22137KZ	15691
G22176ZE	12112
G22188XM	15698
G22214RN	16503
G22233KL	8702
G22251DB	3993
G22385OT	12347
G22387ST	4003
G22418PV	3703
G22418PV	8860
G22478ZB	14239
G22498IQ	12421
G22546XD	12548
G22546XD	24056
G22558JP	25412
G22573IV	3959
G22573RC	231
G22573RC	22944
G22629JM	16509
G22665UT	5324
G22686TA	15708
G22687CS	14841
G22689CV	2646
G22728HO	25962
G22732RT	15948
G22754FQ	1995
G22754FQ	2510
G22768VO	972
G22768VO	1517
G22768VO	5706
G22768VO	7456
G22768VO	14575
G22768VO	14578
G22768VO	15668
G22768VO	16170
G22768VO	17540
G22768VO	19062
G22782LH	17006
G22784CD	4124
G22856AB	3290
G22865RK	16375
G22865RK	24390
G22880KN	8766
G22898PA	12546
G22898PA	24054
G22927MQ	13764
G22976NF	8710
G22979QH	4057
G23000DQ	6647
G23000DQ	8729
G23000DQ	9578
G23043XI	1911
G23083MS	16621
G23094JF	5315
G23126IF	4418
G23166NU	24367
G23211TW	3065
G23211TW	3479
G23211TW	11653
G23211TW	11663
G23211TW	14686
G23211TW	17898
G23211TW	22098
G23211TW	22100
G23212AS	11789
G23214KL	1241
G23232XI	2586
G23232XI	13845
G23295TF	12018
G23295TF	24000
G23347CS	746
G23365SP	8107
G23425OX	8708
G23484GM	24978
G23546LY	24062
G23577TY	16426
G23577TY	24394
G23616ZX	4267
G23616ZX	7771
G23616ZX	7774
G23626NI	24836
G23647WB	13672
G23651JJ	529
G23667XV	4999
G23681XP	1166
G23695JT	2562
G23695JT	15998
G23707SD	1249
G23770JR	22766
G23778GQ	3380
G23782KP	26120
G23799GS	2147
G23799GS	3737
G23893ZL	19746
G23934WD	2599
G23935WM	6603
G23980PE	1296
G24030QV	8712
G24034CH	3562
G24151NT	12286
G24155DW	24719
G24267OV	1225
G24274LP	15819
G24283IO	17110
G24327OK	4000
G24327OK	23739
G24329OK	8352
G24352FX	1170
G24355OK	15864
G24366XJ	1806
G24393WU	1565
G24413UY	24794
G24432YB	365
G24432YB	7117
G24432YB	9378
G24432YB	22212
G24432YB	22709
G24436CD	13070
G24499XE	13953
G24599MW	8167
G24604HV	19233
G24604HV	25018
G24620AI	16080
G24620AI	24319
G24654CT	11794
G24721WU	2638
G24748QU	24353
G24769QK	23733
G24769QK	17028
G24769QK	3701
G24791UN	23470
G24798BT	8936
G24811FP	14628
G24870CO	1818
G24875YE	25468
G24949QT	7262
G24960JP	14839
G24987DS	5719
G24987DS	23040
G24995OS	16234
G25097RR	25048
G25127VR	22329
G25132GJ	1401
G25132GJ	12742
G25140TA	16100
G25140TA	23631
G25142VB	3427
G25162JS	1369
G25162JS	2739
G25178FO	14306
G25224QY	15743
G25268QT	28
G25268QT	8594
G25268QT	14397
G25268QT	17234
G25302QS	15947
G25326BM	24758
G25328BM	3849
G25328BM	23726
G25350TT	23527
G25361DH	1966
G25392ZR	12723
G25392ZR	24106
G25407RZ	26218
G25423CA	12675
G25429RR	16076
G25429RR	24315
G25432QA	12109
G25457IZ	18167
G25471TG	26169
G25492QI	3825
G25505UF	24617
G25520XG	3951
G25520XG	3421
G25520XG	23293
G25534RX	12246
G25554YF	3677
G25576NO	2549
G25577BM	17272
G25577BM	23177
G25731WL	26158
G25733QB	21798
G25757VW	14120
G25835MT	25812
G25869EQ	16162
G25891YZ	17532
G25953KD	16514
G26018HD	23220
G26036PN	783
G26039ES	14428
G26039ES	19675
G26039ES	1239
G26039ES	1854
G26039ES	14553
G26039ES	17243
G26039ES	18334
G26099QK	2583
G26121MN	12295
G26123AX	17679
G26123AX	213
G26123AX	3706
