GlyTouCanAccession	UniCarbKBID
G12340GZ	comp_HexNAc7Hex6dHex0NeuAc4NeuGc0Pent0S0P0KDN0HexA0
G12341GU	comp_HexNAc7Hex8dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G12396GB	122
G12398HZ	2099
G12398HZ	7654
G12398HZ	7843
G12398HZ	G12398HZ
G12436UO	3503
G12511VU	8108
G12520SZ	comp_HexNAc2Hex1dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G12580WI	G12580WI
G12580WI	comp_HexNAc5Hex5dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G12604EW	7541
G12708JQ	7590
G12772RI	comp_HexNAc9Hex6dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G12795MA	comp_HexNAc8Hex11dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G12872WY	comp_HexNAc10Hex10dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G12959FT	comp_HexNAc2Hex13dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G13144LI	comp_HexNAc3Hex7dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G13151XE	2163
G13151XE	G13151XE
G13165FV	8069
G13193DT	comp_HexNAc8Hex7dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G13197FM	G13197FM
G13282WA	1999
G13290KJ	4250
G13360UI	comp_HexNAc8Hex7dHex0NeuAc0NeuGc2Pent0S0P0KDN0HexA0
G13381VV	comp_HexNAc2Hex6dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G13436HZ	comp_HexNAc3Hex0dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA2
G13492FY	comp_HexNAc4Hex7dHex1NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G13575DQ	comp_HexNAc0Hex2dHex0NeuAc0NeuGc0Pent1S0P1KDN0HexA0
G13620OS	comp_HexNAc6Hex6dHex7NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G13635UJ	comp_HexNAc6Hex6dHex5NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G13661YX	7873
G13716SG	comp_HexNAc9Hex10dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G13815HZ	comp_HexNAc7Hex7dHex0NeuAc2NeuGc3Pent0S0P0KDN0HexA0
G13973YO	comp_HexNAc4Hex9dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G13978DT	comp_HexNAc8Hex10dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G14047PA	1247
G14127XU	1611
G14176QY	7818
G14191MJ	comp_HexNAc2Hex7dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G14305YT	comp_HexNAc6Hex8dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G14343MU	7427
G14358WN	7832
G14366OZ	comp_HexNAc6Hex7dHex0NeuAc3NeuGc0Pent0S1P0KDN0HexA0
G14368ET	comp_HexNAc5Hex7dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G14389GM	3423
G14440NQ	comp_HexNAc7Hex5dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G14548ZL	7924
G14696LD	5664
G14697XA	comp_HexNAc8Hex8dHex4NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G14882EB	7539
G14882IL	comp_HexNAc9Hex7dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G14926RK	comp_HexNAc7Hex6dHex1NeuAc4NeuGc0Pent0S0P0KDN0HexA0
G14943SF	comp_HexNAc6Hex7dHex0NeuAc1NeuGc3Pent0S0P0KDN0HexA0
G14985NB	G14985NB
G14996IQ	1719
G14998UC	1729
G15038BD	G15038BD
G15038BD	comp_HexNAc4Hex6dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G15052LK	G15052LK
G15064OQ	comp_HexNAc6Hex1dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G15127JD	comp_HexNAc9Hex10dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G15145JC	comp_HexNAc5Hex8dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G15198VK	3951
G15205QB	comp_HexNAc3Hex6dHex0NeuAc0NeuGc0Pent0S0P1KDN0HexA0
G15309HG	G15309HG
G15328EL	comp_HexNAc5Hex7dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G15407YE	1775
G15486FH	G15486FH
G15486FH	comp_HexNAc3Hex5dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G15666IG	comp_HexNAc1Hex4dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G15750OF	comp_HexNAc6Hex5dHex2NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G15765EV	comp_HexNAc3Hex1dHex1NeuAc0NeuGc0Pent0S1P0KDN0HexA0
G15791TK	7402
G15828HX	7550
G15868RK	7645
G15881BW	comp_HexNAc8Hex8dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G15919RU	comp_HexNAc0Hex2dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G15968KS	comp_HexNAc8Hex7dHex0NeuAc2NeuGc0Pent0S2P0KDN0HexA0
G16122GW	7815
G16150CJ	1693
G16175ZV	comp_HexNAc4Hex6dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G16204NU	7515
G16265MV	7148
G16265MV	G16265MV
G16370GQ	97
G16407EV	G16407EV
G16407EV	comp_HexNAc2Hex5dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G16455YH	comp_HexNAc8Hex7dHex1NeuAc2NeuGc0Pent0S2P0KDN0HexA0
G16462LS	comp_HexNAc5Hex9dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G16529MG	1793
G16536EO	5095
G16546FJ	comp_HexNAc5Hex6dHex0NeuAc1NeuGc2Pent0S0P0KDN0HexA0
G16546ZZ	7466
G16612QG	G16612QG
G16656YR	comp_HexNAc8Hex8dHex0NeuAc1NeuGc3Pent0S0P0KDN0HexA0
G16691WC	comp_HexNAc1Hex4dHex1NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G16758MX	7610
G16774YZ	1537
G16824XE	comp_HexNAc4Hex7dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G16828VN	1653
G16828VN	G16828VN
G16873YG	2671
G16915GU	comp_HexNAc3Hex2dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G16993HQ	comp_HexNAc3Hex1dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G17015OC	G17015OC
G17015OC	comp_HexNAc1Hex1dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G17023GV	comp_HexNAc5Hex7dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G17028OG	G17028OG
G17155VX	1983
G17168RO	3629
G17211TR	G17211TR
G17216OT	comp_HexNAc4Hex3dHex0NeuAc0NeuGc2Pent0S0P0KDN0HexA0
G17264LS	G17264LS
G17336WC	5131
G17409FQ	7881
G17438DO	comp_HexNAc12Hex13dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G17540HT	1541
G17559XZ	comp_HexNAc4Hex5dHex0NeuAc1NeuGc2Pent0S0P0KDN0HexA0
G17650MH	G17650MH
G17650MH	comp_HexNAc7Hex7dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G17689DH	1189
G17689DH	G17689DH
G17818RC	comp_HexNAc1Hex13dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G17848HM	8227
G17899TT	comp_HexNAc6Hex7dHex2NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G17927BF	comp_HexNAc8Hex8dHex0NeuAc1NeuGc4Pent0S0P0KDN0HexA0
G17978LE	G17978LE
G18013WR	7688
G18081CC	comp_HexNAc0Hex0dHex0NeuAc0NeuGc0Pent1S1P0KDN0HexA1
G18081HD	comp_HexNAc2Hex3dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G18120ND	comp_HexNAc7Hex8dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G18123SG	comp_HexNAc6Hex5dHex4NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G18188WJ	7294
G18249YV	comp_HexNAc8Hex8dHex0NeuAc5NeuGc0Pent0S0P0KDN0HexA0
G18307ZZ	comp_HexNAc4Hex6dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G18442LT	comp_HexNAc4Hex2dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G18619IO	8110
G18641OW	G18641OW
G18760WR	comp_HexNAc7Hex7dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G18883TH	comp_HexNAc6Hex7dHex4NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G18938DW	1919
G18950SY	comp_HexNAc6Hex5dHex1NeuAc2NeuGc1Pent0S0P0KDN0HexA0
G18981TN	comp_HexNAc2Hex2dHex0NeuAc0NeuGc0Pent0S2P0KDN0HexA0
G18982QA	G18982QA
G18995MT	comp_HexNAc4Hex4dHex3NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G18999EB	comp_HexNAc2Hex2dHex0NeuAc0NeuGc0Pent1S0P0KDN0HexA0
G18999ZC	comp_HexNAc4Hex5dHex0NeuAc1NeuGc1Pent0S0P0KDN0HexA0
G19099PA	7858
G19210LN	comp_HexNAc7Hex8dHex0NeuAc3NeuGc1Pent0S0P0KDN0HexA0
G19252ER	G19252ER
G19252ER	comp_HexNAc4Hex11dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G19379ID	G19379ID
G19379ID	comp_HexNAc5Hex4dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G19379QS	comp_HexNAc11Hex6dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G19464WF	comp_HexNAc5Hex3dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G19469VZ	5166
G19512II	comp_HexNAc6Hex11dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G19517GM	G19517GM
G19517GM	comp_HexNAc6Hex5dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G19521BV	2613
G19576TB	comp_HexNAc5Hex8dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G19784PR	comp_HexNAc6Hex3dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G19865KY	comp_HexNAc0Hex4dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G19968XU	5618
G20030CU	3129
G20170YB	1153
G20218ZS	4796
G20297OI	G20297OI
G20606AK	comp_HexNAc6Hex6dHex1NeuAc4NeuGc0Pent0S0P0KDN0HexA0
G20698EO	comp_HexNAc6Hex4dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G20751GZ	3461
G20767LB	5102
G20769VF	comp_HexNAc4Hex7dHex2NeuAc3NeuGc0Pent0S0P0KDN0HexA0
