GlyTouCanAccession	KEGGAccession
G48059CD	G00536
G48059CD	G12316
G48148JS	G10597
G48185FI	G04230
G48350AZ	G11960
G48405LH	G05005
G48421GV	G00698
G48442VP	G00665
G48458AB	G04189
G48465YI	G01181
G48466UB	G05996
G48527XN	G03694
G48585WR	G03119
G48630BP	G05022
G48638TB	G06550
G48646LG	G00379
G48713OY	G00701
G48809ZO	G05326
G48822BJ	G04420
G48860TK	G02252
G48954CA	G04205
G49108TO	G10624
G49108TO	G12573
G49118ZT	G10284
G49168NM	G02810
G49225WK	G00856
G49225WK	G11706
G49282JI	G01454
G49299WO	G04033
G49320XS	G01898
G49349BS	G07130
G49369WH	G00858
G49370IN	G02088
G49440XK	G01848
G49544FY	G04436
G49562JB	G02679
G49580XQ	G02790
G49616WZ	G04430
G49664YG	G01837
G49721VX	G05484
G49743VF	G02731
G49761JR	G03050
G49930HB	G01432
G49935CA	G01280
G49963IQ	G00256
G50123ZO	G01429
G50139IU	G04113
G50211SY	G04428
G50258QB	G04015
G50290UO	G04462
G50321QR	G00048
G50354DO	G00425
G50375DL	G10632
G50427EN	G05027
G50474FI	G04661
G50507PS	G00503
G50517DR	G00879
G50531NJ	G11982
G50549VU	G03803
G50576GW	G04480
G50734LV	G09961
G50762OP	G06927
G50779LX	G10847
G50880EE	G12029
G50887TF	G01148
G50896EJ	G04516
G50911OK	G00449
G51056AN	G10477
G51119RL	G04098
G51216AJ	G02878
G51331BY	G00246
G51333ZI	G10350
G51343UJ	G05136
G51490BW	G10771
G51591NI	G08638
G51654CU	G04226
G51661GQ	G00059
G51688VK	G02234
G51699SI	G00096
G51710QD	G04042
G51795VM	G00300
G51809TM	G01156
G51891DI	G11703
G51921XC	G04590
G51930XP	G06768
G51963NX	G01200
G52013SF	G02258
G52045RC	G03996
G52106FW	G03691
G52112MC	G11962
G52160KJ	G00085
G52216BO	G04225
G52266YB	G03847
G52286UI	G03709
G52428MJ	G01818
G52460PC	G00682
G52497NM	G07825
G52558CF	G01424
G52724WY	G01646
G52934AK	G10825
G52886CK	G03686
G52904TE	G00513
G52880ZN	G11936
G53220ZS	G02775
G52971DE	G00713
G52956BX	G04649
G53168IY	G00951
G53002EK	G00880
G53272SL	G04341
G53276NK	G11963
G53296VI	G07402
G53485VW	G04336
G53582JE	G00414
G53472RQ	G04011
G53394BX	G00004
G53394BX	G12302
G53800MQ	G03731
G53743TV	G02824
G53809CJ	G01805
G53667CH	G04007
G53834TX	G01920
G53809EF	G01832
G53752TA	G00202
G53923UR	G12076
G53962WT	G10922
G53957WR	G11077
G54334WY	G01179
G54380FJ	G04071
G54409JS	G05852
G54158IT	G03668
G54151YB	G04353
G54410JV	G06742
G54513OG	G06342
G54567NU	G03093
G54561II	G03023
G54511PJ	G04305
G54499PQ	G04725
G54628UA	G00188
G54411RI	G01335
G54764AV	G12034
G55153IW	G00494
G55104BW	G00801
G55169DK	G06738
G55192VG	G06264
G55146FI	G01847
G55220VL	G00012
G55065WV	G04655
G55600PH	G03807
G55481KF	G04414
G55331YF	G00798
G55929FR	G05422
G56271TF	G12071
G56181LZ	G01184
G56271ML	G11979
G56175ED	G05891
G56202TA	G00374
G55953GF	G04692
G56265BA	G03697
G56095ZZ	G02659
G56014GC	G10805
G55861FV	G04374
G55867TY	G03727
G56478LD	G00342
G56299XO	G00261
G56749GV	G00018
G56737NO	G05310
G56512IR	G02955
G56381GU	G02701
G56516VH	G00436
G56285KF	G11529
G56653RI	G00533
G56852BX	G02719
G57075KG	G04940
G56977BH	G05432
G56867YK	G04783
G56791SN	G00674
G56963QZ	G03744
G57051OG	G04936
G56756FT	G00434
G57075OH	G04778
G57311FK	G00505
G57522MT	G04998
G57449OF	G10660
G57321FI	G00023
G57920AK	G00476
G57710SU	G00392
G57774MT	G03735
G57955DP	G10889
G57930PW	G00009
G57930PW	G12097
G57707WO	G10334
G57887YH	G01107
G57705QQ	G05636
G58111YY	G05694
G58236FD	G12041
G58198HJ	G06234
G58590MR	G00800
G58590MR	G06398
G58571IP	G01779
G58239DH	G04733
G58276QF	G05769
G58507AZ	G00358
G58517TJ	G04460
G58214IQ	G12127
G58217PP	G00362
G58233BW	G03910
G58370UT	G04314
G58576QI	G06971
G58216EF	G03699
G58808TX	G04578
G58793GF	G02951
G58896AZ	G00050
G59003TR	G03793
G58667NI	G10775
G58824LL	G01285
G59001FP	G03035
G58759ZL	G09996
G59041MP	G04183
G59029DL	G00995
