GlyTouCanAccession	TaxID	Source	SourceID
G02815KT	9606	UniCarbKB	comp_HexNAc2Hex5dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G02837JA	9606	GlyTouCan	G02837JA
G02860WV	10116	UniCarbKB	comp_HexNAc2Hex6dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G02860WV	9606	UniCarbKB	comp_HexNAc2Hex6dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G02886BB	10116	UniCarbKB	comp_HexNAc4Hex6dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G02886BB	9606	UniCarbKB	comp_HexNAc4Hex6dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G02890GO	9913	GlyTouCan	G02890GO
G02906NO	9940	GlyTouCan	G02906NO
G02915XR	9606	GlyTouCan	G02915XR
G02915XR	9823	GlyTouCan	G02915XR
G02963KR	562	GlyTouCan	G02963KR
G02998EX	10114	GlyTouCan	G02998EX
G03003KR	9606	GlyTouCan	G03003KR
G03006JP	4929	GlyTouCan	G03006JP
G03016BW	9606	GlyTouCan	G03016BW
G03021WA	9823	GlyTouCan	G03021WA
G03024EJ	9606	GlyTouCan	G03024EJ
G03036FD	10029	GlyTouCan	G03036FD
G03036FD	10141	GlyTouCan	G03036FD
G03036FD	9031	GlyTouCan	G03036FD
G03036FD	9606	GlyTouCan	G03036FD
G03036FD	9913	GlyTouCan	G03036FD
G03036FD	9940	GlyTouCan	G03036FD
G03036FD	9986	GlyTouCan	G03036FD
G03049NB	9606	GlyTouCan	G03049NB
G03067VG	10029	GlyTouCan	G03067VG
G03067VG	10090	GlyTouCan	G03067VG
G03067VG	9606	GlyTouCan	G03067VG
G03067VG	9823	GlyTouCan	G03067VG
G03067VG	9913	GlyTouCan	G03067VG
G03067VG	9940	GlyTouCan	G03067VG
G03067VG	9986	GlyTouCan	G03067VG
G03071KV	10114	GlyTouCan	G03071KV
G03071KV	210	GlyTouCan	G03071KV
G03071KV	9606	GlyTouCan	G03071KV
G03071KV	9823	GlyTouCan	G03071KV
G03081ER	9606	UniCarbKB	7804
G03081TH	6634	GlyTouCan	G03081TH
G03106MF	9606	GlyTouCan	G03106MF
G03137RO	9606	GlyTouCan	G03137RO
G03164NE	9606	GlyTouCan	G03164NE
G03165SD	9606	GlyTouCan	G03165SD
G03165SD	9913	GlyTouCan	G03165SD
G03168RN	9606	GlyTouCan	G03168RN
G03195HW	9606	GlyTouCan	G03195HW
G03207XQ	9913	GlyTouCan	G03207XQ
G03216SJ	9606	UniCarbKB	3385
G03230AX	9606	GlyTouCan	G03230AX
G03246MZ	10090	GlyTouCan	G03246MZ
G03246MZ	9606	GlyTouCan	G03246MZ
G03247RO	9606	GlyTouCan	G03247RO
G03250GT	9685	GlyTouCan	G03250GT
G03250GT	9823	GlyTouCan	G03250GT
G03250UN	9606	GlyTouCan	G03250UN
G03260OU	9913	GlyTouCan	G03260OU
G03260OU	9940	GlyTouCan	G03260OU
G03266UM	9606	GlyTouCan	G03266UM
G03275SD	9606	UniCarbKB	4473
G03277UZ	9606	GlyTouCan	G03277UZ
G03277YI	10029	GlyTouCan	G03277YI
G03277YI	10090	GlyTouCan	G03277YI
