GlyTouCanAccession	PDB
G15407YE	3c9l
G15407YE	3ciy
G15407YE	3csy
G15407YE	3cxe
G15407YE	3d2j
G15407YE	3d7d
G15407YE	3d7f
G15407YE	3d7g
G15407YE	3d7h
G15407YE	3dgv
G15407YE	3div
G15407YE	3dkh
G15407YE	3e9x
G15407YE	3eqn
G15407YE	3eqo
G15407YE	3f6k
G15407YE	3fcs
G15407YE	3fgw
G15407YE	3fku
G15407YE	3fkx
G15407YE	3fu7
G15407YE	3fu8
G15407YE	3fw7
G15407YE	3fw8
G15407YE	3fw9
G15407YE	3fwa
G15407YE	3gsy
G15407YE	3hg2
G15407YE	3hg5
G15407YE	3hi7
G15407YE	3hig
G15407YE	3hii
G15407YE	3hmg
G15407YE	3hsy
G15407YE	3hwq
G15407YE	3hwz
G15407YE	3i26
G15407YE	3i27
G15407YE	3i2t
G15407YE	3ib1
G15407YE	3ib2
G15407YE	3ije
G15407YE	3iu3
G15407YE	3jyh
G15407YE	3k6s
G15407YE	3k71
G15407YE	3k72
G15407YE	3kg2
G15407YE	3krq
G15407YE	3l5h
G15407YE	3laf
G15407YE	3lmy
G15407YE	3lpp
G15407YE	3lx9
G15407YE	3lxc
G15407YE	3lzg
G15407YE	3m6s
G15407YE	3mdl
G15407YE	3mjn
G15407YE	3mme
G15407YE	3mph
G15407YE	3muu
G15407YE	3n85
G15407YE	3n8f
G15407YE	3n8w
G15407YE	3nak
G15407YE	3nid
G15407YE	3nif
G15407YE	3nig
G15407YE	3niu
G15407YE	3oax
G15407YE	3og6
G15407YE	3ol2
G15407YE	3pl3
G15407YE	3poy
G15407YE	3pps
G15407YE	3pxl
G15407YE	3q13
G15407YE	3qek
G15407YE	3qwq
G15407YE	3rbu
G15407YE	3rg1
G15407YE	3rgy
G15407YE	3s11
G15407YE	3s9c
G15407YE	3saj
G15407YE	3sal
G15407YE	3sdf
G15407YE	3sh1
G15407YE	3sku
G15407YE	3sm5
G15407YE	3sng
G15407YE	3sqr
G15407YE	3ti5
G15407YE	3tv8
G15407YE	3u7b
G15407YE	3uez
G15407YE	3ugf
G15407YE	3ugg
G15407YE	3ugh
G15407YE	3ul7
G15407YE	3ul8
G15407YE	3ul9
G15407YE	3ulu
G15407YE	3usa
G15407YE	3usd
G15407YE	3v9c
G15407YE	3v9e
G15407YE	3vkf
G15407YE	3w11
G15407YE	3w12
G15407YE	3w13
G15407YE	3zr6
G15407YE	3zs1
G15407YE	3ztj
G15407YE	4adq
G15407YE	4afg
G15407YE	4aph
G15407YE	4apj
G15407YE	4aqd
G15407YE	4aqt
G15407YE	4au9
G15407YE	4b56
G15407YE	4dgr
G15407YE	4dkc
G15407YE	4dkd
G15407YE	4do4
G15407YE	4do6
G15407YE	4eby
G15407YE	4eef
G15407YE	4ei5
G15407YE	4exn
G15407YE	4f7c
G15407YE	4f9v
G15407YE	4fa8
G15407YE	4fnk
G15407YE	4fom
G15407YE	4fqj
G15407YE	4fqk
G15407YE	4fqm
G15407YE	4fqp
G15407YE	4fwu
G15407YE	4fxg
G15407YE	4fxk
G15407YE	4fyq
G15407YE	4fyr
G15407YE	4fys
G15407YE	4g1e
G15407YE	4g1m
G15407YE	4gms
G15407YE	4grk
G15407YE	4gwm
G15407YE	4gxu
G15407YE	4gxx
G15407YE	4gz9
G15407YE	4hg4
G15407YE	4hj1
G15407YE	4hmg
G15407YE	4hwy
G15407YE	5hmg
G15407YE	8pch
G15611BA	4ah4
G15611BA	4drv
G16404YH	3og2
G16404YH	3ogr
G16404YH	3ogs
G16404YH	3ogv
G16404YH	3saj
G16421CZ	3mw2
G16421CZ	3mw3
G16421CZ	3mw4
G16579HJ	1b3v
G16579HJ	1b3w
G16579HJ	1b3x
G16579HJ	1b3z
G16579HJ	1goq
G16579HJ	1h12
G16579HJ	1isv
G16579HJ	1isw
G16579HJ	1isx
G16579HJ	1px8
G16579HJ	1qh7
G16579HJ	1v6u
G16579HJ	1v6v
G16579HJ	1v6w
G16579HJ	1v6x
G16579HJ	1wu5
G16579HJ	2b4f
G16579HJ	2cdc
G16579HJ	2e2q
G16579HJ	2nqy
G16579HJ	2v4v
G16579HJ	3c6q
G16579HJ	3fyt
G16579HJ	3fyu
G16579HJ	3m9x
G16579HJ	3ma0
G16579HJ	3mua
G16579HJ	3ug5
G16579HJ	3vsv
G16579HJ	4gby
G16799JU	1ju2
G16995EW	3cig
G17475NE	1rpj
G17538MY	3hdl
G17601US	1ym0
G17601US	3l9r
G17601US	4gwm
G17689EW	1b5f
G17689EW	3gdn
G17689EW	3gdp
G17689EW	3lx9
G17689EW	3lxc
G17984VC	2dsv
G17984VC	2fdm
G18259WY	2dsv
G18638YB	1b5f
G18638YB	1gsl
G18638YB	1ju2
G18638YB	1lk9
G18638YB	2d3s
G18638YB	2dtw
G18638YB	2dty
G18638YB	2e51
G18638YB	2e53
G18638YB	2e7t
G18638YB	2faw
G18638YB	2gys
G18638YB	2v3d
G18638YB	2v3e
G18638YB	2v3f
G18638YB	2vt0
G18638YB	2xwd
G18638YB	2xwe
G18638YB	2zmn
G18638YB	3em5
G18638YB	3s5y
G18638YB	3s5z
G18638YB	3ugf
G18638YB	3ugg
G18638YB	3usu
G18638YB	4a5g
G18830JZ	2arx
G18843II	1lwu
G19022QG	3cdz
G19038KD	2man
G19089MC	1k7t
G19089MC	4eeg
G19158MO	1ing
G19158MO	1inh
G19158MO	1ivc
G19158MO	1ivd
G19158MO	1ivg
G19179MO	4arn
G19266OP	1k9i
G19266OP	1k9j
G19266OP	1tei
G19266OP	2ar6
G19282BU	2j6e
G19294PB	3kk6
G19503WF	2w52
G19524AS	1ulf
G19524AS	2j1u
G19577LJ	1e9l
G19577LJ	2vzs
G19577LJ	3co4
G19620XJ	1e73
G19620XJ	3pty
G19870TQ	1gpz
G19870TQ	1n1m
G19870TQ	1rd3
G19870TQ	1tkr
G19886LH	3k6s
G19886LH	3k72
