GlyTouCanAccession	NativeFormula	PermethylatedFormula
G00480KJ	C79H129N5O57	C113H197N5O57
G00480NH	C80H132N4O57	C113H198N4O57
G00480OQ	C36H59N3O25	C51H89N3O25
G00482HJ	C26H45NO20	C39H71NO20
G00483IX	C24H40O20	C36H64O20
G00484DO	C70H116N2O55	C103H182N2O55
G00484WE	C25H40N2O18	C36H62N2O18
G00484ZC	C40H66N2O29	C57H100N2O29
G00487XO	C76H126N2O60	C112H198N2O60
G00488OU	C86H142N4O61	C121H212N4O61
G00490MQ	C74H122N4O54	C106H186N4O54
G00490QA	C11H18O9	C16H28O9
G00491BE	C79H129N5O57	C113H197N5O57
G00492CQ	C48H79N3O34	C68H119N3O34
G00492PO	C72H119N3O53	C103H181N3O53
G00496OX	C56H92N4O38	C78H136N4O38
G00500HT	C96H156N6O70	C138H240N6O70
G00503EE	C84H138N6O59	C119H208N6O59
G00504PK	C76H125N5O54	C108H189N5O54
G00504PZ	C64H107N5O45	C92H163N5O45
G00505QC	C80H131N7O54	C112H195N7O54
G00506NQ	C52H86N2O37	C73H128N2O37
G00506ZX	C92H152N4O69	C133H234N4O69
G00507LK	C30H49N3O20	C42H73N3O20
G00510MX	C36H60O30	C54H96O30
G00511BF	C118H192N8O85	C169H294N8O85
G00511LE	C66H108N6O45	C93H162N6O45
G00512PI	C54H89N3O38	C76H133N3O38
G00514XC	C154H249N11O111	C221H383N11O111
G00519UD	C79H129N5O57	C113H197N5O57
G00520NI	C102H163N9O72	C146H251N9O72
G00521FQ	C80H132N4O58	C114H200N4O58
G00523PT	C36H61N3O24	C51H91N3O24
G00524NO	C84H136N6O61	C121H210N6O61
G00527ZE	C28H46N2O20	C40H70N2O20
G00531ZU	C87H142N6O62	C124H216N6O62
G00534LI	C59H96N4O43	C85H148N4O43
G00536FZ	C84H138N6O59	C119H208N6O59
G00539AO	C128H206N10O95	C187H324N10O95
G00542QA	C42H69N3O29	C59H103N3O29
G00544JF	C62H102N4O45	C89H156N4O45
G00545NQ	C76H125N5O54	C108H189N5O54
G00546ZA	C40H66N2O29	C57H100N2O29
G00547ZN	C22H36N2O18S	C30H52N2O18S
G00550RP	C108H178N6O79	C155H272N6O79
G00551JZ	C82H135N5O59	C117H205N5O59
G00551SX	C59H98N4O43	C86H152N4O43
G00553AN	C104H169N7O75	C149H259N7O75
G00557UC	C12H20O13S	C17H30O13S
G00558IW	C28H46N2O20	C40H70N2O20
G00560KG	C68H114N4O48	C97H172N4O48
G00565QJ	C50H82N4O35	C71H124N4O35
G00567EI	C33H53N3O23	C47H81N3O23
G00568LN	C32H52N4O20	C44H76N4O20
G00569WM	C44H72N4O30	C62H108N4O30
G00572SI	C62H100N4O46	C90H156N4O46
G00574FR	C115H188N8O82	C164H286N8O82
G00577YU	C11H18O9	C16H28O9
G00580CJ	C130H212N8O92	C184H320N8O92
G00580XP	C48H77N3O37	C71H123N3O37
G00582VL	C68H112N4O52S	C96H168N4O52S
G00584KG	C76H125N5O53	C107H187N5O53
G00584LL	C118H194N8O84	C168H294N8O84
G00586CV	C76H126N2O60	C112H198N2O60
G00586TU	C90H147N9O60	C126H219N9O60
G00586UK	C36H60O30	C54H96O30
G00588HO	C76H126N2O60	C112H198N2O60
G00590OY	C34H56N2O24	C48H84N2O24
G00590SY	C121H198N8O85	C171H298N8O85
G00591PZ	C82H135N5O59	C117H205N5O59
G00592MT	C105H172N6O78	C152H266N6O78
G00594AV	C160H263N11O114	C228H399N11O114
G00594CD	C34H56N2O25	C49H86N2O25
G00595HP	C24H40O20	C36H64O20
G00598IA	C54H91N3O38	C77H137N3O38
G00598SQ	C92H149N7O66	C132H229N7O66
G00601UG	C62H100N4O46	C90H156N4O46
G00601VC	C40H66N2O30	C58H102N2O30
G00602IR	C48H79N3O34	C68H119N3O34
G00606LX	C120H198N6O85	C169H296N6O85
G00608BN	C20H33NO15	C29H51NO15
G00608NG	C87H142N6O62	C124H216N6O62
G00610TG	C24H40O20	C36H64O20
G00612GB	C116H189N7O86	C168H293N7O86
G00615MZ	C24H40O20	C36H64O20
G00618HB	C61H100N4O43	C86H150N4O43
G00619DD	C18H30O15	C27H48O15
G00623OI	C60H99N3O44	C86H151N3O44
G00624KQ	C76H125N5O56S	C106H185N5O56S
G00627DR	C12H20O13S	C17H30O13S
G00628MV	C48H79N3O34	C68H119N3O34
G00629DY	C96H158N6O68	C136H238N6O68
G00629YK	C52H86N2O40	C76H134N2O40
G00631XZ	C34H56N2O25	C49H86N2O25
G00633GI	C68H112N4O50	C98H172N4O50
G00633PX	C115H186N8O85	C167H290N8O85
G00636QL	C66H108N6O48S	C92H160N6O48S
G00639LM	C84H138N6O58	C118H206N6O58
G00641XC	C33H55N3O26S	C47H83N3O26S
G00644FU	C57H94O47	C84H148O47
G00644ZZ	C76H126N2O60	C112H198N2O60
G00645SW	C62H102N4O48S	C88H154N4O48S
G00646SN	C109H178N8O79	C158H276N8O79
G00647HI	C110H179N7O79	C157H273N7O79
G00647RA	C49H80N2O38	C72H126N2O38
G00650AC	C80H132N4O58	C114H200N4O58
G00652BK	C88H145N5O62	C124H217N5O62
G00653TI	C56H94N4O39	C80H142N4O39
G00654GN	C75H120N6O54	C108H186N6O54
G00657YY	C28H48N2O20	C41H74N2O20
G00659GQ	C31H50N2O28S2	C42H72N2O28S2
G00660CI	C34H56N2O24	C48H84N2O24
G00661RU	C118H194N8O84	C168H294N8O84
G00662IB	C109H176N8O79	C157H272N8O79
G00662UH	C104H169N7O75	C149H259N7O75
G00665JQ	C99H162N6O70	C140H244N6O70
G00666AK	C111H182N6O82	C160H280N6O82
G00666EC	C135H219N9O96	C192H333N9O96
G00667DQ	C73H119N5O52	C104H181N5O52
G00667FG	C36H59N3O25	C51H89N3O25
G00667RI	C42H70O35	C63H112O35
G00669WU	C76H125N5O54	C108H189N5O54
G00670OT	C70H115N5O50	C100H175N5O50
G00672PE	C31H50N2O25S	C43H74N2O25S
G00673KJ	C57H93N3O44	C84H147N3O44
G00674IG	C105H172N6O75	C149H260N6O75
G00675GF	C80H132N4O57	C113H198N4O57
G00677JU	C72H118N6O52S	C100H174N6O52S
G00679VV	C51H83N3O39	C75H131N3O39
G00681RS	C48H79N3O34	C68H119N3O34
G00682IE	C14H23NO10	C20H35NO10
G00683ZX	C30H51O28P	C46H83O28P
G00688TE	C12H17NO13S	C18H29NO13S
G00688XN	C74H122N4O54	C106H186N4O54
G00690SD	C86H143NO70	C128H227NO70
G00691LW	C12H20O9	C17H30O9
G00691NS	C110H181N7O79	C157H275N7O79
G00692HC	C64H107N5O44	C91H161N5O44
G00693YK	C70H115N5O50	C100H175N5O50
G00695FC	C82H135N5O58	C116H203N5O58
G00695JO	C64H105N5O44	C90H157N5O44
G00696YZ	C77H126N4O56	C110H192N4O56
G00702NP	C52H86N2O40	C76H134N2O40
G00702XC	C48H74N4O73S11	C65H108N4O73S11
G00705GA	C33H54N2O24	C47H82N2O24
G00705XW	C34H58N2O33S3	C46H82N2O33S3
G00706AL	C109H178N8O79	C158H276N8O79
G00706QN	C54H89N3O38	C76H133N3O38
G00706VT	C80H132N4O59	C115H202N4O59
G00706YM	C82H135N5O59	C117H205N5O59
G00707RC	C40H66N2O31S	C55H96N2O31S
G00709CF	C89H145N7O62	C126H219N7O62
G00709ZM	C12H20O10	C18H32O10
G00711NG	C30H50O25	C45H80O25
G00711QT	C14H19NO14S	C19H29NO14S
G00711RI	C159H256N12O119	C233H404N12O119
G00717KJ	C60H101N3O45	C88H157N3O45
G00718GV	C26H38N2O24S	C38H62N2O24S
G00721IC	C28H46N2O20	C40H70N2O20
G00727QV	C104H169N7O75	C149H259N7O75
G00728IS	C37H58NO37PS	C55H94NO37PS
G00728SN	C70H113N5O50	C100H173N5O50
G00729QB	C20H33NO17S	C27H47NO17S
G00729SA	C56H92N4O38	C78H136N4O38
G00730EJ	C36H55N3O54S8	C49H81N3O54S8
G00735QX	C20H33NO15	C29H51NO15
G00736XN	C36H60O30	C54H96O30
G00736YF	C78H130N6O54	C111H196N6O54
G00738BQ	C85H139N5O62	C122H213N5O62
G00740UU	C56H92N4O43S	C79H138N4O43S
G00743WU	C83H135N7O57	C117H203N7O57
G00745CN	C52H83N5O36	C74H127N5O36
