GlyTouCanAccession	NativeFormula	PermethylatedFormula
G80843UM	C85H139N5O63	C123H215N5O63
G80844IW	C48H77N3O36	C70H121N3O36
G80845OV	C38H63NO28	C54H95NO28
G80846YM	C92H148N6O66	C130H224N6O66
G80848DN	C94H155N5O66	C132H231N5O66
G80857KS	C62H102N4O43	C87H152N4O43
G80858MF	C56H92N4O39	C79H138N4O39
G80861DM	C54H89N3O40	C78H137N3O40
G80865XU	C14H23NO9	C19H33NO9
G80866EO	C28H46N2O19	C39H68N2O19
G80868RQ	C20H29NO17	C29H47NO17
G80869DX	C23H37NO18	C34H59NO18
G80869MR	C14H23NO13S	C19H33NO13S
G80871ZD	C42H70O35	C63H112O35
G80874KA	C115H186N8O84	C166H288N8O84
G80874VF	C42H69N3O30	C60H105N3O30
G80874WH	C115H188N8O83	C165H288N8O83
G80875FK	C51H83N3O38	C74H129N3O38
G80876BV	C37H60N2O28	C54H94N2O28
G80876DA	C55H90N4O39	C78H136N4O39
G80876XE	C26H43NO23S	C37H65NO23S
G80879CT	C73H119N5O52	C104H181N5O52
G80879EI	C22H36N2O18S	C30H52N2O18S
G80879RF	C37H57NO34S	C54H91NO34S
G80884ES	C26H43NO20	C38H67NO20
G80885VK	C111H179N9O82	C162H281N9O82
G80887JO	C93H152N6O67	C133H232N6O67
G80892CL	C95H157N7O80S4	C133H233N7O80S4
G80898BH	C12H20O10	C18H32O10
G80902FY	C26H43NO19	C37H65NO19
G80902KW	C116H191N7O82	C164H287N7O82
G80903UK	C33H53N3O23	C47H81N3O23
G80903ZD	C22H36N2O15	C31H54N2O15
G80908GL	C52H86N2O39	C75H132N2O39
G80909EN	C22H34N2O16	C31H52N2O16
G80909VQ	C42H70O35	C63H112O35
G80913EA	C70H115N5O49	C99H173N5O49
G80918MA	C56H93NO45	C83H147NO45
G80920RR	C70H116N2O55	C103H182N2O55
G80920TO	C93H152N6O67	C133H232N6O67
G80921PW	C45H73N3O33	C65H113N3O33
G80923TV	C37H58NO37PS	C55H94NO37PS
G80924YF	C15H24O13	C23H40O13
G80925EY	C88H145N5O63	C125H219N5O63
G80926OA	C18H30O15	C27H48O15
G80928UD	C87H142N6O62	C124H216N6O62
G80933MT	C70H111N5O53	C103H177N5O53
G80941UI	C168H272N12O121	C241H418N12O121
G80943NY	C134H216N10O97	C193H334N10O97
G80945SX	C58H96N2O45	C85H150N2O45
G80946QO	C42H69N3O29	C59H103N3O29
G80946ZL	C82H135N5O59	C117H205N5O59
G80948EU	C26H44NO23P	C39H70NO23P
G80948OS	C40H68N2O29	C58H104N2O29
G80951VR	C64H105N5O46	C93H163N5O46
G80952QT	C96H158N6O70	C138H242N6O70
G80954GN	C36H59N3O25	C51H89N3O25
G80954MU	C64H105N5O47S	C89H155N5O47S
G80954PJ	C70H118N2O55	C104H186N2O55
G80958UU	C20H33NO18S	C28H49NO18S
G80960YD	C67H109N5O57S3	C93H161N5O57S3
G80961ME	C18H30O15	C27H48O15
G80961NE	C40H66N2O29	C57H100N2O29
G80961YY	C134H218N10O101S2	C189H328N10O101S2
G80962OX	C64H105N5O45	C91H159N5O45
G80962XV	C26H38N2O33S4	C35H56N2O33S4
G80965ZR	C56H92N4O40	C80H140N4O40
G80966KZ	C52H86N2O40	C76H134N2O40
G80968NF	C52H86N2O39	C75H132N2O39
G80976YK	C20H33NO14	C28H49NO14
G80981NI	C14H23NO10	C20H35NO10
G80991CT	C24H40O20	C36H64O20
G80991KA	C77H126N4O56	C110H192N4O56
G80992WV	C18H30O15	C27H48O15
G80994UT	C72H118N6O50	C102H178N6O50
G80995SX	C20H33NO15	C29H51NO15
G81000YM	C38H57N3O49S6	C52H85N3O49S6
G81002OL	C62H104N4O44	C89H158N4O44
G81002VX	C70H115N5O49	C99H173N5O49
G81004CR	C60H99N3O43	C85H149N3O43
G81005XV	C90H146N6O65	C129H224N6O65
G81006GJ	C36H57N3O26	C52H89N3O26
G81009ER	C32H53NO25	C47H83NO25
G81009UW	C48H77N3O37	C71H123N3O37
G81010SW	C47H76N4O33	C67H116N4O33
G81013BK	C88H146N2O70	C130H230N2O70
G81013EK	C32H53NO25	C47H83NO25
G81013HU	C51H83N3O39S	C71H123N3O39S
G81013MS	C33H53N3O23	C47H81N3O23
G81015RW	C168H272N12O121	C241H418N12O121
G81016FU	C20H33NO13	C27H47NO13
G81016SV	C27H43N3O18	C38H65N3O18
G81019AR	C23H38N2O17	C35H62N2O17
G81019IW	C12H19NO13S	C18H31NO13S
G81020JP	C44H73NO34	C64H113NO34
G81023KT	C26H43NO19	C37H65NO19
G81023XU	C20H29NO17	C29H47NO17
G81032PV	C18H30O15	C27H48O15
G81037SD	C50H82N4O35	C71H124N4O35
G81039AN	C26H43NO20	C38H67NO20
G81041HS	C59H96N4O42	C84H146N4O42
G81042TA	C142H232N8O105	C205H358N8O105
G81045JQ	C48H78N6O30	C66H114N6O30
G81047JV	C80H132N4O57	C113H198N4O57
G81049OQ	C26H38N2O30S3	C36H58N2O30S3
G81055IE	C104H169N7O74	C148H257N7O74
G81058IB	C62H104N4O44	C89H158N4O44
G81059IE	C85H139N5O61	C121H211N5O61
G81059ME	C100H165N5O71	C141H247N5O71
G81060HV	C79H129N5O60S	C112H195N5O60S
G81060SB	C45H74N2O33	C64H112N2O33
G81063EP	C38H63NO29	C55H97NO29
G81063UM	C44H72N4O30	C62H108N4O30
G81063XN	C6H10O5	C9H16O5
G81064JH	C12H19NO19S3	C16H27NO19S3
G81067HW	C12H20O10	C18H32O10
G81070EF	C14H23NO9	C19H33NO9
G81070NY	C99H162N6O71	C141H246N6O71
G81075SJ	C18H30O15	C27H48O15
G81081TF	C43H70N2O33	C63H110N2O33
G81082JG	C30H49N3O20	C42H73N3O20
G81083PY	C14H23NO9	C19H33NO9
G81083QK	C67H109N5O48	C96H167N5O48
G81085EP	C74H122N4O53	C105H184N4O53
G81086UC	C38H63NO29	C55H97NO29
G81087VT	C12H20O10	C18H32O10
G81088TW	C42H70O35	C63H112O35
G81088WT	C87H142N6O62	C124H216N6O62
G81089BD	C87H142N6O63	C125H218N6O63
G81090GI	C60H99N3O44	C86H151N3O44
G81092WM	C64H102N4O47	C91H156N4O47
G81095ZX	C18H30N2O26S4	C25H44N2O26S4
G81096BD	C25H40N2O18	C36H62N2O18
G81096RM	C249H409N15O177	C353H617N15O177
G81099CA	C59H94N4O45	C87H150N4O45
G81100SW	C20H33NO15	C29H51NO15
G81101GO	C84H140N6O59	C120H212N6O59
G81101MQ	C64H107N5O45	C92H163N5O45
G81103GZ	C84H136N6O61	C121H210N6O61
G81107PN	C84H138N6O59	C119H208N6O59
G81112MA	C53H86N4O37	C75H130N4O37
G81114MS	C140H226N10O101	C201H348N10O101
G81115FG	C47H76N4O36S	C66H114N4O36S
G81121OC	C74H122N4O54	C106H186N4O54
G81124DL	C26H38N2O26S2	C36H58N2O26S2
G81124ET	C110H181N7O80	C158H277N7O80
G81125OF	C58H96N2O45	C85H150N2O45
G81126MU	C36H59N3O24	C50H87N3O24
G81126OG	C68H112N4O50	C98H172N4O50
G81128IY	C96H160N6O69	C138H244N6O69
G81128KB	C125H205N7O89	C177H309N7O89
G81131VV	C23H39NO18	C35H63NO18
G81133FA	C28H46N2O20	C40H70N2O20
G81136NM	C24H40O20	C36H64O20
G81138CF	C110H179N7O82	C160H279N7O82
G81140YU	C36H57N3O26	C52H89N3O26
G81141KC	C95H155N7O67	C135H235N7O67
G81144BS	C152H252N10O109	C218H384N10O109
G81148KA	C39H65N3O31S	C56H99N3O31S
G81148WA	C54H89N3O40	C78H137N3O40
G81149TB	C37H60N2O29	C55H96N2O29
G81150SF	C98H159N7O71	C141H245N7O71
G81150TA	C64H105N5O45	C91H159N5O45
G81153OO	C12H20O9	C17H30O9
G81153QC	C86H141N7O59	C121H211N7O59
G81154RY	C42H70O35	C63H112O35
G81157IG	C112H182N8O81	C161H280N8O81
G81162CL	C92H149N7O66	C132H229N7O66
G81164ED	C59H96N4O43	C85H148N4O43
G81165MB	C129H209N9O96S	C184H319N9O96S
G81165YG	C79H129N5O57	C113H197N5O57
G81166KJ	C36H59N3O25	C51H89N3O25
G81167HN	C42H69N3O33S	C59H103N3O33S
G81167KC	C18H30O15	C27H48O15
G81173KG	C63H103N3O46	C90H157N3O46
G81174YQ	C87H142N6O62	C124H216N6O62
G81178DE	C75H122N6O53	C107H186N6O53
G81180VS	C104H171N7O73	C147H257N7O73
G81181GK	C54H89N3O39	C77H135N3O39
G81181YT	C115H186N8O83	C165H286N8O83
G81182NV	C52H86N2O38	C74H130N2O38
G81183YX	C32H53NO24	C46H81NO24
G81185MJ	C54H91N3O40	C79H141N3O40
G81188FE	C18H30O15	C27H48O15
G81190FF	C14H23NO13S	C19H33NO13S
G81190VX	C56H92N4O40	C80H140N4O40
G81194MD	C40H66N2O29	C57H100N2O29
G81198YO	C92H149N7O65	C131H227N7O65
G81201OS	C140H226N10O101	C201H348N10O101
G81201QV	C58H96N2O44	C84H148N2O44
G81201TR	C102H168N6O73	C145H254N6O73
G81202UN	C8H13NO5	C11H19NO5
G81206JQ	C22H36N2O15	C31H54N2O15
G81208WQ	C103H169N5O75	C147H257N5O75
G81209PB	C62H102N4O43	C87H152N4O43
G81213GH	C42H69N3O30	C60H105N3O30
G81214EK	C48H81N3O37S	C68H121N3O37S
G81215MU	C62H102N4O45	C89H156N4O45
G81216DQ	C42H70O35	C63H112O35
G81216KK	C33H54N2O24	C47H82N2O24
G81216LK	C26H43NO18	C36H63NO18
G81216TA	C17H28O14	C25H44O14
G81217LD	C53H86N4O42S	C76H132N4O42S
G81217OH	C105H172N6O78	C152H266N6O78
G81218UW	C38H63NO29	C55H97NO29
G81219YE	C42H71N3O32S	C59H105N3O32S
G81220GC	C24H40O18	C34H60O18
G81221PX	C20H33NO14	C28H49NO14
G81221QB	C34H56N2O24	C48H84N2O24
G81225BC	C120H193N9O91	C177H307N9O91
G81225OR	C34H56N2O27S	C47H82N2O27S
G81229DT	C40H66N2O30	C58H102N2O30
G81230EA	C70H115N5O50	C100H175N5O50
G81231BR	C48H79N3O35	C69H121N3O35
G81236JR	C93H154N6O66	C133H234N6O66
G81236OH	C65H106N4O48	C94H164N4O48
G81237SW	C37H60N2O28	C54H94N2O28
G81237TH	C32H53NO24	C46H81NO24
G81240GQ	C62H100N4O46	C90H156N4O46
G81243XR	C57H93N3O42	C82H143N3O42
G81245DX	C37H60N2O28	C54H94N2O28
G81245GW	C140H226N10O101	C201H348N10O101
G81245YS	C26H43NO20	C38H67NO20
G81247WU	C140H226N10O101	C201H348N10O101
G81247ZO	C109H176N8O79	C157H272N8O79
G81252DB	C33H54N2O23	C46H80N2O23
G81252MZ	C52H86N2O37	C73H128N2O37
G81253FL	C58H95N5O40	C82H143N5O40
G81258GS	C45H73N3O33	C65H113N3O33
G81258JY	C43H70N2O32	C62H108N2O32
G81262CB	C24H39N3O15	C33H57N3O15
G81263BG	C93H152N6O67	C133H232N6O67
G81265YK	C90H148N6O64	C128H224N6O64
G81266TW	C104H171N7O75	C149H261N7O75
G81268RZ	C97H159N5O71	C139H243N5O71
G81268VR	C71H116N4O52	C102H178N4O52
G81269JJ	C40H66N2O30	C58H102N2O30
G81270LW	C20H33NO15	C29H51NO15
G81270RB	C23H34O20	C34H56O20
G81271MF	C38H63NO29	C55H97NO29
G81272FZ	C33H53N3O26S	C46H79N3O26S
G81274SP	C134H218N10O101S2	C189H328N10O101S2
G81275AN	C40H66N2O30	C58H102N2O30
G81275UQ	C31H50N2O24	C46H80N2O24
G81281SY	C130H214N8O90	C182H318N8O90
G81282CC	C73H119N5O53	C105H183N5O53
G81282IN	C163H267N11O117	C233H407N11O117
G81284BY	C79H129N5O57	C113H197N5O57
G81289DY	C60H99N3O47S	C85H149N3O47S
G81294AE	C104H171N7O75	C149H261N7O75
G81294QU	C98H159N7O70	C140H243N7O70
G81294ZY	C104H171N7O75	C149H261N7O75
G81295CK	C56H92N4O40	C80H140N4O40
G81295TF	C115H186N8O83	C165H286N8O83
G81297HG	C18H30O15	C27H48O15
G81299AP	C94H155N5O68	C134H235N5O68
G81300FI	C140H228N10O101	C202H352N10O101
G81302TZ	C37H60N2O30S	C52H90N2O30S
G81303NJ	C76H123N5O54	C108H187N5O54
G81309GY	C101H165N7O73	C145H253N7O73
G81309NZ	C142H228N10O102	C202H348N10O102
G81310YR	C85H139N5O66S	C122H213N5O66S
G81313BV	C98H161N7O69	C139H243N7O69
G81313UI	C42H69N3O30	C60H105N3O30
G81314KR	C46H76N2O35	C67H118N2O35
G81315DD	C28H46N2O20	C40H70N2O20
G81317ZG	C104H171N7O75	C149H261N7O75
G81321XN	C42H70O35	C63H112O35
G81324MV	C88H147N5O62	C125H221N5O62
G81325LH	C56H94N4O39	C80H142N4O39
G81326IN	C116H191N7O82	C164H287N7O82
G81327FL	C26H43NO20	C38H67NO20
G81328BD	C63H103N3O48	C92H161N3O48
G81328FA	C84H136N6O61	C121H210N6O61
G81329NC	C90H146N6O66	C130H226N6O66
G81331ZW	C87H142N6O63	C125H218N6O63
G81332EX	C68H112N4O52S	C96H168N4O52S
G81333SO	C140H226N10O101	C201H348N10O101
G81335DJ	C95H155N7O67	C135H235N7O67
G81337OK	C20H33NO15	C29H51NO15
G81338HS	C83H135N7O57	C117H203N7O57
G81338NH	C72H118N6O49	C101H176N6O49
G81340AK	C26H43NO23S	C37H65NO23S
G81340IC	C12H20O9	C17H30O9
G81340IT	C20H33NO15	C29H51NO15
G81341JG	C22H36N2O14	C30H52N2O14
G81342EO	C93H152N6O66	C132H230N6O66
G81345OW	C26H43NO19	C37H65NO19
G81347KY	C144H235N9O103	C205H357N9O103
G81348LS	C76H125N5O54	C108H189N5O54
G81349OI	C84H138N6O60	C120H210N6O60
G81349TG	C102H168N6O72	C144H252N6O72
G81352TV	C24H40O20	C36H64O20
G81353SK	C90H148N6O64	C128H224N6O64
G81354GQ	C37H55NO31	C54H89NO31
G81356NS	C70H116N2O55	C103H182N2O55
G81356TD	C26H43NO23S	C37H65NO23S
G81356WP	C88H145N5O63	C125H219N5O63
G81357YZ	C72H118N6O50	C103H180N6O50
G81358TE	C75H122N6O52	C106H184N6O52
G81363ND	C38H63NO30	C56H99NO30
G81367CM	C85H139N5O65S	C121H211N5O65S
G81369CW	C40H66N2O29	C57H100N2O29
G81370GY	C54H89N3O38	C76H133N3O38
G81371RJ	C88H140N8O62	C126H216N8O62
G81371UR	C88H146N2O70	C130H230N2O70
G81374LB	C118H192N8O85	C169H294N8O85
G81375TC	C94H155N5O69	C135H237N5O69
G81378WC	C42H71N3O30	C61H109N3O30
G81378YR	C46H76N2O34	C66H116N2O34
G81380NE	C115H188N8O83	C166H290N8O83
G81384WY	C88H145N5O63	C125H219N5O63
G81385HH	C14H23NO10	C20H35NO10
G81389EF	C70H115N5O49	C99H173N5O49
G81389YZ	C36H55N3O57S9	C48H79N3O57S9
G81392TU	C96H158N6O70	C138H242N6O70
G81397LO	C56H92N4O40	C80H140N4O40
G81397TP	C81H132N6O57	C115H200N6O57
G81399MY	C6H10O5	C9H16O5
G81399UM	C55H90N4O39	C78H136N4O39
G81401HI	C20H33NO15	C29H51NO15
G81403PI	C14H25NO10	C21H39NO10
G81406BI	C32H53NO23	C45H79NO23
G81407FM	C106H172N8O75	C151H262N8O75
G81408RV	C46H74N2O36	C67H116N2O36
G81410HG	C62H102N4O43	C87H152N4O43
G81410OZ	C20H29NO20S	C28H45NO20S
G81411SI	C87H142N6O61	C123H214N6O61
G81413BC	C56H90N4O41	C81H140N4O41
G81413UE	C79H129N5O57	C113H197N5O57
G81417IR	C50H85NO46P2	C76H137NO46P2
G81419BP	C86H141N7O58	C120H209N7O58
G81420KA	C34H56N2O24	C48H84N2O24
G81421EA	C140H228N10O99	C199H346N10O99
G81422KB	C107H175N7O77	C153H267N7O77
G81422ZI	C66H111N3O49	C96H171N3O49
G81424HL	C75H124N6O53	C108H190N6O53
G81424LP	C69H112N6O51S	C97H168N6O51S
G81425JB	C37H60N2O28	C54H94N2O28
G81425PB	C143H232N10O102	C204H354N10O102
G81427TO	C12H20O9	C17H30O9
G81430ON	C76H125N5O54	C108H189N5O54
G81436EU	C64H107N5O44	C91H161N5O44
G81439BR	C59H96N4O42	C84H146N4O42
G81439OZ	C16H26N2O10	C22H38N2O10
G81441QW	C6H10O5	C9H16O5
G81443QG	C140H226N10O101	C201H348N10O101
G81443YR	C20H33NO15	C29H51NO15
G81450ZX	C62H100N4O46	C90H156N4O46
G81452FP	C110H181N7O79	C157H275N7O79
G81452UT	C66H109N3O50	C96H169N3O50
G81454TO	C148H239N11O107	C213H369N11O107
G81455AE	C20H33NO14	C28H49NO14
G81456UA	C84H136N6O60	C120H208N6O60
G81457BF	C14H23NO13S	C19H33NO13S
G81459MV	C90H146N6O65	C129H224N6O65
G81463DU	C14H23NO10	C20H35NO10
G81465NA	C42H69N3O29	C59H103N3O29
G81466NG	C33H53N3O23	C47H81N3O23
G81471KU	C28H48N2O19	C40H72N2O19
G81471NA	C46H76N2O34	C66H116N2O34
G81473HY	C34H56N2O24	C48H84N2O24
G81473LO	C84H136N6O62	C122H212N6O62
G81479HU	C20H33NO15	C29H51NO15
G81480IJ	C109H176N8O79	C157H272N8O79
G81483IQ	C76H125N5O52	C106H185N5O52
G81484DO	C20H33NO15	C29H51NO15
G81485FV	C24H40O20	C36H64O20
G81486AM	C110H179N7O79	C157H273N7O79
G81486NO	C76H125N5O54	C108H189N5O54
G81488EC	C63H103N3O48	C92H161N3O48
G81489EN	C48H78N6O30	C66H114N6O30
G81492DM	C12H20O10	C18H32O10
G81495UY	C11H18O9	C16H28O9
G81497EL	C87H142N6O63	C125H218N6O63
G81497PM	C79H129N5O58	C114H199N5O58
G81499XS	C80H131N7O55	C113H197N7O55
G81502SE	C12H20O10	C18H32O10
G81503YJ	C16H26O13	C23H40O13
G81505ER	C70H116N2O55	C103H182N2O55
G81510FA	C12H20O9	C17H30O9
G81510VF	C40H66N2O29	C57H100N2O29
G81516HU	C53H87N3O38	C75H131N3O38
G81516LH	C26H43NO19	C37H65NO19
G81517KF	C130H212N8O93	C185H322N8O93
G81520BE	C33H53N3O23	C47H81N3O23
G81521NA	C66H109N3O48	C94H165N3O48
G81524AY	C72H121N3O53	C104H185N3O53
G81526CQ	C66H108N6O45	C93H162N6O45
G81527RS	C43H70N2O32	C62H108N2O32
G81528UX	C67H109N5O48	C96H167N5O48
G81529JB	C109H176N8O79	C157H272N8O79
G81531MO	C18H30O15	C27H48O15
G81533KY	C11H17NO8	C16H27NO8
G81533QQ	C136H224N8O99	C195H342N8O99
G81534KB	C34H56N2O23	C47H82N2O23
G81534XU	C44H75NO33	C64H115NO33
G81535QL	C76H125N5O53	C107H187N5O53
G81536GE	C100H162N8O71	C143H248N8O71
G81539VB	C32H53NO24	C46H81NO24
G81541IU	C50H80N4O36	C72H124N4O36
G81542ST	C44H73NO35	C65H115NO35
G81545AK	C76H127N5O53	C108H191N5O53
G81547WL	C106H172N8O75	C151H262N8O75
G81549AE	C60H99N3O43	C85H149N3O43
G81549KM	C34H54N2O26	C50H86N2O26
G81551NS	C105H174N6O75	C150H264N6O75
G81552XY	C22H36N2O14	C30H52N2O14
G81554CS	C70H115N5O49	C99H173N5O49
G81555CL	C32H52N4O20	C44H76N4O20
G81559KQ	C76H126N2O60	C112H198N2O60
G81561UL	C140H226N10O101	C201H348N10O101
G81567GJ	C36H59N3O26	C53H93N3O26
G81568VW	C53H86N4O38	C76H132N4O38
G81572SC	C84H136N6O60	C120H208N6O60
G81574IL	C34H56N2O24	C48H84N2O24
G81575FZ	C134H218N10O97	C194H338N10O97
G81578NL	C80H132N4O58	C114H200N4O58
G81580TT	C24H40O20	C36H64O20
G81581UV	C65H106N4O47	C93H162N4O47
G81584MT	C70H115N5O49	C99H173N5O49
G81586UQ	C137H222N10O98	C196H340N10O98
G81590EO	C95H153N7O70	C138H239N7O70
G81591DR	C140H226N10O101	C201H348N10O101
G81594BH	C74H122N4O54	C106H186N4O54
G81596CU	C32H53NO25	C47H83NO25
G81598AZ	C64H107N5O44	C91H161N5O44
G81598XH	C28H46N2O20	C40H70N2O20
G81599LG	C106H172N8O75	C151H262N8O75
G81601EB	C115H188N8O83	C166H290N8O83
G81603OC	C71H116N4O52	C102H178N4O52
G81604KV	C73H119N5O53	C105H183N5O53
G81604RU	C104H169N7O75	C149H259N7O75
G81606FC	C64H106N2O50	C94H166N2O50
G81606KX	C84H136N6O61	C121H210N6O61
G81607MC	C28H46N2O20	C40H70N2O20
G81608VW	C63H103N3O48	C92H161N3O48
G81609QN	C20H29NO17	C29H47NO17
G81610XM	C26H38N2O30S3	C36H58N2O30S3
G81612UJ	C59H96N4O43	C85H148N4O43
G81616RI	C54H89N3O40	C78H137N3O40
G81617NU	C84H138N6O58	C118H206N6O58
G81621VO	C50H82N4O35	C71H124N4O35
G81621ZO	C102H166N6O73	C145H252N6O73
G81623GR	C42H67N3O31	C61H105N3O31
G81627MW	C42H71N3O39S3	C58H103N3O39S3
G81627OU	C35H58N2O27	C53H94N2O27
G81627RA	C30H50O25	C45H80O25
G81628EZ	C59H96N4O41	C83H144N4O41
G81628RV	C12H17NO19S3	C16H25NO19S3
G81629XI	C6H11O8P	C10H19O8P
G81632VJ	C70H116N2O55	C103H182N2O55
G81632WR	C48H79N3O33	C67H117N3O33
G81633IC	C88H145N5O63	C125H219N5O63
G81634KL	C114H188N6O81	C161H282N6O81
G81634LW	C24H40O20	C36H64O20
G81637OR	C129H209N9O93	C185H321N9O93
G81646KF	C92H151N7O65	C131H229N7O65
G81647RY	C26H43NO20	C38H67NO20
G81649FJ	C145H236N8O106	C208H362N8O106
G81650EZ	C109H176N8O79	C157H272N8O79
G81651WA	C14H19NO17S2	C18H27NO17S2
G81652FN	C25H40N2O18	C36H62N2O18
G81652IH	C26H38N2O30S3	C36H58N2O30S3
G81653ZK	C85H139N5O62	C122H213N5O62
G81654JV	C66H108N6O45	C93H162N6O45
G81655ZA	C42H71N3O30	C61H109N3O30
G81657MC	C43H70N2O32	C62H108N2O32
G81660JK	C48H71N3O51S4	C65H105N3O51S4
G81661PK	C37H55NO37S2	C52H85NO37S2
G81664RJ	C31H51N3O22	C46H81N3O22
G81670RK	C104H169N7O75	C149H259N7O75
G81675CF	C136H223N11O93	C191H333N11O93
G81676AR	C95H153N7O69	C137H237N7O69
G81677FM	C99H162N6O71	C141H246N6O71
G81680BU	C76H125N5O53	C107H187N5O53
G81681HX	C39H63N3O29	C57H99N3O29
G81686CQ	C26H43NO20	C38H67NO20
G81689OP	C68H112N4O49	C97H170N4O49
G81692NU	C104H169N7O78S	C148H257N7O78S
G81694ON	C36H59N3O25	C51H89N3O25
G81695ES	C12H19NO19S3	C16H27NO19S3
G81695KG	C93H152N6O68	C134H234N6O68
G81697FM	C68H110N4O50	C98H170N4O50
G81697WS	C34H56N2O24	C48H84N2O24
G81699VA	C66H108N6O51S2	C91H158N6O51S2
G81702BT	C54H89N3O38	C76H133N3O38
G81706PC	C72H118N6O49	C101H176N6O49
G81707CP	C88H145N5O62	C124H217N5O62
G81708OL	C48H77N3O38	C72H125N3O38
G81711AO	C79H129N5O58	C114H199N5O58
G81711SM	C129H209N9O93	C185H321N9O93
G81713KT	C60H99N3O45	C87H153N3O45
G81713YZ	C54H89N3O40	C78H137N3O40
G81714CJ	C24H40O20	C36H64O20
G81719CZ	C32H53NO25	C47H83NO25
G81719XG	C82H135N5O59	C117H205N5O59
G81724YR	C12H20O10	C18H32O10
G81725CS	C34H56N2O24	C48H84N2O24
G81725PI	C18H30O15	C27H48O15
G81728BG	C148H239N11O106	C212H367N11O106
G81730TV	C54H89N3O39	C77H135N3O39
G81730ZL	C62H103NO50	C92H163NO50
G81734TI	C78H128N6O54	C110H192N6O54
G81737GG	C70H113N5O51	C101H175N5O51
G81738MQ	C70H115N5O49	C99H173N5O49
G81740BZ	C52H86N2O38	C74H130N2O38
G81743YX	C70H118N2O55	C104H186N2O55
G81747JQ	C51H83N3O39	C75H131N3O39
G81748GB	C25H40N2O18	C36H62N2O18
G81748II	C31H49NO25	C45H77NO25
G81750QQ	C42H70O35	C63H112O35
G81753IL	C22H36N2O18S	C30H52N2O18S
G81753QM	C118H192N8O85	C169H294N8O85
G81759TU	C48H79N3O33	C67H117N3O33
G81760TW	C24H36N2O35S5	C33H54N2O35S5
G81761OR	C150H247N9O108	C214H375N9O108
G81764HO	C18H30O15	C27H48O15
G81768ZB	C60H99N3O44	C86H151N3O44
G81771DB	C101H165N7O72	C144H251N7O72
G81771HX	C94H155N5O67	C133H233N5O67
G81773GO	C99H162N6O72	C142H248N6O72
G81773XZ	C73H119N5O53	C105H183N5O53
G81777PB	C96H156N6O70	C138H240N6O70
G81777TV	C98H159N7O72	C142H247N7O72
G81778DU	C22H38N2O15	C32H58N2O15
G81779PZ	C24H36N2O35S5	C33H54N2O35S5
G81785RB	C79H129N5O57	C113H197N5O57
G81785YQ	C52H86N2O40	C76H134N2O40
G81787TO	C20H33NO18S	C28H49NO18S
G81787XH	C39H63N3O28	C56H97N3O28
G81788HU	C42H70O35	C63H112O35
G81792DS	C28H53N3O25P2	C45H87N3O25P2
G81792ZL	C168H272N12O121	C241H418N12O121
G81793BO	C54H89N3O38	C76H133N3O38
G81795JQ	C120H195N9O88	C174H303N9O88
G81796MX	C123H199N9O88	C176H305N9O88
G81796XK	C81H132N6O60S	C114H198N6O60S
G81797TX	C30H51N3O20	C43H77N3O20
G81799DL	C24H40O20	C36H64O20
G81800LK	C30H50O25	C45H80O25
G81802GJ	C167H269N13O125	C245H425N13O125
G81805SZ	C26H38N2O27S2	C37H60N2O27S2
G81805XF	C109H176N8O79	C157H272N8O79
G81806PG	C140H226N10O101	C201H348N10O101
G81807BK	C34H56N2O24	C48H84N2O24
G81813WJ	C78H128N6O55	C111H194N6O55
G81816EX	C36H55N3O57S9	C48H79N3O57S9
G81818TE	C87H142N6O61	C123H214N6O61
G81819BH	C115H186N8O83	C165H286N8O83
G81819KR	C50H82N4O35	C72H126N4O35
G81819VG	C68H112N4O49	C97H170N4O49
G81825YE	C48H79N3O34	C68H119N3O34
G81831HC	C24H40O20	C36H64O20
G81831TO	C78H129N3O56	C110H193N3O56
G81832CY	C48H81N3O34	C69H123N3O34
G81832HJ	C64H105N5O45	C91H159N5O45
G81832XS	C54H89N3O38	C76H133N3O38
G81833YQ	C68H112N4O48	C96H168N4O48
G81844SB	C42H69N3O30	C60H105N3O30
G81851QZ	C33H53N3O23	C47H81N3O23
G81852HN	C112H182N8O81	C161H280N8O81
G81852WN	C108H180N6O76	C153H270N6O76
G81853KM	C94H156N2O75	C139H246N2O75
G81854KP	C130H212N8O97	C189H330N8O97
G81857JF	C14H19NO20S3	C17H25NO20S3
G81858IB	C28H42N2O22	C40H66N2O22
G81862UX	C31H50N2O26S	C44H76N2O26S
G81863AN	C18H30O15	C27H48O15
G81865HP	C109H176N8O79	C157H272N8O79
G81865QV	C40H68N2O30	C59H106N2O30
G81866HW	C27H44N2O19	C38H66N2O19
G81869AA	C76H125N5O54	C108H189N5O54
G81869MY	C104H169N7O76	C150H261N7O76
G81870AZ	C81H134N6O57	C116H204N6O57
G81873QA	C87H142N6O63	C125H218N6O63
G81874LD	C28H46N2O20	C40H70N2O20
G81874XM	C104H169N7O75	C149H259N7O75
G81877PA	C83H135N7O57	C117H203N7O57
G81879LT	C37H60N2O28	C54H94N2O28
G81880UQ	C84H138N6O58	C118H206N6O58
G81881OF	C38H63NO28	C54H95NO28
G81881TF	C30H51N3O20	C43H77N3O20
G81884LA	C14H21NO14S	C19H31NO14S
G81895EG	C22H36N2O18S	C30H52N2O18S
G81895JI	C109H178N8O76	C154H268N8O76
