GlyTouCanAccession	Image-Size	Image-CRC	Image-Notation	Image-Style
G00728SN	2791	a054ad76	cfg	extended
G00729SA	2788	0ce3e7e4	cfg	extended
G00736XN	1189	97a3a175	cfg	extended
G00736YF	3485	f4c2b2bf	cfg	extended
G00741NZ	4153	04755b0d	cfg	extended
G00743WU	3400	3a95bf97	cfg	extended
G00745GK	1143	f4a6b148	cfg	extended
G00747UC	4920	075915f1	cfg	extended
G00760ZJ	1058	4bbc60ff	cfg	extended
G00761OX	1157	f502d3ec	cfg	extended
G00774OZ	2152	5c810f7c	cfg	extended
G00783PW	3530	04ef6d77	cfg	extended
G00784PW	1181	523c6863	cfg	extended
G00794UV	2013	440d96b8	cfg	extended
G00797ZX	6378	df230857	cfg	extended
G00798PL	2450	7bf8b9d6	cfg	extended
G00800WJ	5959	3e146182	cfg	extended
G00803PJ	798	1b491094	cfg	extended
G00805TZ	6569	b28f9f6e	cfg	extended
G00814BW	5512	c95daaf9	cfg	extended
G00824LK	1947	0e984244	cfg	extended
G00826SV	3938	5bedff15	cfg	extended
G00828QE	3253	7d99d366	cfg	extended
G00830CM	4263	e7dc006b	cfg	extended
G00839XF	1635	bff29fbd	cfg	extended
G00842OY	4462	10901b56	cfg	extended
G00845KS	2292	de345d36	cfg	extended
G00850LT	1923	3b989e0e	cfg	extended
G00851XQ	2058	d99996ec	cfg	extended
G00852WL	1542	8160c8bb	cfg	extended
G00852XI	2448	834f3d0a	cfg	extended
G00862WE	554	bd966037	cfg	extended
G00864TV	3819	5b9b28e4	cfg	extended
G00866EV	1610	e3a90ab7	cfg	extended
G00868ZN	2707	04a0417b	cfg	extended
G00868ZT	1230	43090933	cfg	extended
G00875VP	4089	68cdc586	cfg	extended
G00876GU	4074	f0b7ce21	cfg	extended
G00883DO	2585	bfee1b04	cfg	extended
G00883ZT	3151	8e5a3136	cfg	extended
G00887EN	1701	6f265693	cfg	extended
G00888JR	2240	4f8f1c6d	cfg	extended
G00891GP	1437	f7f74317	cfg	extended
G00891MP	1062	77315424	cfg	extended
G00895OR	4551	df9c38d3	cfg	extended
