GlyTouCanAccession	GlyConnectAccession	GlyConnectAccessionType
G10425SO	182	GlyConnectStructure
G10441JJ	930	GlyConnectComposition
G10471FG	3485	GlyConnectStructure
G10488WF	1229	GlyConnectStructure
G10508JF	504	GlyConnectComposition
G10508JF	504	GlyConnectComposition
G10514PF	1348	GlyConnectStructure
G10514PF	674	GlyConnectStructure
G10562QT	456	GlyConnectStructure
G10564SS	2085	GlyConnectStructure
G10568ZJ	222	GlyConnectStructure
G10609HO	262	GlyConnectStructure
G10615JE	2761	GlyConnectStructure
G10625VD	1662	GlyConnectStructure
G10651WD	223	GlyConnectStructure
G10664FL	2026	GlyConnectStructure
G10687EF	292	GlyConnectStructure
G10691MJ	10793	GlyConnectStructure
G10705PR	2334	GlyConnectStructure
G10706IL	3197	GlyConnectStructure
G10716SX	1290	GlyConnectStructure
G10756ZZ	2878	GlyConnectStructure
G10773YW	370	GlyConnectComposition
G10773YW	370	GlyConnectComposition
G10924UK	2658	GlyConnectStructure
G10944ZI	41	GlyConnectStructure
G10973QG	288	GlyConnectStructure
G10995NB	2352	GlyConnectStructure
G11010YY	724	GlyConnectStructure
G11041DA	2481	GlyConnectStructure
G11060OT	983	GlyConnectStructure
G11061VC	1135	GlyConnectStructure
G11243PG	390	GlyConnectComposition
G11243PG	390	GlyConnectComposition
G11254FL	2710	GlyConnectStructure
G11263ED	434	GlyConnectStructure
G11282GU	3032	GlyConnectStructure
G11318MQ	2194	GlyConnectStructure
G11324RD	791	GlyConnectStructure
G11329LI	2998	GlyConnectStructure
G11346GZ	127	GlyConnectStructure
G11392CL	2749	GlyConnectStructure
G11417QD	871	GlyConnectStructure
G11453BM	2143	GlyConnectStructure
G11457RF	2376	GlyConnectStructure
G11460AB	1043	GlyConnectStructure
G11509RN	748	GlyConnectStructure
G11528MV	1588	GlyConnectStructure
G11535IB	1287	GlyConnectStructure
G11561RV	2964	GlyConnectStructure
G11578PH	3607	GlyConnectStructure
G11611PG	1043	GlyConnectComposition
G11611PG	1043	GlyConnectComposition
G11613HW	3397	GlyConnectStructure
G11629QQ	127	GlyConnectComposition
G11629QQ	127	GlyConnectComposition
G11637WL	566	GlyConnectStructure
G11647UD	705	GlyConnectStructure
G11671GQ	1473	GlyConnectStructure
G11688DS	1970	GlyConnectStructure
G11712ZQ	1360	GlyConnectStructure
G11758TL	2813	GlyConnectStructure
G11787ET	467	GlyConnectComposition
G11846US	2033	GlyConnectStructure
G11860YJ	2495	GlyConnectStructure
G11860YJ	7013	GlyConnectStructure
G11870QZ	286	GlyConnectComposition
G11870QZ	286	GlyConnectComposition
G11885NX	2662	GlyConnectStructure
G11908FF	1548	GlyConnectStructure
