GlyTouCanAccession	GlycoShapeAccession
G38695WE	G38695WE
G38852IM	G38852IM
G38883QO	G38883QO
G38887NC	G38887NC
G38958GL	G38958GL
G38999IM	G38999IM
G39018CC	G39018CC
G39023AU	G39023AU
G39025OC	G39025OC
G39037TZ	G39037TZ
G39074KN	G39074KN
G39130DL	G39130DL
G39136RY	G39136RY
G39213VZ	G39213VZ
G39294YF	G39294YF
G39321UZ	G39321UZ
G39408YK	G39408YK
G39567LQ	G39567LQ
G39578OU	G39578OU
G39738WL	G39738WL
G39767HX	G39767HX
G39809LE	G39809LE
G39890DX	G39890DX
G39904UT	G39904UT
G39992DR	G39992DR
G39995KJ	G39995KJ
G40065EM	G40065EM
G40067QO	G40067QO
G40104OM	G40104OM
G40183QN	G40183QN
G40289RO	G40289RO
G40294VQ	G40294VQ
G40609EP	G40609EP
G40650WW	G40650WW
G40696TO	G40696TO
G40702WU	G40702WU
G40707RU	G40707RU
G40764VP	G40764VP
G40768MU	G40768MU
G40804BH	G40804BH
G40906DZ	G40906DZ
G40945TN	G40945TN
G40990LB	G40990LB
G41052GC	G41052GC
G41085KZ	G41085KZ
G41132AR	G41132AR
G41179DF	G41179DF
G41245OZ	G41245OZ
G41359DB	G41359DB
G41510DX	G41510DX
G41553RU	G41553RU
G41574UI	G41574UI
G41576FY	G41576FY
G41876BL	G41876BL
G42049JU	G42049JU
G42075WT	G42075WT
G42089IU	G42089IU
G42248RC	G42248RC
G42380GI	G42380GI
G42545LJ	G42545LJ
G42552PM	G42552PM
G42640LE	G42640LE
G42649FB	G42649FB
G42666HT	G42666HT
G42674LI	G42674LI
G42680EX	G42680EX
G42727QA	G42727QA
G42779TD	G42779TD
G42924MA	G42924MA
G42956UG	G42956UG
G42967FG	G42967FG
G43042LE	G43042LE
G43097FM	G43097FM
G43105RN	G43105RN
G43113YA	G43113YA
G43135VQ	G43135VQ
G43191LZ	G43191LZ
G43230HK	G43230HK
G43242UV	G43242UV
G43280XO	G43280XO
G43416JO	G43416JO
G43438SM	G43438SM
G43486EV	G43486EV
G43509OH	G43509OH
G43521WO	G43521WO
G43534QA	G43534QA
G43547MI	G43547MI
G43639BV	G43639BV
G43687MV	G43687MV
G43804GS	G43804GS
G43818LO	G43818LO
G43828TT	G43828TT
G43872OD	G43872OD
G43891JJ	G43891JJ
G43985JK	G43985JK
G44093TU	G44093TU
G44191VM	G44191VM
G44207QF	G44207QF
G44343EV	G44343EV
G44362TS	G44362TS
G44450RW	G44450RW
G44500MG	G44500MG
G44634YI	G44634YI
G44738JR	G44738JR
G44743IQ	G44743IQ
G44826KU	G44826KU
G44865OQ	G44865OQ
