GlyTouCan AC	Species Name	AnnotationCategory	Source	Source ID	tax_id
G79807LP	Human	Subsumption	GNOme	G77451BX	
G79807LP	Human	Subsumption	GNOme	G77852EK	
G79807LP	Human	Subsumption	GNOme	G87889NL	
G79807LP	Human	Subsumption	GNOme	G90206GU	
G79807LP	Human	Subsumption	GNOme	G91471TQ	
G79807LP	Mouse	Subsumption	GNOme	G03652TR	
G79807LP	Mouse	Subsumption	GNOme	G05241IE	
G79807LP	Mouse	Subsumption	GNOme	G24599MW	
G79807LP	Mouse	Subsumption	GNOme	G45841FE	
G79807LP	Mouse	Subsumption	GNOme	G46836GH	
G79807LP	Mouse	Subsumption	GNOme	G55220VL	
G79807LP	Mouse	Subsumption	GNOme	G58746AB	
G79807LP	Mouse	Subsumption	GNOme	G59406KS	
G79807LP	Mouse	Subsumption	GNOme	G87889NL	
G79807LP	Rat	Subsumption	GNOme	G03652TR	
G79807LP	Rat	Subsumption	GNOme	G08304AG	
G79807LP	Rat	Subsumption	GNOme	G51623PN	
G79807LP	Rat	Subsumption	GNOme	G55220VL	
G79809MM	Human	Direct	GlyConnect	3268	9606
G79809MM	Human	Direct	GlyTouCan	G79809MM	9606
G79809MM	Human	Direct	UniCarbKB	1661	9606
G79809MM	Mouse	Direct	GlyConnect	3268	10090
G79809MM	Rat	Direct	GlyConnect	3268	10116
G79810PX	Human	Direct	GlyTouCan	G79810PX	9606
G79813UW	Human	Subsumption	GNOme	G38997JB	
G79816PH	Human	Subsumption	GNOme	G91081MA	
G79835GX	Human	Subsumption	GNOme	G40702WU	
G79835GX	Human	Subsumption	GNOme	G91704UR	
G79835GX	Mouse	Subsumption	GNOme	G40702WU	
G79835GX	Mouse	Subsumption	GNOme	G91704UR	
G79852UE	Human	Direct	GlyTouCan	G79852UE	9606
G79854UL	Rat	Subsumption	GNOme	G40397HC	
G79874FN	Human	Subsumption	GNOme	G14343MU	
G79876YN	Human	Subsumption	GNOme	G74396CO	
G79876YN	Human	Subsumption	GNOme	G88725FA	
G79880TF	Human	Subsumption	GNOme	G08244KE	
G79880TF	Human	Subsumption	GNOme	G17331IX	
G79880TF	Human	Subsumption	GNOme	G32216IU	
G79880TF	Human	Subsumption	GNOme	G48265KY	
G79886GQ	Human	Subsumption	GNOme	G67838AF	
G79886GQ	Human	Subsumption	GNOme	G77199IL	
G79890WA	Human	Subsumption	GNOme	G81832XS	
G79896BV	Human	Direct	GlyConnect	1054	9606
G79896BV	Mouse	Direct	GlyConnect	1054	10090
G79896CK	Human	Direct	GlyConnect	306	9606
G79896CK	Mouse	Subsumption	GNOme	G02622IU	
G79896CK	SARS	Subsumption	GNOme	G02622IU	
G79907FX	Mouse	Subsumption	GNOme	G74121YX	
G79915IB	Human	Direct	GlyTouCan	G79915IB	9606
G79916GF	Human	Subsumption	GNOme	G57930PW	
G79916GF	Mouse	Subsumption	GNOme	G57930PW	
G79916NT	Human	Subsumption	GNOme	G65832JS	
G79928VL	Human	Direct	GlyTouCan	G79928VL	9606
