label	nonspec	spec	total	percent	fisherscore	
H5N5FS	Y[pN]	7	11	18	38.89	-10.23	
H5N2	Y[pN]	9	16	25	36.0	-10.16	
H5N4F	Y[pN2]	10	19	29	34.48	-9.77	
H5N4F3S	Y[pH4N3F]	5	7	12	41.67	-9.32	
H4N4	Y[pH2N2]	5	7	12	41.67	-9.32	
H5N4FS2	Y[pH2N2]	24	59	83	28.92	-9.21	
H5N4F4	Y[pN2]	4	5	9	44.44	-8.92	
H5N3S	Y[pH4N3]	4	5	9	44.44	-8.92	
H5N4F3S	Y[pN2]	4	5	9	44.44	-8.92	
H6N3S	Y[p]	4	5	9	44.44	-8.92	
H5N5	Y[pH3N3]	4	5	9	44.44	-8.92	
H5N4F	Y[p]	4	5	9	44.44	-8.92	
H6N3	Y[pHN2]	4	5	9	44.44	-8.92	
H5N4F3S	Y[pH3N2F]	4	5	9	44.44	-8.92	
H5N5F	Y[pH4N4]	2	1	3	66.67	-8.76	
H8N7F	Y[pH3N3]	2	1	3	66.67	-8.76	
H5N6F	Y[pH4N4F]	2	1	3	66.67	-8.76	
H7N6F	Y[pH3N3]	2	1	3	66.67	-8.76	
H5N5	Y[pH4N3]	2	1	3	66.67	-8.76	
H4N5F	Y[p]	2	1	3	66.67	-8.76	
H6N5FS2	Y[pH5N5]	2	1	3	66.67	-8.76	
H6N4S	Y[pHN2]	2	1	3	66.67	-8.76	
H4N5S	Y[pH3N2]	2	1	3	66.67	-8.76	
H6N4	Y[pH4N3]	2	1	3	66.67	-8.76	
H7N4S	Y[pN]	2	1	3	66.67	-8.76	
H8N7S	Y[pH4N3S]	2	1	3	66.67	-8.76	
H4N4	Y[pH4N2]	2	1	3	66.67	-8.76	
H5N6F	Y[pN]	2	1	3	66.67	-8.76	
H7N6FS4	Y[pH6N5S]	2	1	3	66.67	-8.76	
H8N7S	Y[pH6N5S]	2	1	3	66.67	-8.76	
H7N6S	Y[pH4N4]	2	1	3	66.67	-8.76	
H6N3S	Y[pH4N3]	2	1	3	66.67	-8.76	
H4N5S	Y[p]	2	1	3	66.67	-8.76	
H6N4FS	Y[p]	2	1	3	66.67	-8.76	
H4N5S2	Y[pN]	2	1	3	66.67	-8.76	
H5N5S	Y[pH5N5]	2	1	3	66.67	-8.76	
H5N4F3	Y[pH3N2F]	2	1	3	66.67	-8.76	
H5N4F2	Y[pH4N4]	2	1	3	66.67	-8.76	
H7N6	Y[pHN2]	2	1	3	66.67	-8.76	
H8N7F	Y[pH4N3]	2	1	3	66.67	-8.76	
H5N3F	Y[p]	2	1	3	66.67	-8.76	
H4N3F	Y[pHN2F]	2	1	3	66.67	-8.76	
H4N5F	Y[pH4N4]	2	1	3	66.67	-8.76	
H3N7F	Y[pH3N5F]	2	1	3	66.67	-8.76	
H4N5	Y[pH2N3]	3	3	6	50.0	-8.63	
H4N3F	Y[pH2N2F]	3	3	6	50.0	-8.63	
H4N4F	Y[pN2]	3	3	6	50.0	-8.63	
H5N4F3S	Y[pH3N3FS]	3	3	6	50.0	-8.63	
H4N5S	Y[pH3N3]	3	3	6	50.0	-8.63	
H7N6FS4	Y[pH5N4]	3	3	6	50.0	-8.63	
H4N5F	Y[pN2F]	3	3	6	50.0	-8.63	
H5N3S	Y[p]	3	3	6	50.0	-8.63	
H5N4F	Y[pH4N4F]	3	3	6	50.0	-8.63	
H5N4F4	Y[pH4N3]	6	10	16	37.5	-8.62	
H6N5FS3	Y[pH4N3]	18	43	61	29.51	-8.54	
H6N5FS2	Y[pH5N4]	9	18	27	33.33	-8.42	
H4N4F	Y[pH2N2]	7	13	20	35.0	-8.17	
H4N4F	Y[pH3N3]	7	13	20	35.0	-8.17	
H5N4F3S	Y[pH3N3F]	5	8	13	38.46	-8.08	
H6N5FS3	Y[pHN2]	13	30	43	30.23	-7.81	
H6N5S2	Y[pN]	14	33	47	29.79	-7.73	
H4N4F	Y[pN2F]	4	6	10	40.0	-7.53	
H6N5FS3	Y[pH3N2]	4	6	10	40.0	-7.53	
H6N5FS2	Y[pHN2]	4	6	10	40.0	-7.53	
H4N3	Y[pN]	4	6	10	40.0	-7.53	
H5N5F	Y[pN2]	4	6	10	40.0	-7.53	
H7N2	Y[pN]	4	6	10	40.0	-7.53	
H6N5FS2	Y[pN]	11	25	36	30.56	-7.4	
H5N4F	Y[pN]	16	40	56	28.57	-7.14	
H6N5FS3	Y[pH3N3]	24	64	88	27.27	-7.13	
H6N5S2	Y[pH2N2]	8	17	25	32.0	-7.11	
H6N5FS3	Y[pH2N2]	20	52	72	27.78	-7.1	
H5N4FS2	Y[pH5N4S]	5	9	14	35.71	-7.01	
H5N4FS	Y[pH5N4]	5	9	14	35.71	-7.01	
H3N4F	Y[pHN2F]	5	9	14	35.71	-7.01	
H5N4F	Y[pN2F]	3	4	7	42.86	-6.97	
H3N5	Y[pH3N3]	3	4	7	42.86	-6.97	
H5N5	Y[pH4N4]	3	4	7	42.86	-6.97	
H6N4S	Y[pH4N2]	3	4	7	42.86	-6.97	
H5N4F	Y[pH2N3F]	3	4	7	42.86	-6.97	
H6N5FS2	Y[pH3N2]	3	4	7	42.86	-6.97	
H5N5F	Y[pH3N3]	3	4	7	42.86	-6.97	
H7N6S4	Y[pH5N4S]	3	4	7	42.86	-6.97	
H7N6S4	Y[pH5N4]	3	4	7	42.86	-6.97	
H7N6	Y[pH2N2]	3	4	7	42.86	-6.97	
H3N4F	Y[pH2N2F]	6	12	18	33.33	-6.72	
H7N6	Y[pH4N3]	2	2	4	50.0	-6.45	
H7N6FS4	Y[pH4N4]	2	2	4	50.0	-6.45	
H9N2	Y[pN]	2	2	4	50.0	-6.45	
H5N4F2S	Y[pH4N4S]	2	2	4	50.0	-6.45	
H7N6S	Y[pN]	2	2	4	50.0	-6.45	
H4N5S	Y[pH4N3]	2	2	4	50.0	-6.45	
H5N5	Y[pH5N4]	2	2	4	50.0	-6.45	
H3N5F	Y[pH3N4]	2	2	4	50.0	-6.45	
H7N6S4	Y[pH4N4]	2	2	4	50.0	-6.45	
H5N3S	Y[pH3N3]	2	2	4	50.0	-6.45	
H3N5F	Y[pN2]	2	2	4	50.0	-6.45	
H7N6S	Y[pH3N3]	2	2	4	50.0	-6.45	
H7N6S	Y[pH5N4]	2	2	4	50.0	-6.45	
H4N5S	Y[pH4N4]	2	2	4	50.0	-6.45	
H4N4	Y[p]	2	2	4	50.0	-6.45	
H3N3	Y[pN]	2	2	4	50.0	-6.45	
H4N5S	Y[pHN2]	2	2	4	50.0	-6.45	
H5N4FS	Y[p]	2	2	4	50.0	-6.45	
H4N5S	Y[pH2N2]	2	2	4	50.0	-6.45	
H5N5	Y[pH5N3]	1	0	1	100.0	-6.41	
H7N6S4	Y[pH7N6S2]	1	0	1	100.0	-6.41	
H5N4F4	Y[pH4N4F4]	1	0	1	100.0	-6.41	
H6N5F	Y[p]	1	0	1	100.0	-6.41	
H4N6	Y[pH3N3]	1	0	1	100.0	-6.41	
H4N5F2	Y[pH3N3]	1	0	1	100.0	-6.41	
H6N3S	Y[pH3N3]	1	0	1	100.0	-6.41	
H4N4F2	Y[pHN2F]	1	0	1	100.0	-6.41	
H4N5FS	Y[pH4N4S]	1	0	1	100.0	-6.41	
H8N7S	Y[pH3N4S]	1	0	1	100.0	-6.41	
H3N5F	Y[pHN2]	1	0	1	100.0	-6.41	
H3N4F2	Y[pH3N3F2]	1	0	1	100.0	-6.41	
H5N6F	Y[pN2]	1	0	1	100.0	-6.41	
H4N6	Y[pH2N2]	1	0	1	100.0	-6.41	
H6N4S	Y[pH2N3]	1	0	1	100.0	-6.41	
H4N5	Y[pH4N3]	1	0	1	100.0	-6.41	
H7N6FS4	Y[pH6N5]	1	0	1	100.0	-6.41	
H3N5F	Y[pH2N2F]	1	0	1	100.0	-6.41	
H5N5F2	Y[pH4N4F]	1	0	1	100.0	-6.41	
H7N4S	Y[pH4N3S]	1	0	1	100.0	-6.41	
H7N6FS4	Y[pH4N3]	1	0	1	100.0	-6.41	
H5N5FS2	Y[pH4N3]	1	0	1	100.0	-6.41	
H5N5	Y[pH3N2]	1	0	1	100.0	-6.41	
H4N5F	Y[pH4N3]	1	0	1	100.0	-6.41	
H8N7S	Y[pH3N2]	1	0	1	100.0	-6.41	
H3N4F2	Y[pH2N3F2]	1	0	1	100.0	-6.41	
H4N5S2	Y[pH2N2]	1	0	1	100.0	-6.41	
H5N5F2	Y[pH5N4]	1	0	1	100.0	-6.41	
H4N6S	Y[pH3N3]	1	0	1	100.0	-6.41	
H3N3F	Y[pHN2]	1	0	1	100.0	-6.41	
H6N5F2	Y[pH4N3]	1	0	1	100.0	-6.41	
H5N6F	Y[pH4N3F]	1	0	1	100.0	-6.41	
H3N6	Y[pH2N4]	1	0	1	100.0	-6.41	
H4N4F2	Y[pH4N3]	1	0	1	100.0	-6.41	
H6N3	Y[pH3N3]	1	0	1	100.0	-6.41	
H4N6	Y[pH2N3]	1	0	1	100.0	-6.41	
H11N2	Y[p]	1	0	1	100.0	-6.41	
