GlyTouCan	MonosaccharideDB_ID
G03021WA	3
G03021WA	5
G03021WA	7
G03021WA	15
G03024EJ	Some monosaccharide(s) has no ID in monosaccharide DB
G03024EJ	1
G03024EJ	2
G03024EJ	7
G03036FD	Some monosaccharide(s) has no ID in monosaccharide DB
G03036FD	2
G03036FD	4
G03036FD	12
G03049NB	1
G03049NB	2
G03049NB	18
G03067VG	1
G03067VG	2
G03067VG	4
G03067VG	6
G03071KV	Some monosaccharide(s) has no ID in monosaccharide DB
G03071KV	2
G03071KV	7
G03071KV	14
G03075ZE	1
G03075ZE	2
G03075ZE	3
G03075ZE	5
G03075ZE	6
G03075ZE	7
G03081ER	Some monosaccharide(s) has no ID in monosaccharide DB
G03081ER	1
G03081ER	3
G03081ER	5
G03081ER	7
G03106MF	1
G03106MF	2
G03106MF	4
G03106MF	6
G03106MF	7
G03137RO	1
G03137RO	2
G03137RO	3
G03137RO	5
G03137RO	7
G03137RO	15
G03164NE	Some monosaccharide(s) has no ID in monosaccharide DB
G03164NE	1
G03164NE	2
G03164NE	3
G03164NE	5
G03164NE	6
G03164NE	7
G03165SD	Some monosaccharide(s) has no ID in monosaccharide DB
G03165SD	1
G03165SD	3
G03165SD	5
G03165SD	7
G03165SD	12
G03168RN	1
G03168RN	2
G03168RN	6
G03168RN	18
G03168RN	215
G03177HU	Some monosaccharide(s) has no ID in monosaccharide DB
G03177HU	1
G03177HU	3
G03177HU	5
G03195HW	Some monosaccharide(s) has no ID in monosaccharide DB
G03195HW	1
G03195HW	2
G03195HW	3
G03195HW	5
G03196WF	Some monosaccharide(s) has no ID in monosaccharide DB
G03196WF	1
G03196WF	2
G03196WF	3
G03196WF	5
G03196WF	6
G03196WF	7
G03207XQ	Some monosaccharide(s) has no ID in monosaccharide DB
G03207XQ	1
G03207XQ	2
G03207XQ	3
G03207XQ	5
G03207XQ	7
G03207XQ	10
G03216SJ	1
G03216SJ	2
G03216SJ	3
G03216SJ	5
G03230AX	1
G03230AX	2
G03230AX	3
G03230AX	5
G03230AX	6
G03230AX	15
G03246MZ	Some monosaccharide(s) has no ID in monosaccharide DB
G03247RO	Some monosaccharide(s) has no ID in monosaccharide DB
G03247RO	1
G03247RO	3
G03247RO	5
G03250GT	Some monosaccharide(s) has no ID in monosaccharide DB
G03250GT	1
G03250GT	3
G03250GT	5
G03250UN	1
G03250UN	2
G03250UN	3
G03250UN	5
G03250UN	6
G03250UN	7
G03250UN	15
G03260OU	1
G03260OU	2
G03260OU	3
G03260OU	5
G03260OU	6
G03266UM	1
G03266UM	2
G03266UM	6
G03266UM	7
G03266UM	18
G03272YQ	1
G03272YQ	2
G03272YQ	3
G03272YQ	5
G03272YQ	7
G03275SD	1
G03275SD	2
G03275SD	3
G03275SD	5
G03277UZ	Some monosaccharide(s) has no ID in monosaccharide DB
G03277UZ	1
G03277UZ	2
G03277UZ	3
G03277UZ	5
G03277UZ	6
G03277YI	2
G03277YI	4
G03277YI	6
G03277YI	12
G03309JT	1
G03309JT	2
G03309JT	6
G03321AC	1
G03321AC	3
G03321AC	5
G03345AP	1
G03345AP	2
G03345AP	3
G03345AP	5
G03345AP	6
G03345AP	7
G03345AP	15
G03361KC	1
G03361KC	2
G03361KC	4
G03361KC	367
G03368AU	1
G03368AU	7
G03368AU	122
G03385XG	1
G03385XG	2
G03385XG	3
G03385XG	5
G03385XG	6
G03414KZ	Some monosaccharide(s) has no ID in monosaccharide DB
G03414KZ	1
G03414KZ	2
G03414KZ	3
G03414KZ	5
G03414KZ	6
G03431NA	1
G03431NA	2
G03431NA	3
G03431NA	5
G03433NI	Some monosaccharide(s) has no ID in monosaccharide DB
G03433NI	2
G03433NI	6
G03445UI	1
G03445UI	2
G03445UI	3
G03445UI	5
G03445UI	7
G03479ZN	1
G03479ZN	2
G03479ZN	3
G03479ZN	5
G03479ZN	6
G03479ZN	7
G03499BP	1
G03499BP	2
G03499BP	10
G03506YN	2
G03506YN	4
G03506YN	6
G03506YN	12
G03509EL	1
G03509EL	2
G03509EL	6
G03520RT	Some monosaccharide(s) has no ID in monosaccharide DB
G03520RT	1
G03520RT	2
G03529DJ	1
G03529DJ	2
G03529DJ	3
G03529DJ	5
G03529DJ	6
G03529DJ	15
G03530HJ	Some monosaccharide(s) has no ID in monosaccharide DB
G03530HJ	1
G03530HJ	2
G03530HJ	6
G03536SO	Some monosaccharide(s) has no ID in monosaccharide DB
G03536SO	1
G03536SO	2
G03536SO	3
G03536SO	5
G03536SO	6
G03542LT	Some monosaccharide(s) has no ID in monosaccharide DB
G03542LT	1
G03542LT	2
G03542LT	3
G03542LT	5
G03542LT	6
G03542MQ	Some monosaccharide(s) has no ID in monosaccharide DB
G03542MQ	3
G03542MQ	5
G03546AH	Some monosaccharide(s) has no ID in monosaccharide DB
G03546AH	1
G03546AH	3
G03546AH	5
G03564IA	1
G03564IA	2
G03564IA	4
G03564IA	7
G03584KV	1
G03584KV	2
G03584KV	3
G03584KV	5
G03584KV	6
G03584KV	7
G03591CN	1
G03591CN	2
G03591CN	6
G03591CN	7
G03591CN	18
G03591CN	215
G03595ET	1
G03595ET	3
G03595ET	5
G03600YM	1
G03600YM	2
G03600YM	3
G03600YM	5
G03600YM	6
G03600YM	16
G03603IS	Some monosaccharide(s) has no ID in monosaccharide DB
G03603IS	1
G03603IS	2
