SID,REGID,CID
252296788,G36757MS,91862557
252296787,G70677GR,91862556
252296786,G33972SX,91862555
252296785,G10825NI,91862554
252296784,G70714VS,91862553
252296783,G37240KU,91862552
252296782,G58257AV,91862551
252296781,G88922EN,91862550
252296780,G73156OK,91862549
252296779,G85412ZJ,91862548
252296778,G88530VK,91862547
252296777,G87613MT,71297285
252296776,G87574LM,91862546
252296775,G82189TR,91862545
252296774,G80920UZ,91862544
252296773,G77845QS,91862543
252296772,G71076YG,15608644
252296771,G67855QE,91862542
252296770,G65139VB,91862541
252296769,G57707WO,91862540
252296768,G46526SO,91862539
252296767,G42300CL,91862538
252296766,G37071WI,91862537
252296765,G34622QG,71297429
252296764,G19238ZQ,71298432
252296763,G18524KT,91862536
252296762,G15705EH,91862535
252296761,G07375KM,91862534
252296760,G01748MD,91862533
252296759,G00394CR,71298482
252296758,G00068PW,91862532
252296757,G92918FJ,91862531
252296756,G88089UV,71298333
252296755,G85795PL,91862530
252296754,G82861UH,91862529
252296753,G82303RP,91862528
252296752,G74910NC,91862527
252296751,G69175BJ,91862526
252296750,G66923HV,91862525
252296749,G64334QQ,91862524
252296748,G46090FJ,91862523
252296747,G40244KN,91862522
252296746,G39872KZ,91862521
252296745,G39065HZ,91862520
252296744,G35079UA,91862519
252296743,G27960EQ,91862518
252296742,G16847JK,91862517
252296741,G13869TL,91862516
252296740,G00695JO,91862515
252296739,G98101PA,91862514
252296738,G97249MB,91862513
252296737,G89398MH,71298320
252296736,G87488ZG,91862512
252296735,G85895SP,91862511
252296734,G82631SL,91862510
252296733,G77303NX,91862509
252296732,G74090KZ,91862508
252296731,G73845XM,91862507
252296730,G69777JE,91862506
252296729,G64311TT,91862505
252296728,G60504ZR,91862504
252296727,G58824LL,71297621
252296726,G58399HX,53262298
252296725,G53969KM,91862503
252296724,G53456IY,91862502
252296723,G51947OY,71298321
252296722,G40709XS,91862501
252296721,G39845MN,91862500
252296720,G37116BL,91862499
252296719,G32801HX,91862498
252296718,G31814VP,91862497
252296717,G29217AH,9854967
252296716,G26830YK,91862496
252296715,G25340ZY,91862495
252296714,G19184FH,91862494
252296713,G19138OU,91862493
252296712,G15210HV,91862492
252296711,G13614FV,71297617
252296710,G10913FV,91862491
252296709,G08582DC,91862490
252296708,G07695IB,91862489
252296707,G01875VS,91862488
252296706,G01542OM,71297376
252296705,G01435GL,444041
252296704,G97862VK,11018666
252296703,G97307DO,91862487
252296702,G86477CW,91862486
252296701,G92083OB,91862485
252296700,G44383GG,91862484
252296699,G60109PL,91862483
252296698,G41912CL,71297697
252296697,G29091RS,91862482
252296696,G90106AF,91862481
252296695,G87726NK,91862480
252296694,G44634CM,91862479
252296693,G91098KI,91862478
252296692,G25038AY,91862477
252296691,G21892YW,91862476
252296690,G38120NE,91862475
252296689,G62119KK,91862474
252296688,G22307HL,444913
252296687,G03541TM,91862473
252296686,G89788BP,91862472
252296685,G14354BD,91862471
252296684,G60807XH,91862470
252296683,G94407CM,91862469
252296682,G05583RF,136666729
252296681,G97547QJ,91862467
252296680,G75996DR,70788961
252296679,G70462WV,91862466
252296678,G42504VW,91862465
252296677,G39585CV,91862464
252296676,G88278BD,91862463
252296675,G81069MB,91862462
252296674,G14746EI,10212235
252296673,G04903PZ,91862461
252296672,G34876AH,91862460
252296671,G26438QA,91862459
252296670,G00194ZL,91862458
252296669,G44896VI,91862457
252296668,G62765JV,91862456
252296667,G78612VS,91862455
252296666,G62765SF,91862454
252296665,G27888XB,91862453
252296664,G94502WD,91862452
252296663,G46663EC,91862451
252296662,G16926ZT,91862450
252296661,G99857RQ,91862449
252296660,G41439MB,91862448
252296659,G47242XC,439198
252296658,G16167HN,91862447
252296657,G79470NR,91862446
252296656,G83894NI,91862445
252296655,G46410WE,91862444
252296654,G73271MD,91862443
252296653,G65447BW,91862442
252296652,G69038UV,91862441
252296651,G07086CL,91862440
252296650,G94363RH,91862439
252296649,G84721GC,91862438
252296648,G08731KN,91862437
252296647,G81275AN,91862436
252296646,G20624LQ,44263861
252296645,G40969ZY,91862435
252296644,G25146DY,71298497
252296643,G82033VN,91862434
252296642,G21467MX,91862433
252296641,G06202MI,91862432
252296640,G39174FS,71297328
252296639,G83230HK,91862431
252296638,G99263WY,91862430
252296637,G37178OW,91862429
252296636,G55880FX,91862428
252296635,G98722OA,91862427
252296634,G69440CB,91862426
252296633,G09605DV,91862425
252296632,G55183KN,91862424
252296631,G74351TO,91862423
252296630,G64050LH,70678867
252296629,G97015UP,91862422
252296628,G17752YB,91862421
252296627,G90324JE,91862420
252296626,G36816OZ,91862419
252296625,G88943RQ,91862418
252296624,G18869TR,91862417
252296623,G88573VH,91862416
252296622,G64460FJ,91862415
252296621,G63996AI,11152232
252296620,G45747TC,91862414
252296619,G61486RR,91862413
252296618,G74034ZB,91862412
252296617,G22448ZR,91862411
252296616,G25268QT,91862410
252296615,G70914FQ,91862409
252296614,G99030QH,91862408
252296613,G75007MH,91862407
252296612,G30868KJ,71298088
252296611,G68702WQ,91862406
252296610,G86129LW,91862405
252296609,G65191ST,70698378
252296608,G43536NM,91862404
252296607,G31767KB,91862403
252296606,G05049RE,91862402
252296605,G96915NW,91862401
252296604,G78986LU,91862400
252296603,G13863XN,91862399
252296602,G15241ZP,91862398
252296601,G81046FG,91862397
252296600,G83254ME,91862396
252296599,G30064RB,91862395
252296598,G08169IN,70789002
252296597,G55766WH,14160883
252296596,G35451HW,91862394
252296595,G31484IM,24310
252296594,G04630LB,91862393
252296593,G22309DL,15560232
252296592,G83082ZQ,91862392
252296591,G74353FF,53262376
252296590,G76823GQ,91862391
252296589,G91287SP,91862390
252296588,G25705WX,91862389
252296587,G89459KY,91862388
252296586,G20583VI,91862387
252296585,G74527CH,91862386
252296584,G80162ZS,91862385
252296583,G82424XP,91862384
252296582,G93198SW,12303780
252296581,G95311OO,91862383
252296580,G45629II,91862382
252296579,G53081KU,91862381
252296578,G88882LJ,91862380
252296577,G99462RO,91862379
252296576,G35242PI,91862378
252296575,G79202GR,91862377
252296574,G83234UJ,12302989
252296573,G66074WN,91862376
252296572,G21112ZO,641631
252296571,G44708LH,91862375
252296570,G39258IX,91862374
252296569,G42251UW,45480571
252296568,G89640BO,91862373
252296567,G79286AT,91862372
252296566,G17111HR,91862371
252296565,G64857LW,91862370
252296564,G51930XP,91862369
252296563,G98865DJ,91862368
252296562,G05549UE,91851500
252296561,G52172XA,91862367
252296560,G89457NY,91859531
252296559,G80186AD,91862366
252296558,G28055TC,91862365
252296557,G00051MO,44611539
252296556,G16882JV,91862364
252296555,G20397IQ,91862363
252296554,G82690UI,91862362
252296553,G32202OT,91862361
252296552,G63629SO,91862360
252296551,G79491MU,91862359
252296550,G78121IJ,91862358
252296549,G82576YO,17106
252296548,G89391NP,91862357
252296547,G22327VZ,71297375
252296546,G73789XV,91862356
252296545,G48440GN,91825694
252296544,G39215NC,91862355
252296543,G44269DT,91862354
252296542,G83553MC,91862353
252296541,G59024DC,91862352
252296540,G55904KW,91862351
252296539,G71160EK,91862350
252296538,G16512EN,91862349
252296537,G86556JH,91862348
252296536,G80564WN,129887
252296535,G49498SD,91862347
252296534,G94731LJ,91862346
252296533,G32222MQ,91862345
252296532,G36320TJ,91862344
252296531,G85026CR,91862343
252296530,G01186RG,91862342
252296529,G40558VT,91862341
252296528,G86650YK,91862340
252296527,G49601RS,91862339
252296526,G56682BC,56927753
252296525,G30574NF,440654
252296524,G68575PX,91862338
252296523,G79520GQ,71297664
252296522,G68230AN,91862337
252296521,G21856LC,10169040
252296520,G61774EZ,91862336
252296519,G68528EQ,91862335
252296518,G31824JR,91862334
