"gtc"	"ch"
"https://glytoucan.org/Structures/Glycans/G11313DM"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69039"
"https://glytoucan.org/Structures/Glycans/G02113ZY"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69081"
"https://glytoucan.org/Structures/Glycans/G03392ER"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69092"
"https://glytoucan.org/Structures/Glycans/G11255NR"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69141"
"https://glytoucan.org/Structures/Glycans/G04142XQ"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69200"
"https://glytoucan.org/Structures/Glycans/G01828TN"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69246"
"https://glytoucan.org/Structures/Glycans/G01842KM"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:6929"
"https://glytoucan.org/Structures/Glycans/G04046UA"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69298"
"https://glytoucan.org/Structures/Glycans/G04295NU"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69324"
"https://glytoucan.org/Structures/Glycans/G11092CU"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69357"
"https://glytoucan.org/Structures/Glycans/G11461RV"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69382"
"https://glytoucan.org/Structures/Glycans/G07304IK"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69398"
"https://glytoucan.org/Structures/Glycans/G05562WN"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69615"
"https://glytoucan.org/Structures/Glycans/G03175XQ"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69617"
"https://glytoucan.org/Structures/Glycans/G04947UE"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69624"
"https://glytoucan.org/Structures/Glycans/G04665GE"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69653"
"https://glytoucan.org/Structures/Glycans/G03024BS"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69670"
"https://glytoucan.org/Structures/Glycans/G09487MH"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69678"
"https://glytoucan.org/Structures/Glycans/G09900IF"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69699"
"https://glytoucan.org/Structures/Glycans/G05754LH"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69752"
"https://glytoucan.org/Structures/Glycans/G02061JT"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69753"
"https://glytoucan.org/Structures/Glycans/G06693JM"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69758"
"https://glytoucan.org/Structures/Glycans/G02001ST"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69771"
"https://glytoucan.org/Structures/Glycans/G02371CL"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69793"
"https://glytoucan.org/Structures/Glycans/G04840RZ"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69804"
"https://glytoucan.org/Structures/Glycans/G05414WU"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69809"
"https://glytoucan.org/Structures/Glycans/G04088WR"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:69829"
"https://glytoucan.org/Structures/Glycans/G07259GO"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:70023"
"https://glytoucan.org/Structures/Glycans/G01478CG"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:70139"
"https://glytoucan.org/Structures/Glycans/G04031QL"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:70196"
"https://glytoucan.org/Structures/Glycans/G04841CQ"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:70202"
"https://glytoucan.org/Structures/Glycans/G03383QX"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:70244"
"https://glytoucan.org/Structures/Glycans/G03248GD"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:70331"
"https://glytoucan.org/Structures/Glycans/G03323EG"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:7034"
"https://glytoucan.org/Structures/Glycans/G00296FG"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:70491"
"https://glytoucan.org/Structures/Glycans/G07526SP"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:70664"
"https://glytoucan.org/Structures/Glycans/G11469AW"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:70668"
"https://glytoucan.org/Structures/Glycans/G02818SI"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:70672"
"https://glytoucan.org/Structures/Glycans/G02425YO"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:70754"
"https://glytoucan.org/Structures/Glycans/G09960JA"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:70784"
"https://glytoucan.org/Structures/Glycans/G09960JA"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:70799"
"https://glytoucan.org/Structures/Glycans/G01935FK"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:70962"
"https://glytoucan.org/Structures/Glycans/G04809RP"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:70980"
"https://glytoucan.org/Structures/Glycans/G04809RP"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71164"
"https://glytoucan.org/Structures/Glycans/G08401CX"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71258"
"https://glytoucan.org/Structures/Glycans/G07397MN"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71276"
